profile_key
nasa_csm|fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05|42|objective|combined|subject_14
uab_workload_dataset|fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05|42|subjective|heat_the_chair|subject_20
uab_workload_dataset|fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05|42|subjective|n_back|subject_16
