window_order,window_label,window_label_cn,sample_id,view_id,semantic_top_query_name,semantic_top_event_attribution,semantic_top_query_event_offset_s,top_contribution_score,risk_proxy_prediction,risk_proxy_confidence,workload_proxy_prediction,event_replay_tag_score,native_feature_schema_status,canonical_feature_schema_status,expected_vehicle_feature_count,input_vehicle_feature_count,missing_vehicle_feature_count,native_missing_measurement_group_count,schema_hash,source_path,evidence_layer,case_definition,selection_reason
0,0000,窗口1,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0000,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,workload_proxy,4.342039585113525,0.3333333432674408,2.889021873474121,medium,0.3863348066806793,0.1946876496076584,0.8862034678459167,aligned,exact,1930,965,965,6,47c8cbb3328ece97e7dd3b373a0fd55af36bd1d4ae9ec9475f2d83e22acc078a,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.csv;docs/artifacts/runs/2026-06-07_semantic-support/support_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_service_smoke_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_schema_contract.json,runtime_semantic_support,代表窗口按查询类型变化、归因局部峰值、归因变化幅度和任务输出变化优先选择；source_window_count=12; selected_window_count=8,boundary_window
1,0001,窗口2,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0001,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,risk_proxy,4.631630897521973,0.5193467140197754,1.543876886367798,medium,0.3922809958457947,0.2219692915678024,0.999905526638031,aligned,exact,1930,965,965,6,47c8cbb3328ece97e7dd3b373a0fd55af36bd1d4ae9ec9475f2d83e22acc078a,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.csv;docs/artifacts/runs/2026-06-07_semantic-support/support_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_service_smoke_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_schema_contract.json,runtime_semantic_support,代表窗口按查询类型变化、归因局部峰值、归因变化幅度和任务输出变化优先选择；source_window_count=12; selected_window_count=8,query_change;attribution_delta;task_output_delta
2,0002,窗口3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0002,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,risk_proxy,8.363361358642578,0.5119382739067078,2.787786960601806,medium,0.39258474111557,0.2215634435415268,1.0,aligned,exact,1930,965,965,6,47c8cbb3328ece97e7dd3b373a0fd55af36bd1d4ae9ec9475f2d83e22acc078a,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.csv;docs/artifacts/runs/2026-06-07_semantic-support/support_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_service_smoke_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_schema_contract.json,runtime_semantic_support,代表窗口按查询类型变化、归因局部峰值、归因变化幅度和任务输出变化优先选择；source_window_count=12; selected_window_count=8,local_attribution_peak;attribution_delta;task_output_delta
7,0007,窗口8,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0007,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,risk_proxy,8.363361358642578,0.5119382739067078,2.787786960601806,medium,0.39258474111557,0.2215634435415268,1.0,aligned,exact,1930,965,965,6,47c8cbb3328ece97e7dd3b373a0fd55af36bd1d4ae9ec9475f2d83e22acc078a,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.csv;docs/artifacts/runs/2026-06-07_semantic-support/support_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_service_smoke_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_schema_contract.json,runtime_semantic_support,代表窗口按查询类型变化、归因局部峰值、归因变化幅度和任务输出变化优先选择；source_window_count=12; selected_window_count=8,coverage
8,0008,窗口9,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0008,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,risk_proxy,8.363361358642578,0.5119382739067078,2.787786960601806,medium,0.39258474111557,0.2215634435415268,1.0,aligned,exact,1930,965,965,6,47c8cbb3328ece97e7dd3b373a0fd55af36bd1d4ae9ec9475f2d83e22acc078a,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.csv;docs/artifacts/runs/2026-06-07_semantic-support/support_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_service_smoke_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_schema_contract.json,runtime_semantic_support,代表窗口按查询类型变化、归因局部峰值、归因变化幅度和任务输出变化优先选择；source_window_count=12; selected_window_count=8,coverage
9,0009,窗口10,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0009,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,risk_proxy,8.363361358642578,0.5119382739067078,2.787786960601806,medium,0.39258474111557,0.2215634435415268,1.0,aligned,exact,1930,965,965,6,47c8cbb3328ece97e7dd3b373a0fd55af36bd1d4ae9ec9475f2d83e22acc078a,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.csv;docs/artifacts/runs/2026-06-07_semantic-support/support_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_service_smoke_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_schema_contract.json,runtime_semantic_support,代表窗口按查询类型变化、归因局部峰值、归因变化幅度和任务输出变化优先选择；source_window_count=12; selected_window_count=8,coverage
10,0010,窗口11,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0010,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,risk_proxy,8.363361358642578,0.5119382739067078,2.787786960601806,medium,0.39258474111557,0.2215634435415268,1.0,aligned,exact,1930,965,965,6,47c8cbb3328ece97e7dd3b373a0fd55af36bd1d4ae9ec9475f2d83e22acc078a,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.csv;docs/artifacts/runs/2026-06-07_semantic-support/support_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_service_smoke_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_schema_contract.json,runtime_semantic_support,代表窗口按查询类型变化、归因局部峰值、归因变化幅度和任务输出变化优先选择；source_window_count=12; selected_window_count=8,coverage
11,0011,窗口12,20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0011,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,risk_proxy,8.363361358642578,0.5119382739067078,2.787786960601806,medium,0.39258474111557,0.2215634435415268,1.0,aligned,exact,1930,965,965,6,47c8cbb3328ece97e7dd3b373a0fd55af36bd1d4ae9ec9475f2d83e22acc078a,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.csv;docs/artifacts/runs/2026-06-07_semantic-support/support_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_service_smoke_summary.json;docs/artifacts/runs/2026-06-13_runtime-schema-contract/runtime_schema_contract.json,runtime_semantic_support,代表窗口按查询类型变化、归因局部峰值、归因变化幅度和任务输出变化优先选择；source_window_count=12; selected_window_count=8,boundary_window
