fold_run_id,fold_id,method_name,export_role,sample_count,representation_sha256,archive_valid
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,mult,held_out,31,2547375efb0ed2cbebf380446a0e624a71ab58cdf1b23c721fe646a80c603ddc,True
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,contiformer,train,31,412b58a2be619fc4e6ddaccc27fa37707f1e0f8ca7405a170302e55f3968db8f,True
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,contiformer,validation,31,bc36d433c34e000bf6fca6a7d96268cc694858676f490a5fcfed670da6817584,True
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,contiformer,held_out,31,bd5204ac006f0e51c4969de68582fbbcd79b704985a32527fc4cf29f51bbdbb2,True
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,chronaris,train,31,d20f6537706f28f67e9153bfd6ef95392331c12a88e7ceaf600535ab88c4e260,True
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,chronaris,validation,31,fa3e1337dc443652a998c53296be9933b8e65a43e1186a14ace256f9c36db315,True
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,chronaris,held_out,31,fe64b93e217e24d8938c239616105d5d62f7eda3c32d6af4d5a78495387d55be,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,physiology_only,train,38,5509d4a745d99c685e3ef538e4fd51bb4a6fc51738057473966ec409e03a6f7f,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,physiology_only,validation,14,579abc445e4d8d9dffd9b76bfccc4f26fab85d0399485e33e22425ac51ac0f3c,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,physiology_only,held_out,31,a6aae8dc333c5d61cc4f391778402c32c047754f97a39232c1c54e54c591a186,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,vehicle_only,train,38,289956d8b225487053234d29d67165cef6668e38d5b0011623c21656a81fd618,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,vehicle_only,validation,14,ac4a89c2b53dd59f596eaa6e99d71e7141c23ee074d867222f874c618d022f05,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,vehicle_only,held_out,31,683787d2cc7209baad6621c3c4cedfd175b92f1b2553855c4583caa9d3dc67cd,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,naive_time_sync,train,38,67a1584b126d5bc06f472bd7fd55d9e23d8676dc3f9946e49cdac9d37899ccdd,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,naive_time_sync,validation,14,ffa7f6a445fa2d88d761c761d4549ebdba68049332e021d6c22187c3e35ca76a,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,naive_time_sync,held_out,31,77c02fcdc9f98b0ffaa219ed93e9107d42a39e7a5c81027ea610a353c58926b6,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,mult,train,38,e532e6dfc36e53d6706801efa572fda1ef7f3ec55a8071e4a11ac1cbf482940a,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,mult,validation,14,de10cb485f830d2766b03e493986fe0dc22b0b72351512edaa8be6395c763f39,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,mult,held_out,31,ec6a43874f22e46c8214a3a57fd0b27c7d7c243490fd91836d6bfc5954de0b67,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,contiformer,train,38,58f7cf8786d9b4f1814a42a088caeb468e3e56d52b38c4c0ebb1205e1c332b53,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,contiformer,validation,14,650aee9cefee05f5f453c076f6ff02f2be61fe106817e1b41fa2a7275bc66a68,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,contiformer,held_out,31,f96b32221be63f1727805223b8392f73134e0940f48c04feedc18cf1eea8a082,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,chronaris,train,38,543ec7fc26b2ff0ee2e96da315ed2908ee2d91462f73944aa87f2e56ab06d573,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,chronaris,validation,14,b58b4501a6da2fc11f06a7862c316255152725676f5c2dc53ae57d7f6df06058,True
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,chronaris,held_out,31,2d96f61cc66a2d73db744ce5041895286052e0485e6be03796d8db801681b510,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,physiology_only,train,19,a7f47d5fb26f5ed6ab2aa45cadb6b278ce7cac637c9675a29d918b554e999ff1,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,physiology_only,validation,7,a108fe9055dc787d11584f5228371745a737868d394a5a2b5154c55d21f82fa2,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,physiology_only,held_out,62,4431e285092eb16dafd73d6e7524b9ea736d77ff10d2a0c50d6442d8792e7534,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,vehicle_only,train,19,98950a9a0a71f8677446707963d6c0bcf0837c88c32a1ca89e824b5da5184880,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,vehicle_only,validation,7,50770cc90e70834a6e13e9f4dd87e16bfd7a048f5df9412381ec00ef2124d388,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,vehicle_only,held_out,62,87ff62de06a7d2d4d670eba574832bd5c87c5eba774705c010add8e70c9b0d90,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,naive_time_sync,train,19,9a788e4e52fa074c09843e61d5c408fdd3fba1b144cacfaad9fb1c7bd3dad76e,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,naive_time_sync,validation,7,919ba76c855ddfb3607ed7a985f2e40d8e36cbdd72103ccfbf454d37d080f85c,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,naive_time_sync,held_out,62,fe27a5162a2575950b553520a40daff8455a1f9b52c3c5c1bdb8ad658284e235,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,mult,train,19,f13a8478ea5b4542ab772444aaad0dacc843e04c1631ac69c10a7a103ef32deb,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,mult,validation,7,47163ca5ed6342f4e28b0d7863db03e34f9052bd87ef6bfc5009ca1751d2d077,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,mult,held_out,62,32c69fa819d1cec6ff225b0f386ab5739ebdacaa25329a3c93b83d48039da337,True
