candidate_id,model_family,feature_profile,learning_rate,weight_decay,dropout,hidden_dims,screen_mean_rmse,screen_mean_mae,n_back_rmse,n_back_mae,heat_the_chair_rmse,heat_the_chair_mae
residual_gated_mlp__physiology_scalar_only__lr0p0003__wd0p001,residual_gated_mlp,physiology_scalar_only,0.0003,0.001,0.1,"[128, 64]",6.551536914379223,5.607133372126002,9.443012949610797,8.102922470317088,3.660060879147649,3.1113442739349173
mlp_huber_small__full__lr0p0003__wd0p0001,mlp_huber_small,full,0.0003,0.0001,0.1,"[128, 64]",6.673331990655858,5.735366657119034,9.611321829376891,8.34936734253829,3.735342151934825,3.1213659716997775
mlp_huber_small__full__lr0p0003__wd0p001,mlp_huber_small,full,0.0003,0.001,0.1,"[128, 64]",6.673345485904674,5.735378009982141,9.611333343551845,8.349370831278593,3.7353576282575043,3.1213851886856894
mlp_huber_small__physiology_scalar_only__lr0p0003__wd0p0001,mlp_huber_small,physiology_scalar_only,0.0003,0.0001,0.1,"[128, 64]",6.68446474176688,5.619498884999414,9.722724526504017,8.276712989030136,3.646204957029744,2.962284780968693
mlp_huber_small__physiology_scalar_only__lr0p0003__wd0p001,mlp_huber_small,physiology_scalar_only,0.0003,0.001,0.1,"[128, 64]",6.684478557979008,5.6195118598530165,9.722735719828078,8.276717452664261,3.646221396129939,2.9623062670417712
mlp_huber_small__physiology_only__lr0p0003__wd0p0001,mlp_huber_small,physiology_only,0.0003,0.0001,0.1,"[128, 64]",6.7157298897531295,5.827355098372533,9.695283301768491,8.349846574175327,3.736176477737769,3.304863622569739
mlp_huber_small__physiology_only__lr0p0003__wd0p001,mlp_huber_small,physiology_only,0.0003,0.001,0.1,"[128, 64]",6.7157430012095425,5.8273649934532825,9.695294058231575,8.349850043501366,3.7361919441875098,3.3048799434051994
residual_gated_mlp__physiology_only__lr0p0003__wd0p0001,residual_gated_mlp,physiology_only,0.0003,0.0001,0.1,"[128, 64]",6.728129542210359,5.760178166418641,9.62621970091735,8.27099524679608,3.830039383503368,3.2493610860412026
residual_gated_mlp__physiology_only__lr0p0003__wd0p001,residual_gated_mlp,physiology_only,0.0003,0.001,0.1,"[128, 64]",6.7281439210073595,5.760190420231899,9.626232385375621,8.271000000060639,3.830055456639098,3.249380840403159
linear_huber__physiology_only__lr0p001__wd0p0001,linear_huber,physiology_only,0.001,0.0001,0.0,"[0, 0]",8.420229587025586,7.339676436018477,11.11106473632419,9.307805531752914,5.729394437726984,5.371547340284041
linear_huber__physiology_only__lr0p001__wd0p001,linear_huber,physiology_only,0.001,0.001,0.0,"[0, 0]",8.4202299138108,7.339676763370287,11.111064728361358,9.307805511840327,5.729395099260244,5.371548014900247
linear_huber__physiology_only__lr0p0003__wd0p0001,linear_huber,physiology_only,0.0003,0.0001,0.0,"[0, 0]",8.425167736732824,7.345798009323912,11.112798568226689,9.311172824435785,5.737536905238958,5.380423194212039
linear_huber__physiology_only__lr0p0003__wd0p001,linear_huber,physiology_only,0.0003,0.001,0.0,"[0, 0]",8.425167812113218,7.345798084561477,11.112798569332474,9.311172822652813,5.737537054893962,5.380423346470142
linear_huber__full__lr0p001__wd0p0001,linear_huber,full,0.001,0.0001,0.0,"[0, 0]",8.431810272936605,7.337482446296178,11.106332667850292,9.283569799189983,5.75728787802292,5.391395093402373
linear_huber__full__lr0p001__wd0p001,linear_huber,full,0.001,0.001,0.0,"[0, 0]",8.431810379786914,7.337482635609381,11.10633265826094,9.283569793557511,5.75728810131289,5.39139547766125
linear_huber__full__lr0p0003__wd0p0001,linear_huber,full,0.0003,0.0001,0.0,"[0, 0]",8.434405511647004,7.341489144868431,11.108367510631597,9.287831410363493,5.760443512662409,5.395146879373369
linear_huber__full__lr0p0003__wd0p001,linear_huber,full,0.0003,0.001,0.0,"[0, 0]",8.43440553760498,7.341489191550318,11.108367511357352,9.287831413355404,5.760443563852605,5.395146969745233
linear_huber__physiology_scalar_only__lr0p001__wd0p001,linear_huber,physiology_scalar_only,0.001,0.001,0.0,"[0, 0]",8.508897139961833,7.445879900634491,11.2572192915178,9.471800559528601,5.760574988405868,5.419959241740382
linear_huber__physiology_scalar_only__lr0p001__wd0p0001,linear_huber,physiology_scalar_only,0.001,0.0001,0.0,"[0, 0]",8.508897142203027,7.445880055214689,11.25721943341562,9.47180072892638,5.760574850990435,5.419959381502998
linear_huber__physiology_scalar_only__lr0p0003__wd0p001,linear_huber,physiology_scalar_only,0.0003,0.001,0.0,"[0, 0]",8.513313657001428,7.450893676027089,11.257858108050447,9.472952054764677,5.768769205952409,5.4288352972895
linear_huber__physiology_scalar_only__lr0p0003__wd0p0001,linear_huber,physiology_scalar_only,0.0003,0.0001,0.0,"[0, 0]",8.513313696712729,7.450893764130641,11.257858147621688,9.472952105830055,5.76876924580377,5.428835422431227
