fold_id,method_name,outer_test_accessed,seed,status
leave_one_view_out__fold01,chronaris,True,17,completed
leave_one_view_out__fold01,contiformer,True,17,completed
leave_one_view_out__fold01,mult,True,17,completed
leave_one_view_out__fold01,naive_time_sync,True,17,completed
leave_one_view_out__fold01,physiology_only,True,17,completed
leave_one_view_out__fold01,vehicle_only,True,17,completed
leave_one_view_out__fold02,chronaris,True,17,completed
leave_one_view_out__fold02,contiformer,True,17,completed
leave_one_view_out__fold02,mult,True,17,completed
leave_one_view_out__fold02,naive_time_sync,True,17,completed
leave_one_view_out__fold02,physiology_only,True,17,completed
leave_one_view_out__fold02,vehicle_only,True,17,completed
leave_one_view_out__fold03,chronaris,True,17,completed
leave_one_view_out__fold03,contiformer,True,17,completed
leave_one_view_out__fold03,mult,True,17,completed
leave_one_view_out__fold03,naive_time_sync,True,17,completed
leave_one_view_out__fold03,physiology_only,True,17,completed
leave_one_view_out__fold03,vehicle_only,True,17,completed
leave_one_view_out__fold01,chronaris,True,29,completed
leave_one_view_out__fold01,contiformer,True,29,completed
leave_one_view_out__fold01,mult,True,29,completed
leave_one_view_out__fold01,naive_time_sync,True,29,completed
leave_one_view_out__fold01,physiology_only,True,29,completed
leave_one_view_out__fold01,vehicle_only,True,29,completed
leave_one_view_out__fold02,chronaris,True,29,completed
leave_one_view_out__fold02,contiformer,True,29,completed
leave_one_view_out__fold02,mult,True,29,completed
leave_one_view_out__fold02,naive_time_sync,True,29,completed
leave_one_view_out__fold02,physiology_only,True,29,completed
leave_one_view_out__fold02,vehicle_only,True,29,completed
leave_one_view_out__fold03,chronaris,True,29,completed
leave_one_view_out__fold03,contiformer,True,29,completed
leave_one_view_out__fold03,mult,True,29,completed
leave_one_view_out__fold03,naive_time_sync,True,29,completed
leave_one_view_out__fold03,physiology_only,True,29,completed
leave_one_view_out__fold03,vehicle_only,True,29,completed
leave_one_view_out__fold01,chronaris,True,43,completed
leave_one_view_out__fold01,contiformer,True,43,completed
leave_one_view_out__fold01,mult,True,43,completed
leave_one_view_out__fold01,naive_time_sync,True,43,completed
leave_one_view_out__fold01,physiology_only,True,43,completed
leave_one_view_out__fold01,vehicle_only,True,43,completed
leave_one_view_out__fold02,chronaris,True,43,completed
leave_one_view_out__fold02,contiformer,True,43,completed
leave_one_view_out__fold02,mult,True,43,completed
leave_one_view_out__fold02,naive_time_sync,True,43,completed
leave_one_view_out__fold02,physiology_only,True,43,completed
leave_one_view_out__fold02,vehicle_only,True,43,completed
leave_one_view_out__fold03,chronaris,True,43,completed
leave_one_view_out__fold03,contiformer,True,43,completed
leave_one_view_out__fold03,mult,True,43,completed
leave_one_view_out__fold03,naive_time_sync,True,43,completed
leave_one_view_out__fold03,physiology_only,True,43,completed
leave_one_view_out__fold03,vehicle_only,True,43,completed
