direction,fold_id,method_name,metric,role,seed,task,value
lower,leave_one_view_out__fold01,naive_time_sync,rmse,held_out,29,response,5.062361342376245e-15
higher,leave_one_view_out__fold01,naive_time_sync,auprc,held_out,29,high_response,1.0
higher,leave_one_view_out__fold01,physiology_only,macro_f1,held_out,29,maneuver,1.0
lower,leave_one_view_out__fold01,physiology_only,rmse,held_out,29,response,0.19296738754831283
higher,leave_one_view_out__fold01,physiology_only,auprc,held_out,29,high_response,1.0
higher,leave_one_view_out__fold01,vehicle_only,macro_f1,held_out,29,maneuver,1.0
lower,leave_one_view_out__fold01,vehicle_only,rmse,held_out,29,response,0.4433850808095673
higher,leave_one_view_out__fold01,vehicle_only,auprc,held_out,29,high_response,1.0
higher,leave_one_view_out__fold02,chronaris,macro_f1,held_out,29,maneuver,1.0
lower,leave_one_view_out__fold02,chronaris,rmse,held_out,29,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,chronaris,auprc,held_out,29,high_response,1.0
higher,leave_one_view_out__fold02,contiformer,macro_f1,held_out,29,maneuver,1.0
lower,leave_one_view_out__fold02,contiformer,rmse,held_out,29,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,contiformer,auprc,held_out,29,high_response,1.0
higher,leave_one_view_out__fold02,mult,macro_f1,held_out,29,maneuver,1.0
lower,leave_one_view_out__fold02,mult,rmse,held_out,29,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,mult,auprc,held_out,29,high_response,1.0
higher,leave_one_view_out__fold02,naive_time_sync,macro_f1,held_out,29,maneuver,1.0
lower,leave_one_view_out__fold02,naive_time_sync,rmse,held_out,29,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,naive_time_sync,auprc,held_out,29,high_response,1.0
higher,leave_one_view_out__fold02,physiology_only,macro_f1,held_out,29,maneuver,1.0
lower,leave_one_view_out__fold02,physiology_only,rmse,held_out,29,response,0.21121829444470033
higher,leave_one_view_out__fold02,physiology_only,auprc,held_out,29,high_response,1.0
higher,leave_one_view_out__fold02,vehicle_only,macro_f1,held_out,29,maneuver,1.0
lower,leave_one_view_out__fold02,vehicle_only,rmse,held_out,29,response,0.44423933953176065
higher,leave_one_view_out__fold02,vehicle_only,auprc,held_out,29,high_response,1.0
higher,leave_one_view_out__fold03,chronaris,macro_f1,held_out,29,maneuver,0.6763285024154588
lower,leave_one_view_out__fold03,chronaris,rmse,held_out,29,response,0.8550358129311795
higher,leave_one_view_out__fold03,chronaris,auprc,held_out,29,high_response,0.8401587499721377
higher,leave_one_view_out__fold03,contiformer,macro_f1,held_out,29,maneuver,0.7714285714285715
lower,leave_one_view_out__fold03,contiformer,rmse,held_out,29,response,0.8302463358608276
higher,leave_one_view_out__fold03,contiformer,auprc,held_out,29,high_response,0.7381925028950203
higher,leave_one_view_out__fold03,mult,macro_f1,held_out,29,maneuver,0.710260499734184
lower,leave_one_view_out__fold03,mult,rmse,held_out,29,response,0.8032204221482825
higher,leave_one_view_out__fold03,mult,auprc,held_out,29,high_response,0.7311820399035625
higher,leave_one_view_out__fold03,naive_time_sync,macro_f1,held_out,29,maneuver,0.6239316239316239
lower,leave_one_view_out__fold03,naive_time_sync,rmse,held_out,29,response,0.7994226203504412
higher,leave_one_view_out__fold03,naive_time_sync,auprc,held_out,29,high_response,0.7653416782098725
higher,leave_one_view_out__fold03,physiology_only,macro_f1,held_out,29,maneuver,0.18604651162790697
lower,leave_one_view_out__fold03,physiology_only,rmse,held_out,29,response,0.8554305127308771
higher,leave_one_view_out__fold03,physiology_only,auprc,held_out,29,high_response,0.6268964246604111
higher,leave_one_view_out__fold03,vehicle_only,macro_f1,held_out,29,maneuver,0.7897435897435897
lower,leave_one_view_out__fold03,vehicle_only,rmse,held_out,29,response,0.8317225636516082
higher,leave_one_view_out__fold03,vehicle_only,auprc,held_out,29,high_response,0.828627544163842
higher,leave_one_view_out__fold01,chronaris,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold01,chronaris,rmse,held_out,43,response,5.062361342376245e-15
higher,leave_one_view_out__fold01,chronaris,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold01,contiformer,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold01,contiformer,rmse,held_out,43,response,5.062361342376245e-15
higher,leave_one_view_out__fold01,contiformer,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold01,mult,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold01,mult,rmse,held_out,43,response,5.062361342376245e-15
higher,leave_one_view_out__fold01,mult,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold01,naive_time_sync,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold01,naive_time_sync,rmse,held_out,43,response,5.062361342376245e-15
higher,leave_one_view_out__fold01,naive_time_sync,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold01,physiology_only,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold01,physiology_only,rmse,held_out,43,response,0.20803112336487162
higher,leave_one_view_out__fold01,physiology_only,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold01,vehicle_only,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold01,vehicle_only,rmse,held_out,43,response,0.4324482590778738
higher,leave_one_view_out__fold01,vehicle_only,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold02,chronaris,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold02,chronaris,rmse,held_out,43,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,chronaris,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold02,contiformer,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold02,contiformer,rmse,held_out,43,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,contiformer,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold02,mult,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold02,mult,rmse,held_out,43,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,mult,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold02,naive_time_sync,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold02,naive_time_sync,rmse,held_out,43,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,naive_time_sync,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold02,physiology_only,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold02,physiology_only,rmse,held_out,43,response,0.22732013477771443
higher,leave_one_view_out__fold02,physiology_only,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold02,vehicle_only,macro_f1,held_out,43,maneuver,1.0
lower,leave_one_view_out__fold02,vehicle_only,rmse,held_out,43,response,0.44006308411138945
higher,leave_one_view_out__fold02,vehicle_only,auprc,held_out,43,high_response,1.0
higher,leave_one_view_out__fold03,chronaris,macro_f1,held_out,43,maneuver,0.8548094373865699
lower,leave_one_view_out__fold03,chronaris,rmse,held_out,43,response,0.7991836782328995
higher,leave_one_view_out__fold03,chronaris,auprc,held_out,43,high_response,0.7548197192245389
higher,leave_one_view_out__fold03,contiformer,macro_f1,held_out,43,maneuver,0.7133655394524959
lower,leave_one_view_out__fold03,contiformer,rmse,held_out,43,response,0.8273981131593746
higher,leave_one_view_out__fold03,contiformer,auprc,held_out,43,high_response,0.8022791072950921
higher,leave_one_view_out__fold03,mult,macro_f1,held_out,43,maneuver,0.45555555555555555
lower,leave_one_view_out__fold03,mult,rmse,held_out,43,response,0.8185085700523617
higher,leave_one_view_out__fold03,mult,auprc,held_out,43,high_response,0.8380528107158545
higher,leave_one_view_out__fold03,naive_time_sync,macro_f1,held_out,43,maneuver,0.75
lower,leave_one_view_out__fold03,naive_time_sync,rmse,held_out,43,response,0.7942745957328129
higher,leave_one_view_out__fold03,naive_time_sync,auprc,held_out,43,high_response,0.7529137064308691
higher,leave_one_view_out__fold03,physiology_only,macro_f1,held_out,43,maneuver,0.35555555555555557
lower,leave_one_view_out__fold03,physiology_only,rmse,held_out,43,response,0.8531828563593704
higher,leave_one_view_out__fold03,physiology_only,auprc,held_out,43,high_response,0.6130875050256569
higher,leave_one_view_out__fold03,vehicle_only,macro_f1,held_out,43,maneuver,0.7897435897435897
lower,leave_one_view_out__fold03,vehicle_only,rmse,held_out,43,response,0.8361977666595899
higher,leave_one_view_out__fold03,vehicle_only,auprc,held_out,43,high_response,0.8191079450054286
