direction,fold_count,mean,method_name,metric,seed,task,worst_fold
higher,3,0.9477114661654135,chronaris,auprc,17,high_response,0.8431343984962407
higher,3,0.9340583736868567,chronaris,macro_f1,17,maneuver,0.80217512106057
lower,3,0.27075952315353086,chronaris,rmse,17,response,0.8122785694605825
higher,3,0.9274300247277937,contiformer,auprc,17,high_response,0.7822900741833809
higher,3,0.9210774410774412,contiformer,macro_f1,17,maneuver,0.7632323232323234
lower,3,0.27693255601110656,contiformer,rmse,17,response,0.8307976680333096
higher,3,0.9293045985541007,mult,auprc,17,high_response,0.7879137956623024
higher,3,0.880246913580247,mult,macro_f1,17,maneuver,0.6407407407407407
lower,3,0.2781220763856241,mult,rmse,17,response,0.8343662291568621
higher,3,0.9066668901309444,naive_time_sync,auprc,17,high_response,0.720000670392833
higher,3,0.9407407407407408,naive_time_sync,macro_f1,17,maneuver,0.8222222222222223
lower,3,0.25879045650195126,naive_time_sync,rmse,17,response,0.7763713695058437
higher,3,0.8699893834795529,physiology_only,auprc,17,high_response,0.6099681504386587
higher,3,0.7441643323996265,physiology_only,macro_f1,17,maneuver,0.23249299719887953
lower,3,0.4266942388681036,physiology_only,rmse,17,response,0.8556622809305314
higher,3,0.9434194378249209,vehicle_only,auprc,17,high_response,0.8302583134747628
higher,3,0.9299145299145298,vehicle_only,macro_f1,17,maneuver,0.7897435897435897
lower,3,0.5693233368461814,vehicle_only,rmse,17,response,0.8285954331413738
higher,3,0.9467195833240458,chronaris,auprc,29,high_response,0.8401587499721377
higher,3,0.8921095008051529,chronaris,macro_f1,29,maneuver,0.6763285024154588
lower,3,0.28501193764372984,chronaris,rmse,29,response,0.8550358129311795
higher,3,0.9127308342983401,contiformer,auprc,29,high_response,0.7381925028950203
higher,3,0.9238095238095237,contiformer,macro_f1,29,maneuver,0.7714285714285715
lower,3,0.27674877862027925,contiformer,rmse,29,response,0.8302463358608276
higher,3,0.9103940133011875,mult,auprc,29,high_response,0.7311820399035625
higher,3,0.9034201665780613,mult,macro_f1,29,maneuver,0.710260499734184
lower,3,0.26774014071609753,mult,rmse,29,response,0.8032204221482825
higher,3,0.9217805594032908,naive_time_sync,auprc,29,high_response,0.7653416782098725
higher,3,0.8746438746438746,naive_time_sync,macro_f1,29,maneuver,0.6239316239316239
lower,3,0.26647420678348377,naive_time_sync,rmse,29,response,0.7994226203504412
higher,3,0.8756321415534704,physiology_only,auprc,29,high_response,0.6268964246604111
higher,3,0.7286821705426356,physiology_only,macro_f1,29,maneuver,0.18604651162790697
lower,3,0.4198720649079634,physiology_only,rmse,29,response,0.8554305127308771
higher,3,0.942875848054614,vehicle_only,auprc,29,high_response,0.828627544163842
higher,3,0.9299145299145298,vehicle_only,macro_f1,29,maneuver,0.7897435897435897
lower,3,0.5731156613309788,vehicle_only,rmse,29,response,0.8317225636516082
higher,3,0.918273239741513,chronaris,auprc,43,high_response,0.7548197192245389
higher,3,0.9516031457955233,chronaris,macro_f1,43,maneuver,0.8548094373865699
lower,3,0.26639455941096984,chronaris,rmse,43,response,0.7991836782328995
higher,3,0.9340930357650308,contiformer,auprc,43,high_response,0.8022791072950921
higher,3,0.9044551798174987,contiformer,macro_f1,43,maneuver,0.7133655394524959
lower,3,0.27579937105312824,contiformer,rmse,43,response,0.8273981131593746
higher,3,0.9460176035719515,mult,auprc,43,high_response,0.8380528107158545
higher,3,0.8185185185185185,mult,macro_f1,43,maneuver,0.45555555555555555
lower,3,0.27283619001745724,mult,rmse,43,response,0.8185085700523617
higher,3,0.917637902143623,naive_time_sync,auprc,43,high_response,0.7529137064308691
higher,3,0.9166666666666666,naive_time_sync,macro_f1,43,maneuver,0.75
lower,3,0.2647581985776077,naive_time_sync,rmse,43,response,0.7942745957328129
higher,3,0.8710291683418857,physiology_only,auprc,43,high_response,0.6130875050256569
higher,3,0.7851851851851852,physiology_only,macro_f1,43,maneuver,0.35555555555555557
lower,3,0.42951137150065216,physiology_only,rmse,43,response,0.8531828563593704
higher,3,0.9397026483351428,vehicle_only,auprc,43,high_response,0.8191079450054286
higher,3,0.9299145299145298,vehicle_only,macro_f1,43,maneuver,0.7897435897435897
lower,3,0.5695697032829511,vehicle_only,rmse,43,response,0.8361977666595899
