candidate_id,display_name,status,completed_epochs,best_epoch,public_selection_loss,checkpoint_path,checkpoint_sha256,initialization_checkpoint_sha256,teacher_checkpoint_sha256,teacher_target_sha256,task_labels_opened,simulation_oracle_opened,locked_test_opened
fidelity_01_private_teacher_w050,生理私有子空间蒸馏,completed,30,30,0.3109529986977577,artifacts/application_evaluation/2026-07-12_chronaris-v2-fidelity-repair-seed17-r2-cpu/checkpoints/fidelity_01_private_teacher_w050/last.pt,e07e85165f31c579dc53f420a7c9307ee629edd661af4cad9cadf47955958166,88796a0bdfa68f18aa56a53590e66ef132fa2a76de1d89af2aec82031904407e,d068902b1ed1d9fe6bf581aa1d710b70e0efca49d32ccbb2b098b3ef35e2d755,843df0665dcc5c68beaae137f022e17c257a44868c5eb9d396ea927fa3eb3ae1,False,False,False
fidelity_02_path_teacher_w050,生理路径蒸馏（权重 0.5）,completed,30,30,0.31271785870194435,artifacts/application_evaluation/2026-07-12_chronaris-v2-fidelity-repair-seed17-r2-cpu/checkpoints/fidelity_02_path_teacher_w050/last.pt,7ea138ca1c7705c00a39a2a48f0627aafdf7fd369ee38e89c3a16ef0cfc43c14,88796a0bdfa68f18aa56a53590e66ef132fa2a76de1d89af2aec82031904407e,d068902b1ed1d9fe6bf581aa1d710b70e0efca49d32ccbb2b098b3ef35e2d755,843df0665dcc5c68beaae137f022e17c257a44868c5eb9d396ea927fa3eb3ae1,False,False,False
fidelity_03_path_teacher_w100,生理路径蒸馏（权重 1.0）,completed,30,30,0.31277813389897346,artifacts/application_evaluation/2026-07-12_chronaris-v2-fidelity-repair-seed17-r2-cpu/checkpoints/fidelity_03_path_teacher_w100/last.pt,7be16ed0f56edfc0a42fe347e323ed4b0acc82383d3f5a5fe2de6fb7f25cc1a8,88796a0bdfa68f18aa56a53590e66ef132fa2a76de1d89af2aec82031904407e,d068902b1ed1d9fe6bf581aa1d710b70e0efca49d32ccbb2b098b3ef35e2d755,843df0665dcc5c68beaae137f022e17c257a44868c5eb9d396ea927fa3eb3ae1,False,False,False
