dataset_id,task_group,metric,variant_id,ablation_family,value_mean,value_std,value_count,full_value_mean,full_value_std,full_value_count,delta_abs_mean,delta_abs_std,delta_abs_count,delta_rel_pct_mean,delta_rel_pct_std,delta_rel_pct_count
uab_workload_dataset,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,context_only,stream,0.5225084019335422,,1,0.534479361946246,,1,0.011970960012703813,,1,2.291055984632071,,1
uab_workload_dataset,uab_mean,mean_rmse,context_only,stream,3.0666331403116778,,1,3.2790898239427975,,1,-0.2124566836311197,,1,-6.479135828480005,,1
uab_workload_dataset,n_back,n_back_rmse,physiology_only,stream,4.918021992037592,,1,5.095746345036021,,1,-0.17772435299842915,,1,-3.4877001515500834,,1
uab_workload_dataset,n_back,n_back_mae,physiology_only,stream,3.966286894348877,,1,4.02003209081047,,1,-0.053745196461592926,,1,-1.3369345131460748,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_rmse,physiology_only,stream,1.4553362121714066,,1,1.4624333028495735,,1,-0.007097090678166884,,1,-0.4852932892281716,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_mae,physiology_only,stream,1.1528380603912998,,1,1.165638424850562,,1,-0.012800364459262248,,1,-1.098141944051243,,1
uab_workload_dataset,n_back_macro,n_back_macro_f1,physiology_only,stream,0.3096623271471349,,1,0.35769931913332215,,1,0.04803699198618727,,1,15.512701344313893,,1
uab_workload_dataset,n_back_balanced,n_back_balanced_accuracy,physiology_only,stream,0.345215898973197,,1,0.38119125559337164,,1,0.03597535662017465,,1,10.42111812554955,,1
uab_workload_dataset,heat_the_chair_macro,heat_the_chair_macro_f1,physiology_only,stream,0.43984568297736926,,1,0.5072638744453764,,1,0.0674181914680071,,1,15.327691978615116,,1
uab_workload_dataset,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,physiology_only,stream,0.5371052202279429,,1,0.534479361946246,,1,-0.0026258582816969245,,1,-0.48889085095515034,,1
uab_workload_dataset,uab_mean,mean_rmse,physiology_only,stream,3.1866791021044993,,1,3.2790898239427975,,1,-0.09241072183829813,,1,-2.8181820810014564,,1
uab_workload_dataset,n_back,n_back_rmse,no_causal_fusion,causal_fusion,5.060245599260122,,1,5.095746345036021,,1,-0.03550074577589957,,1,-0.6966741154704909,,1
uab_workload_dataset,n_back,n_back_mae,no_causal_fusion,causal_fusion,4.002120917731237,,1,4.02003209081047,,1,-0.017911173079232512,,1,-0.4455480124195098,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_rmse,no_causal_fusion,causal_fusion,1.4605128887100003,,1,1.4624333028495735,,1,-0.0019204141395732233,,1,-0.13131635718574428,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_mae,no_causal_fusion,causal_fusion,1.158981562931748,,1,1.165638424850562,,1,-0.006656861918814094,,1,-0.5710914960329592,,1
uab_workload_dataset,n_back_macro,n_back_macro_f1,no_causal_fusion,causal_fusion,0.3321350239025939,,1,0.35769931913332215,,1,0.02556429523072823,,1,7.696958583393944,,1
uab_workload_dataset,n_back_balanced,n_back_balanced_accuracy,no_causal_fusion,causal_fusion,0.353543719241245,,1,0.38119125559337164,,1,0.027647536352126634,,1,7.820118092173203,,1
uab_workload_dataset,heat_the_chair_macro,heat_the_chair_macro_f1,no_causal_fusion,causal_fusion,0.5295596739037922,,1,0.5072638744453764,,1,-0.022295799458415866,,1,-4.210252509232125,,1
uab_workload_dataset,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,no_causal_fusion,causal_fusion,0.5412271944614714,,1,0.534479361946246,,1,-0.0067478325152253715,,1,-1.2467652372751814,,1
uab_workload_dataset,uab_mean,mean_rmse,no_causal_fusion,causal_fusion,3.260379243985061,,1,3.2790898239427975,,1,-0.018710579957736506,,1,-0.5706028490320156,,1
uab_workload_dataset,n_back,n_back_rmse,full,full,5.095746345036021,,1,5.095746345036021,,1,0.0,,1,0.0,,1
uab_workload_dataset,n_back,n_back_mae,full,full,4.02003209081047,,1,4.02003209081047,,1,0.0,,1,0.0,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_rmse,full,full,1.4624333028495735,,1,1.4624333028495735,,1,0.0,,1,0.0,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_mae,full,full,1.165638424850562,,1,1.165638424850562,,1,0.0,,1,0.0,,1
uab_workload_dataset,n_back_macro,n_back_macro_f1,full,full,0.35769931913332215,,1,0.35769931913332215,,1,0.0,,1,0.0,,1
uab_workload_dataset,n_back_balanced,n_back_balanced_accuracy,full,full,0.38119125559337164,,1,0.38119125559337164,,1,0.0,,1,0.0,,1
uab_workload_dataset,heat_the_chair_macro,heat_the_chair_macro_f1,full,full,0.5072638744453764,,1,0.5072638744453764,,1,0.0,,1,0.0,,1
uab_workload_dataset,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,full,full,0.534479361946246,,1,0.534479361946246,,1,0.0,,1,0.0,,1
uab_workload_dataset,uab_mean,mean_rmse,full,full,3.2790898239427975,,1,3.2790898239427975,,1,0.0,,1,0.0,,1
uab_workload_dataset,n_back,n_back_rmse,mse_loss,regression_loss,5.143220884656303,,1,5.095746345036021,,1,0.04747453962028203,,1,0.9316503688714599,,1
uab_workload_dataset,n_back,n_back_mae,mse_loss,regression_loss,4.08085582431145,,1,4.02003209081047,,1,0.060823733500980026,,1,1.5130161184538575,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_rmse,mse_loss,regression_loss,1.473079488461215,,1,1.4624333028495735,,1,0.010646185611641545,,1,0.7279775146597997,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_mae,mse_loss,regression_loss,1.1847933916046338,,1,1.165638424850562,,1,0.0191549667540718,,1,1.6433026181791766,,1
uab_workload_dataset,n_back_macro,n_back_macro_f1,mse_loss,regression_loss,0.3414769061012817,,1,0.35769931913332215,,1,0.016222413032040472,,1,4.750661828717905,,1
uab_workload_dataset,n_back_balanced,n_back_balanced_accuracy,mse_loss,regression_loss,0.3631224603848444,,1,0.38119125559337164,,1,0.018068795208527222,,1,4.9759508649995245,,1
uab_workload_dataset,heat_the_chair_macro,heat_the_chair_macro_f1,mse_loss,regression_loss,0.5089858489119459,,1,0.5072638744453764,,1,-0.0017219744665695202,,1,-0.3383148019243695,,1
uab_workload_dataset,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,mse_loss,regression_loss,0.5337776426458896,,1,0.534479361946246,,1,0.0007017193003564515,,1,0.13146284975108544,,1
uab_workload_dataset,uab_mean,mean_rmse,mse_loss,regression_loss,3.308150186558759,,1,3.2790898239427975,,1,0.029060362615961566,,1,0.8862325881948305,,1
uab_workload_dataset,n_back,n_back_rmse,no_lag_window,lag_window,5.245713527577499,,1,5.095746345036021,,1,0.14996718254147812,,1,2.942987589787851,,1
uab_workload_dataset,n_back,n_back_mae,no_lag_window,lag_window,4.150049082706442,,1,4.02003209081047,,1,0.13001699189597193,,1,3.2342277115942,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_rmse,no_lag_window,lag_window,1.4663869440830752,,1,1.4624333028495735,,1,0.003953641233501726,,1,0.27034677245095523,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_mae,no_lag_window,lag_window,1.1649189045762314,,1,1.165638424850562,,1,-0.0007195202743306428,,1,-0.06172756997290024,,1
uab_workload_dataset,n_back_macro,n_back_macro_f1,no_lag_window,lag_window,0.32162718257845907,,1,0.35769931913332215,,1,0.03607213655486308,,1,11.215512403421775,,1
uab_workload_dataset,n_back_balanced,n_back_balanced_accuracy,no_lag_window,lag_window,0.3453303333854963,,1,0.38119125559337164,,1,0.035860922207875345,,1,10.384527144287489,,1
uab_workload_dataset,heat_the_chair_macro,heat_the_chair_macro_f1,no_lag_window,lag_window,0.5299135774836304,,1,0.5072638744453764,,1,-0.022649703038254088,,1,-4.274225836184346,,1
uab_workload_dataset,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,no_lag_window,lag_window,0.5418798652222008,,1,0.534479361946246,,1,-0.007400503275954762,,1,-1.3657092191310976,,1
