stage,dataset_id,variant_id,ablation_family,seed,summary_path,artifact_root,evidence_role,data_role,task_group,metric,value
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_rmse,1.4569704227464177
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_mae,1.1600162180469316
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_macro,n_back_macro_f1,0.26523460226177814
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_balanced,n_back_balanced_accuracy,0.33048078459780145
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_macro,heat_the_chair_macro_f1,0.520504240578475
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,0.5225084019335422
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,uab_mean,mean_rmse,3.0666331403116778
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_rmse,4.918021992037592
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_mae,3.966286894348877
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_rmse,1.4553362121714066
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_mae,1.1528380603912998
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_macro,n_back_macro_f1,0.3096623271471349
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_balanced,n_back_balanced_accuracy,0.345215898973197
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_macro,heat_the_chair_macro_f1,0.43984568297736926
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,0.5371052202279429
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,uab_mean,mean_rmse,3.1866791021044993
confirm,uab_workload_dataset,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_rmse,5.060245599260122
confirm,uab_workload_dataset,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_mae,4.002120917731237
confirm,uab_workload_dataset,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_rmse,1.4605128887100003
confirm,uab_workload_dataset,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_mae,1.158981562931748
confirm,uab_workload_dataset,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_macro,n_back_macro_f1,0.3321350239025939
confirm,uab_workload_dataset,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_balanced,n_back_balanced_accuracy,0.353543719241245
confirm,uab_workload_dataset,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_macro,heat_the_chair_macro_f1,0.5295596739037922
confirm,uab_workload_dataset,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,0.5412271944614714
confirm,uab_workload_dataset,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,uab_mean,mean_rmse,3.260379243985061
confirm,uab_workload_dataset,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_rmse,5.095746345036021
confirm,uab_workload_dataset,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_mae,4.02003209081047
confirm,uab_workload_dataset,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_rmse,1.4624333028495735
confirm,uab_workload_dataset,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_mae,1.165638424850562
confirm,uab_workload_dataset,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_macro,n_back_macro_f1,0.35769931913332215
confirm,uab_workload_dataset,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_balanced,n_back_balanced_accuracy,0.38119125559337164
confirm,uab_workload_dataset,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_macro,heat_the_chair_macro_f1,0.5072638744453764
confirm,uab_workload_dataset,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,0.534479361946246
confirm,uab_workload_dataset,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,uab_mean,mean_rmse,3.2790898239427975
confirm,uab_workload_dataset,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_rmse,5.143220884656303
confirm,uab_workload_dataset,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_mae,4.08085582431145
confirm,uab_workload_dataset,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_rmse,1.473079488461215
