dataset_id,metric,ablation_family,component_delta_abs_mean,component_delta_abs_max,component_delta_rel_pct_mean,row_count,positive_delta_means
uab_workload_dataset,n_back_balanced_accuracy,lag_window,0.035860922207875345,0.035860922207875345,10.384527144287489,1,full_better
uab_workload_dataset,heat_the_chair_macro_f1,lag_window,-0.022649703038254088,-0.022649703038254088,-4.274225836184346,1,full_better
uab_workload_dataset,heat_the_chair_balanced_accuracy,lag_window,-0.007400503275954762,-0.007400503275954762,-1.3657092191310976,1,full_better
uab_workload_dataset,mean_rmse,lag_window,0.07696041188749003,0.07696041188749003,2.3470052977979226,1,full_better
uab_workload_dataset,n_back_rmse,event_bias,0.22496717008772027,0.22496717008772027,4.41480314864711,1,full_better
uab_workload_dataset,n_back_mae,event_bias,0.18258799036916162,0.18258799036916162,4.541953552722771,1,full_better
uab_workload_dataset,heat_the_chair_rmse,event_bias,-0.0007304366555727082,-0.0007304366555727082,-0.04994666451792648,1,full_better
uab_workload_dataset,heat_the_chair_mae,event_bias,-0.000718118338023821,-0.000718118338023821,-0.06160729800202715,1,full_better
uab_workload_dataset,n_back_macro_f1,event_bias,0.018538083277786332,0.018538083277786332,5.465861459970191,1,full_better
uab_workload_dataset,n_back_balanced_accuracy,event_bias,0.01722335718299689,0.01722335718299689,4.7321088640563325,1,full_better
uab_workload_dataset,heat_the_chair_macro_f1,event_bias,-0.0006563611971542871,-0.0006563611971542871,-0.129225250560056,1,full_better
uab_workload_dataset,heat_the_chair_balanced_accuracy,event_bias,-0.0002959171562036955,-0.0002959171562036955,-0.05533486078495508,1,full_better
uab_workload_dataset,mean_rmse,event_bias,0.11211836671607367,0.11211836671607367,3.4191916884198634,1,full_better
uab_workload_dataset,n_back_rmse,target_transform,0.30350514788175253,0.30350514788175253,5.9560489736191355,1,full_better
uab_workload_dataset,n_back_mae,target_transform,0.2034233672530812,0.2034233672530812,5.0602423726440815,1,full_better
uab_workload_dataset,heat_the_chair_rmse,target_transform,0.004574003236257784,0.004574003236257784,0.3127666217218433,1,full_better
uab_workload_dataset,heat_the_chair_mae,target_transform,-0.007508085931048569,-0.007508085931048569,-0.6441179160691384,1,full_better
uab_workload_dataset,n_back_macro_f1,target_transform,0.016222413032040472,0.016222413032040472,4.750661828717905,1,full_better
uab_workload_dataset,n_back_balanced_accuracy,target_transform,0.018068795208527222,0.018068795208527222,4.9759508649995245,1,full_better
uab_workload_dataset,heat_the_chair_macro_f1,target_transform,-0.0017219744665695202,-0.0017219744665695202,-0.3383148019243695,1,full_better
uab_workload_dataset,heat_the_chair_balanced_accuracy,target_transform,0.0007017193003564515,0.0007017193003564515,0.13146284975108544,1,full_better
uab_workload_dataset,mean_rmse,target_transform,0.15403957555900494,0.15403957555900494,4.697632081752088,1,full_better
