seed,method,scenario_id,task,target,consumer,metric,value,direction,available,trajectory_count,tolerance_s,smoke_only,selected_alpha
17,chronaris_no_continuous_evolution,timestamp_jitter_100ms,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.3333333333333333,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,timestamp_jitter_100ms,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.6057933002924208,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+0.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.547079394881924,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+0.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7263424726908569,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+0.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.5625,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+0.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+0.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.133338707296059,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+0.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.3747389577246985,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+0.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.375,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+0.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.6025116464446829,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.5905336681753397,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7915260588457379,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.5625,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.19681917676747,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.4724435975028545,lower,True,48,2.0,False,0.1
