split_id,outer_pool_id,split_kind,main_selection,method,task,metric,value,representation_variant,time_baseline_value,standardized_gain,status,fit_role,evaluation_role,outer_test_opened
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,physiology_residual,rmse_ratio,2.5810477900613367,train_phase_residualized_pooled_64d,0.2825606216030745,-3.073292613651144,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,physiology_residual,response_skill,-5.661807694580511,train_phase_residualized_pooled_64d,0.2825606216030745,-3.073292613651144,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,physiology_residual,spearman,0.7132867132867133,train_phase_residualized_pooled_64d,0.2825606216030745,-3.073292613651144,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,high_residual_response,normalized_ap,0.2962962962962963,train_phase_residualized_pooled_64d,0.5555555555555557,-0.5833333333333338,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,high_residual_response,normalized_ap,0.14814814814814814,raw_pooled_64d_diagnostic,0.5555555555555557,-0.9166666666666673,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,high_residual_response,auprc,0.4722222222222222,train_phase_residualized_pooled_64d,0.5555555555555557,-0.5833333333333338,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,high_residual_response,prevalence,0.25,train_phase_residualized_pooled_64d,0.5555555555555557,-0.5833333333333338,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,future_maneuver_score,spearman,-0.8041958041958043,train_phase_residualized_pooled_64d,0.7622377622377624,-6.588235294117653,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,future_maneuver_score,spearman,-0.6713286713286714,raw_pooled_64d_diagnostic,0.7622377622377624,-6.029411764705888,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,future_maneuver_trend,macro_f1,0.15384615384615385,train_phase_residualized_pooled_64d,0.7388888888888889,-2.240589198036007,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,future_maneuver_trend,macro_f1,0.17777777777777778,raw_pooled_64d_diagnostic,0.7388888888888889,-2.1489361702127665,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,physiology_residual,rmse,1.5059089466803046,train_phase_residualized_pooled_64d,0.2825606216030745,-4.3295074810379,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,physiology_residual,rmse,0.8306809306497536,raw_pooled_64d_diagnostic,0.2825606216030745,-1.939832613394545,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,physiology_residual,rmse_ratio,3.3770501681975005,train_phase_residualized_pooled_64d,0.2825606216030745,-4.3295074810379,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,physiology_residual,response_skill,-10.404467838522766,train_phase_residualized_pooled_64d,0.2825606216030745,-4.3295074810379,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,physiology_residual,spearman,-0.7342657342657343,train_phase_residualized_pooled_64d,0.2825606216030745,-4.3295074810379,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,high_residual_response,normalized_ap,0.6666666666666666,train_phase_residualized_pooled_64d,0.5555555555555557,0.2499999999999997,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,high_residual_response,normalized_ap,0.3518518518518518,raw_pooled_64d_diagnostic,0.5555555555555557,-0.45833333333333387,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,high_residual_response,auprc,0.75,train_phase_residualized_pooled_64d,0.5555555555555557,0.2499999999999997,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,mult,high_residual_response,prevalence,0.25,train_phase_residualized_pooled_64d,0.5555555555555557,0.2499999999999997,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,contiformer,future_maneuver_score,spearman,0.7482517482517484,train_phase_residualized_pooled_64d,0.7622377622377624,-0.05882352941176462,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,contiformer,future_maneuver_score,spearman,0.6713286713286714,raw_pooled_64d_diagnostic,0.7622377622377624,-0.38235294117647145,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,contiformer,future_maneuver_trend,macro_f1,0.8333333333333334,train_phase_residualized_pooled_64d,0.7388888888888889,0.3617021276595745,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,contiformer,future_maneuver_trend,macro_f1,0.8380952380952381,raw_pooled_64d_diagnostic,0.7388888888888889,0.37993920972644374,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,contiformer,physiology_residual,rmse,0.5696794880334469,train_phase_residualized_pooled_64d,0.2825606216030745,-1.0161319181754247,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,contiformer,physiology_residual,rmse,0.4744661099579429,raw_pooled_64d_diagnostic,0.2825606216030745,-0.679165721203879,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,contiformer,physiology_residual,rmse_ratio,1.2775249228202086,train_phase_residualized_pooled_64d,0.2825606216030745,-1.0161319181754247,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,contiformer,physiology_residual,response_skill,-0.6320699284267801,train_phase_residualized_pooled_64d,0.2825606216030745,-1.0161319181754247,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,contiformer,physiology_residual,spearman,0.34965034965034975,train_phase_residualized_pooled_64d,0.2825606216030745,-1.0161319181754247,completed,inner_train,inner_validation,False
