split_id,fit_sample_hash,parameter_type,parameter_name,median_std,iqr_std,median_abs_delta,iqr_abs_delta,exclusion_reason,parameter_value
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler,acceleration_north,0.043907951563596725,0.05929914489388466,0.03070000186562538,0.0998000018298626,,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler,acceleration_up,0.031997498124837875,0.04756595939397812,0.0249999996740371,0.0753999981097877,,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler,acceleration_west,0.046794138848781586,0.06463394314050674,0.01979999989271164,0.08369999937713146,,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler_excluded,normal_load_normal,0.0,0.0,0.0,0.0,both_train_iqrs_are_zero,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler,pitch,0.007546044420450926,0.004489045590162277,0.007999420166015625,0.01200103759765625,,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler,roll,0.012302320450544357,0.01580959651619196,0.01399993896484375,0.0140000581741333,,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler_excluded,speed_north,0.0,0.0,0.0,0.0,both_train_iqrs_are_zero,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler_excluded,speed_up,0.0,0.0,0.0,0.0,both_train_iqrs_are_zero,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler_excluded,speed_west,0.0,0.0,0.0,0.0,both_train_iqrs_are_zero,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,semantic_scaler,yaw_or_heading,0.0,0.01743170991539955,0.0,0.01806640625,,
leave_one_view_out__fold01__candidate_339,64be86e546d9a7bfca2a52959a0b9266877101bd703c1d7f0224105053718484,future_trend_tolerance,train_abs_delta_q33,,,,,,0.21405049993737044
leave_one_view_out__fold01__candidate_353,fa7d474124703375ca48ffb6a137f81d6ca4d7b36b663632d435b2cbd3bf1e4d,semantic_scaler,acceleration_north,0.03832031413912773,0.05784880369901657,0.023599999956786633,0.0998000018298626,,
leave_one_view_out__fold01__candidate_353,fa7d474124703375ca48ffb6a137f81d6ca4d7b36b663632d435b2cbd3bf1e4d,semantic_scaler,acceleration_up,0.02012835070490837,0.042155299335718155,0.0249999996740371,0.05549999908544123,,
leave_one_view_out__fold01__candidate_353,fa7d474124703375ca48ffb6a137f81d6ca4d7b36b663632d435b2cbd3bf1e4d,semantic_scaler,acceleration_west,0.046146638691425323,0.06246652081608772,0.01979999989271164,0.08369999937713146,,
leave_one_view_out__fold01__candidate_353,fa7d474124703375ca48ffb6a137f81d6ca4d7b36b663632d435b2cbd3bf1e4d,semantic_scaler_excluded,normal_load_normal,0.0,0.0,0.0,0.0,both_train_iqrs_are_zero,
leave_one_view_out__fold01__candidate_353,fa7d474124703375ca48ffb6a137f81d6ca4d7b36b663632d435b2cbd3bf1e4d,semantic_scaler,pitch,0.007065904792398214,0.003729991614818573,0.010999679565429688,0.011000633239746094,,
leave_one_view_out__fold01__candidate_353,fa7d474124703375ca48ffb6a137f81d6ca4d7b36b663632d435b2cbd3bf1e4d,semantic_scaler,roll,0.011769029311835766,0.007892892695963383,0.0140000581741333,0.01699995994567871,,
leave_one_view_out__fold01__candidate_353,fa7d474124703375ca48ffb6a137f81d6ca4d7b36b663632d435b2cbd3bf1e4d,semantic_scaler_excluded,speed_north,0.0,0.0,0.0,0.0,both_train_iqrs_are_zero,
