sortie_id,view_id,stream_kind,feature_name,total_window_count,observed_window_count,observed_point_count,mean_points_per_observed_window,approx_sampling_interval_s
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1041,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1050,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1051,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1052,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1053,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1054,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1055,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1056,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1057,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1058,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1067,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1068,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1069,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1070,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1071,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1072,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1073,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1074,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1075,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1084,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1085,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1086,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1087,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1088,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1089,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1090,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1091,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1092,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1101,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1102,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1103,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1104,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1105,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1106,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1107,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1108,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1109,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1118,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1119,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1120,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1121,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1122,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1123,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1124,37,5,5,1.0,5.0
20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,vehicle,BUS6000019110021.code1125,37,5,5,1.0,5.0
