sortie_id,feature_name,display_label,semantic_key,is_maneuver_label_source,allowed_in_maneuver_raw_input,raw_overlap_detected,existing_projection_contamination_risk,exclusion_reason
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1103,[IFF空空询问目标参数[5]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1104,[IFF空空询问目标参数[5]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1105,[IFF空空询问目标参数[5]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1106,[IFF空空询问目标参数[5]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1107,[IFF空空询问目标参数[5]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1108,[IFF空空询问目标参数[5]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1109,[IFF空空询问目标参数[6]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1118,[IFF空空询问目标参数[6]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1119,[IFF空空询问目标参数[6]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1120,[IFF空空询问目标参数[6]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1121,[IFF空空询问目标参数[6]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1122,[IFF空空询问目标参数[6]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1123,[IFF空空询问目标参数[6]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1124,[IFF空空询问目标参数[6]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1125,[IFF空空询问目标参数[6]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1126,[IFF空空询问目标参数[7]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1135,[IFF空空询问目标参数[7]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1136,[IFF空空询问目标参数[7]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1137,[IFF空空询问目标参数[7]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1138,[IFF空空询问目标参数[7]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1139,[IFF空空询问目标参数[7]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1140,[IFF空空询问目标参数[7]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1141,[IFF空空询问目标参数[7]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1142,[IFF空空询问目标参数[7]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1143,[IFF空空询问目标参数[8]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1152,[IFF空空询问目标参数[8]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1153,[IFF空空询问目标参数[8]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1154,[IFF空空询问目标参数[8]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1155,[IFF空空询问目标参数[8]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1156,[IFF空空询问目标参数[8]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1157,[IFF空空询问目标参数[8]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1158,[IFF空空询问目标参数[8]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1159,[IFF空空询问目标参数[8]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1160,[IFF空空询问目标参数[9]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1169,[IFF空空询问目标参数[9]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1170,[IFF空空询问目标参数[9]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1171,[IFF空空询问目标参数[9]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1172,[IFF空空询问目标参数[9]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1173,[IFF空空询问目标参数[9]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1174,[IFF空空询问目标参数[9]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1175,[IFF空空询问目标参数[9]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1176,[IFF空空询问目标参数[9]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1177,[IFF空空询问目标参数[10]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1186,[IFF空空询问目标参数[10]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1187,[IFF空空询问目标参数[10]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1188,[IFF空空询问目标参数[10]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1189,[IFF空空询问目标参数[10]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1190,[IFF空空询问目标参数[10]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1191,[IFF空空询问目标参数[10]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1192,[IFF空空询问目标参数[10]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1193,[IFF空空询问目标参数[10]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1194,[IFF空空询问目标参数[11]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1203,[IFF空空询问目标参数[11]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1204,[IFF空空询问目标参数[11]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1205,[IFF空空询问目标参数[11]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1206,[IFF空空询问目标参数[11]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1207,[IFF空空询问目标参数[11]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1208,[IFF空空询问目标参数[11]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1209,[IFF空空询问目标参数[11]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1210,[IFF空空询问目标参数[11]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1211,[IFF空空询问目标参数[12]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1220,[IFF空空询问目标参数[12]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1221,[IFF空空询问目标参数[12]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1222,[IFF空空询问目标参数[12]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1223,[IFF空空询问目标参数[12]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1224,[IFF空空询问目标参数[12]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1225,[IFF空空询问目标参数[12]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1226,[IFF空空询问目标参数[12]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1227,[IFF空空询问目标参数[12]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1228,[IFF空空询问目标参数[13]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1237,[IFF空空询问目标参数[13]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1238,[IFF空空询问目标参数[13]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1239,[IFF空空询问目标参数[13]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1240,[IFF空空询问目标参数[13]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1241,[IFF空空询问目标参数[13]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1242,[IFF空空询问目标参数[13]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1243,[IFF空空询问目标参数[13]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1244,[IFF空空询问目标参数[13]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1245,[IFF空空询问目标参数[14]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1254,[IFF空空询问目标参数[14]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1255,[IFF空空询问目标参数[14]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1256,[IFF空空询问目标参数[14]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1257,[IFF空空询问目标参数[14]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1258,[IFF空空询问目标参数[14]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1259,[IFF空空询问目标参数[14]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1260,[IFF空空询问目标参数[14]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1261,[IFF空空询问目标参数[14]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1262,[IFF空空询问目标参数[15]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1271,[IFF空空询问目标参数[15]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1272,[IFF空空询问目标参数[15]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1273,[IFF空空询问目标参数[15]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1274,[IFF空空询问目标参数[15]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1275,[IFF空空询问目标参数[15]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1276,[IFF空空询问目标参数[15]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1277,[IFF空空询问目标参数[15]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1278,[IFF空空询问目标参数[15]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1279,[IFF空空询问目标参数[16]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1288,[IFF空空询问目标参数[16]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1289,[IFF空空询问目标参数[16]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1290,[IFF空空询问目标参数[16]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1291,[IFF空空询问目标参数[16]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1292,[IFF空空询问目标参数[16]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1293,[IFF空空询问目标参数[16]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1294,[IFF空空询问目标参数[16]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1295,[IFF空空询问目标参数[16]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1296,[IFF空空询问目标参数[17]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1305,[IFF空空询问目标参数[17]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1306,[IFF空空询问目标参数[17]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1307,[IFF空空询问目标参数[17]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1308,[IFF空空询问目标参数[17]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1309,[IFF空空询问目标参数[17]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1310,[IFF空空询问目标参数[17]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1311,[IFF空空询问目标参数[17]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1312,[IFF空空询问目标参数[17]][IFF辅波束指向],,False,True,False,False,
