sortie_id,analysis_id,measurement,source_field,feature_name,display_label,metadata_source
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1035,BUS6000019110021.code1035,[IFF空空询问目标参数[1]][目标高度][_高度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1036,BUS6000019110021.code1036,[IFF空空询问目标参数[1]][敌我识别_识别码],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1037,BUS6000019110021.code1037,[IFF空空询问目标参数[1]][目标方位角精度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1038,BUS6000019110021.code1038,[IFF空空询问目标参数[1]][目标斜距精度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1039,BUS6000019110021.code1039,[IFF空空询问目标参数[1]][IFF主波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1040,BUS6000019110021.code1040,[IFF空空询问目标参数[1]][IFF辅波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1041,BUS6000019110021.code1041,[IFF空空询问目标参数[2]][IFF目标序号],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1042,BUS6000019110021.code1042,[IFF空空询问目标参数[2]][IFF目标敌我属性],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1043,BUS6000019110021.code1043,[IFF空空询问目标参数[2]][IFF询问_交织状态],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1044,BUS6000019110021.code1044,[IFF空空询问目标参数[2]][IFF空空询问目标参数有效性][有效性_目标方位],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1045,BUS6000019110021.code1045,[IFF空空询问目标参数[2]][IFF空空询问目标参数有效性][有效性_目标距离],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1046,BUS6000019110021.code1046,[IFF空空询问目标参数[2]][IFF空空询问目标参数有效性][有效性_目标高度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1047,BUS6000019110021.code1047,[IFF空空询问目标参数[2]][IFF空空询问目标参数有效性][有效性_目标识别码],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1048,BUS6000019110021.code1048,[IFF空空询问目标参数[2]][IFF空空询问目标参数有效性][有效性_主波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1049,BUS6000019110021.code1049,[IFF空空询问目标参数[2]][IFF空空询问目标参数有效性][有效性_辅波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1050,BUS6000019110021.code1050,[IFF空空询问目标参数[2]][目标方位_机体系][_角度_毫弧度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1051,BUS6000019110021.code1051,[IFF空空询问目标参数[2]][目标斜距][_距离],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1052,BUS6000019110021.code1052,[IFF空空询问目标参数[2]][目标高度][_高度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1053,BUS6000019110021.code1053,[IFF空空询问目标参数[2]][敌我识别_识别码],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1054,BUS6000019110021.code1054,[IFF空空询问目标参数[2]][目标方位角精度],analysis_detail
