task_name,split_strategy,metric,model_name,value,source
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,mult,0.1441441441441441,P30
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,contiformer,0.1396396396396396,P30
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,classical_baseline,0.1756756756756756,P30
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,naive_time_sync,0.1351351351351351,P30
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,chronaris_v2_task_heads,0.3418803418803418,P34
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,v2_no_vehicle_aux_head,0.3269230769230769,P34
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,v2_no_residual_t2_head,0.3418803418803418,P34
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,v2_no_contrastive_t3_loss,0.3418803418803418,P34
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,chronaris_v2_task_heads,0.2160654929206758,P34
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,v2_no_vehicle_aux_head,0.1890453788535989,P34
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,v2_no_residual_t2_head,0.2160654929206758,P34
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,v2_no_contrastive_t3_loss,0.2160654929206758,P34
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,chronaris_v2_task_heads,0.3447293447293447,P34
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,v2_no_vehicle_aux_head,0.3304843304843305,P34
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,v2_no_residual_t2_head,0.3447293447293447,P34
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,v2_no_contrastive_t3_loss,0.3447293447293447,P34
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,chronaris_v2_task_heads,0.187488997174914,P34
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,v2_no_vehicle_aux_head,0.1670304433830269,P34
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,v2_no_residual_t2_head,0.1863703274848158,P34
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,v2_no_contrastive_t3_loss,0.1863703274848158,P34
T2_next_window_physiology_response,leave_one_sortie_out,mae,chronaris_v2_task_heads,317.4096145629883,P34
T2_next_window_physiology_response,leave_one_sortie_out,mae,v2_no_vehicle_aux_head,317.4096145629883,P34
T2_next_window_physiology_response,leave_one_sortie_out,mae,v2_no_residual_t2_head,317.9777374267578,P34
T2_next_window_physiology_response,leave_one_sortie_out,mae,v2_no_contrastive_t3_loss,317.4096145629883,P34
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,chronaris_v2_task_heads,2.050324618816376,P34
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,v2_no_vehicle_aux_head,2.050324618816376,P34
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,v2_no_residual_t2_head,2.054646094640096,P34
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,v2_no_contrastive_t3_loss,2.050324618816376,P34
T2_next_window_physiology_response,leave_one_sortie_out,rmse,chronaris_v2_task_heads,415.3611728072357,P34
T2_next_window_physiology_response,leave_one_sortie_out,rmse,v2_no_vehicle_aux_head,415.3611728072357,P34
T2_next_window_physiology_response,leave_one_sortie_out,rmse,v2_no_residual_t2_head,415.8368045231445,P34
T2_next_window_physiology_response,leave_one_sortie_out,rmse,v2_no_contrastive_t3_loss,415.3611728072357,P34
T2_next_window_physiology_response,leave_one_view_out,mae,chronaris_v2_task_heads,276.5041080050998,P34
T2_next_window_physiology_response,leave_one_view_out,mae,v2_no_vehicle_aux_head,276.5041080050998,P34
T2_next_window_physiology_response,leave_one_view_out,mae,v2_no_residual_t2_head,276.98780992296,P34
T2_next_window_physiology_response,leave_one_view_out,mae,v2_no_contrastive_t3_loss,276.5041080050998,P34
T2_next_window_physiology_response,leave_one_view_out,nrmse,chronaris_v2_task_heads,2.259448885917664,P34
T2_next_window_physiology_response,leave_one_view_out,nrmse,v2_no_vehicle_aux_head,2.259448885917664,P34
T2_next_window_physiology_response,leave_one_view_out,nrmse,v2_no_residual_t2_head,2.2634459733963013,P34
T2_next_window_physiology_response,leave_one_view_out,nrmse,v2_no_contrastive_t3_loss,2.259448885917664,P34
T2_next_window_physiology_response,leave_one_view_out,rmse,chronaris_v2_task_heads,346.82748186696887,P34
T2_next_window_physiology_response,leave_one_view_out,rmse,v2_no_vehicle_aux_head,346.82748186696887,P34
T2_next_window_physiology_response,leave_one_view_out,rmse,v2_no_residual_t2_head,347.2382820150208,P34
T2_next_window_physiology_response,leave_one_view_out,rmse,v2_no_contrastive_t3_loss,346.82748186696887,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,chronaris_v2_task_heads,0.1179391455671304,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,v2_no_vehicle_aux_head,0.1179391455671304,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,v2_no_residual_t2_head,0.1179391455671304,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,v2_no_contrastive_t3_loss,0.1179391455671304,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,chronaris_v2_task_heads,0.0315315315315315,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,v2_no_vehicle_aux_head,0.0315315315315315,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,v2_no_residual_t2_head,0.0315315315315315,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,v2_no_contrastive_t3_loss,0.0315315315315315,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,chronaris_v2_task_heads,0.0855855855855856,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,v2_no_vehicle_aux_head,0.0855855855855856,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,v2_no_residual_t2_head,0.0855855855855856,P34
