evidence_quadrant,dataset_role,dataset_id,task_group,model_or_component,metric,value,baseline,delta_abs,delta_rel_pct,protocol,artifact_path,figure_path,midterm_use,wording_boundary
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T1_maneuver_intensity_class,contiformer,macro_f1,0.2229914222769099,chronaris_full,-0.0496580889435766,-22.26905790210683,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T1_maneuver_intensity_class,contiformer,balanced_accuracy,0.3376068376068376,chronaris_full,-0.0042735042735042,-1.2658227848101222,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T1_maneuver_intensity_class,classical_baseline,macro_f1,0.211837227644681,chronaris_full,-0.0385038943113477,-18.17616985430488,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T1_maneuver_intensity_class,classical_baseline,balanced_accuracy,0.3504273504273504,chronaris_full,-0.0170940170940171,-4.878048780487819,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T1_maneuver_intensity_class,classical_baseline,macro_f1,0.1887755102040816,chronaris_full,-0.0154421768707483,-8.180180180180184,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T1_maneuver_intensity_class,classical_baseline,balanced_accuracy,0.3333333333333333,chronaris_full,0.0,0.0,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,chronaris_full,rmse,838.121039184215,,,,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,chronaris_full,mae,762.5578999733825,,,,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,chronaris_full,nrmse,8.780987018657159,,,,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,chronaris_full,rmse,1111.978941346788,,,,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
