stage,candidate,metric,direction,count,median,q1,q3,worst
dingxin,base,validation_maneuver_macro_f1,higher,15,0.19999999999999998,0.17460317460317462,0.24242424242424243,0.16260162601626016
dingxin,base,validation_response_rmse,lower,15,2.108888332089897,1.5895516935089764,5.202896050292664,9.11369618703921
dingxin,base,validation_response_spearman,higher,15,0.13904338153503895,-0.1426027220980414,0.28008898776418245,-0.4848492551333407
dingxin,explicit_shift,validation_maneuver_macro_f1,higher,15,0.2222222222222222,0.1873015873015873,0.3036844536844537,0.14814814814814814
dingxin,explicit_shift,validation_response_rmse,lower,15,2.3164502801637608,1.697843393630357,2.7238140945036395,6.6314837500760495
dingxin,explicit_shift,validation_response_spearman,higher,15,0.19964381093725794,-0.030433764349100965,0.25761957730812013,-0.1426027220980414
dingxin,semantic_pair,validation_maneuver_macro_f1,higher,15,0.17460317460317462,0.1686024003097174,0.24242424242424243,0.14814814814814814
dingxin,semantic_pair,validation_response_rmse,lower,15,2.9055938701174933,1.860004274670546,3.5510789773939866,9.677316830972707
dingxin,semantic_pair,validation_response_spearman,higher,15,0.31372598861569106,0.2186874304783092,0.42205625297950106,-0.3707670774549076
dingxin,both_objectives,validation_maneuver_macro_f1,higher,15,0.24242424242424243,0.19999999999999998,0.3108946608946609,0.16260162601626016
dingxin,both_objectives,validation_response_rmse,lower,15,2.35686381419006,1.7617578929383706,5.200576406002471,6.683927365391089
dingxin,both_objectives,validation_response_spearman,higher,15,0.3142857142857142,0.16087716510408392,0.4472906403940887,-0.598931432811774
cogpilot,base,validation_macro_f1,higher,3,0.1,0.1,0.1,0.1
cogpilot,base,validation_balanced_accuracy,higher,3,0.25,0.25,0.25,0.25
cogpilot,explicit_shift,validation_macro_f1,higher,3,0.1,0.1,0.1,0.1
cogpilot,explicit_shift,validation_balanced_accuracy,higher,3,0.25,0.25,0.25,0.25
cogpilot,semantic_pair,validation_macro_f1,higher,3,0.1,0.1,0.1,0.1
cogpilot,semantic_pair,validation_balanced_accuracy,higher,3,0.25,0.25,0.25,0.25
cogpilot,both_objectives,validation_macro_f1,higher,3,0.1,0.1,0.1,0.1
cogpilot,both_objectives,validation_balanced_accuracy,higher,3,0.25,0.25,0.25,0.25
clare,base,validation_macro_f1,higher,15,0.42857142857142855,0.3333333333333333,0.5,0.2
clare,base,validation_balanced_accuracy,higher,15,0.5,0.5,0.6666666666666666,0.5
clare,base,validation_score_rmse,lower,15,1.9014874929211285,1.4338214906476565,2.0123136524725225,4.041984542983423
clare,base,validation_score_spearman,higher,15,0.316227766016838,0.20540925533894597,0.39999999999999997,-0.9486832980505139
clare,explicit_shift,validation_macro_f1,higher,15,0.42857142857142855,0.3333333333333333,0.6166666666666667,0.2
clare,explicit_shift,validation_balanced_accuracy,higher,15,0.5,0.5,0.625,0.3333333333333333
clare,explicit_shift,validation_score_rmse,lower,15,1.9119948772617394,1.4049393305913287,2.014598058571847,3.6130163884522397
clare,explicit_shift,validation_score_spearman,higher,15,0.316227766016838,0.047295372330527,0.39999999999999997,-0.9486832980505139
clare,semantic_pair,validation_macro_f1,higher,15,0.3333333333333333,0.29166666666666663,0.4642857142857143,0.2
clare,semantic_pair,validation_balanced_accuracy,higher,15,0.5,0.5,0.5,0.3333333333333333
clare,semantic_pair,validation_score_rmse,lower,15,1.906967631804126,1.4571781984942613,2.0055380360884576,4.628623318756413
clare,semantic_pair,validation_score_spearman,higher,15,0.21081851067789195,-0.21081851067789198,0.39999999999999997,-0.9486832980505139
clare,both_objectives,validation_macro_f1,higher,15,0.42857142857142855,0.3333333333333333,0.5,0.2
clare,both_objectives,validation_balanced_accuracy,higher,15,0.5,0.5,0.5833333333333333,0.3333333333333333
clare,both_objectives,validation_score_rmse,lower,15,1.8886020300091966,1.4703272869411632,2.004345721427723,4.298817290195932
clare,both_objectives,validation_score_spearman,higher,15,0.316227766016838,-0.05270462766947299,0.39999999999999997,-0.9486832980505139
