dataset_id,metric,p37_variant,p37_value,reference,reference_value,delta_positive_is_better
nasa_csm,combined_macro_f1,p37_public_force_adaptive_context_gate,0.4439192370785678,P35 v3_stream_role,0.4321928935442479,0.011726343534319894
nasa_csm,combined_macro_f1,p37_public_context_adapter_only_cap2x_do0p2,0.4047969021911251,P35 v3_stream_role,0.4321928935442479,-0.027395991353122817
uab_workload_dataset,mean_rmse,p37_public_force_adaptive_context_gate,3.191811317622917,P35 v3_stream_role,3.374778828202585,0.18296751057966798
uab_workload_dataset,mean_rmse,p37_public_context_adapter_only_cap2x_do0p2,3.3271185705805437,P35 v3_stream_role,3.374778828202585,0.04766025762204107
