view_id,sortie_id,pilot_id,projection_diagnostics_verdict,sample_count,representation_stability,mean_attention_entropy,top_event_concentration,event_mask_interference
20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,8,0.9265633829242401,2.770962357521057,0.06709280144423246,0.11525274068117142
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,8,0.9660867819801189,2.7436560094356537,0.0924281058833003,0.10381997376680374
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033,WARN,8,0.9502256049516241,2.7626210749149323,0.08548432122915983,0.12321030348539352
