stage,dataset_id,candidate_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy,rmse,mae
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,n_back,subject_16,1767,0.3704808353071149,0.3842819280192164,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_01,324,0.37309400669303316,0.5150914634146342,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_02,314,0.35150090274981494,0.4792072774528915,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_03,304,0.4884391800340924,0.4980925958037108,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_06,426,0.6272594364699628,0.6935339127149065,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_08,241,0.40316085978410876,0.5031862745098039,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_12,331,0.5006990434142752,0.5037790273112311,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_16,313,0.4863949817215022,0.4947942185203331,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_17,215,0.437984496124031,0.5213178294573644,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_18,330,0.5345997671579067,0.5610138248847926,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_19,312,0.3757019480267999,0.5090826894624363,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_20,315,0.3442165126434447,0.47508466376390907,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_21,311,0.4193427931292009,0.472242936448753,,
