candidate_id,gate_mode,initial_gate,objective_mode,adapter_mode,use_distillation,best_epoch_positive_support_count,prediction_changed_support_count,median_corrected_sample_fraction,median_residual_contribution_ratio,gate_not_collapsed,activation_gate_passed,maneuver_safe_support_count,response_safe_support_count,high_response_safe_support_count,safety_gate_passed,maneuver_mean_macro_f1,maneuver_direct_mean_macro_f1,maneuver_worst_macro_f1,maneuver_direct_worst_macro_f1,response_median_rmse_ratio,response_mean_skill,response_positive_skill_count,high_response_mean_normalized_ap,high_response_direct_mean_normalized_ap,high_response_positive_support_count,maneuver_improved,response_improved,high_response_improved,improved_task_count,research_gate_passed,ranking_score,outer_test_opened
fixed015_full_shared,fixed,0.15,full,shared,False,4,6,0.0,0.001937862776685506,True,False,6,6,6,True,0.9037037037037038,0.9037037037037038,0.75,0.75,1.0072775067344844,-0.24395742504392293,3,0.37563788394145536,0.3652212172747887,5,False,False,False,0,False,1.272064080910675,False
fixed025_residual_task,fixed,0.25,explicit_residual,task_specific,False,5,6,0.375,0.0006524079799419269,True,False,6,6,6,True,0.9459876543209876,0.9037037037037038,0.75,0.75,0.9243485861640064,-0.01722998514216108,3,0.38296923314780457,0.3652212172747887,5,True,False,False,1,False,1.4046083013047859,False
global015_residual_task,global,0.15,explicit_residual,task_specific,False,4,6,0.3229166716337204,0.0003301521501271054,True,False,6,6,6,True,0.9333333333333332,0.9037037037037038,0.75,0.75,0.9013582871065238,-0.11388324488223844,4,0.3956676458462172,0.3652212172747887,5,True,False,True,2,False,1.4276426920730267,False
conditional015_residual_task,conditional,0.15,explicit_residual,task_specific,False,5,6,0.4895833432674408,0.0003668686840683222,True,False,6,6,6,True,0.9459876543209876,0.9037037037037038,0.75,0.75,0.9065021625124347,-0.054638021766274227,4,0.3982650484436199,0.3652212172747887,5,True,False,True,2,False,1.4377505402521729,False
conditional025_residual_task,conditional,0.25,explicit_residual,task_specific,False,6,6,0.3541666716337204,0.000807905729743652,True,False,6,6,6,True,0.9459876543209876,0.9037037037037038,0.75,0.75,0.8856151784212722,-0.04630379615018487,4,0.40423907441764584,0.3652212172747887,5,True,False,True,2,False,1.4646115503173611,False
conditional015_residual_task_distill,conditional,0.15,explicit_residual,task_specific,True,6,6,0.375,0.00035789415414910764,True,False,6,6,6,True,0.9459876543209876,0.9037037037037038,0.75,0.75,0.863718416570382,-0.0239081448307424,4,0.4010644712430426,0.3652212172747887,5,True,False,True,2,False,1.4833337089936482,False
conditional025_residual_task_distill,conditional,0.25,explicit_residual,task_specific,True,6,6,0.3645833432674408,0.000520428700838238,True,False,6,6,6,True,0.9459876543209876,0.9037037037037038,0.75,0.75,0.8626181408837325,-0.017057003843189866,4,0.40423907441764584,0.3652212172747887,5,True,False,True,2,False,1.487608587854901,False
global025_residual_task_distill,global,0.25,explicit_residual,task_specific,True,6,6,0.375,0.0007115706102922559,True,False,6,6,6,True,0.9459876543209876,0.9037037037037038,0.75,0.75,0.8642537265303265,-0.005807789982460602,4,0.4010644712430426,0.3652212172747887,5,True,False,True,2,False,1.4827983990337037,False
