split_id,candidate_id,variant,task,metric,direction,value,direct_value,direction_normalized_delta,outer_test_opened
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,macro_f1,higher,0.8222222222222223,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,support_aware_macro_f1,diagnostic,0.8222222222222223,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,majority_macro_f1,diagnostic,0.19607843137254902,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,macro_f1_lift,diagnostic,0.6261437908496733,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,recall_low,diagnostic,0.8,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,recall_medium,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,recall_high,diagnostic,1.0,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,minimum_class_recall,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,ordinal_mae,diagnostic,0.16666666666666666,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,score_mae,diagnostic,0.19611800698507378,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,maneuver,score_spearman,diagnostic,0.9510489510489512,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,rmse,lower,1.1377419994354308,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,mae,diagnostic,0.9184632956288136,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,validation_std,diagnostic,0.7424450098311778,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,validation_iqr,diagnostic,0.8094986823286678,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,nrmse_std,diagnostic,1.5324259498951152,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,nrmse_iqr,diagnostic,1.4054896249645672,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,train_mean_baseline_rmse,diagnostic,0.9686999988458442,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,rmse_ratio,diagnostic,1.174503975215228,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,response_skill,diagnostic,-0.37945958779637246,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,response,spearman,diagnostic,0.3356643356643357,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,high_response,auprc,higher,0.8125,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,high_response,prevalence,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,high_response,random_baseline_auprc,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,high_response,normalized_ap,diagnostic,0.43750000000000006,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,high_response,auprc_lift,diagnostic,0.14583333333333337,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,high_response,auroc,diagnostic,0.625,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,direct_only,high_response,balanced_accuracy,diagnostic,0.5,,,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,macro_f1,higher,0.8222222222222223,0.8222222222222223,0.0,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,support_aware_macro_f1,diagnostic,0.8222222222222223,0.8222222222222223,0.0,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,majority_macro_f1,diagnostic,0.19607843137254902,0.19607843137254902,0.0,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,macro_f1_lift,diagnostic,0.6261437908496733,0.6261437908496733,0.0,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,recall_low,diagnostic,0.8,0.8,0.0,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,recall_medium,diagnostic,0.6666666666666666,0.6666666666666666,0.0,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,recall_high,diagnostic,1.0,1.0,0.0,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,minimum_class_recall,diagnostic,0.6666666666666666,0.6666666666666666,0.0,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,ordinal_mae,diagnostic,0.16666666666666666,0.16666666666666666,0.0,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,score_mae,diagnostic,0.19612208741971404,0.19611800698507378,4.080434640257868e-06,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,full,maneuver,score_spearman,diagnostic,0.9510489510489512,0.9510489510489512,0.0,False
