split_id,candidate_id,best_epoch,epoch_count,safety_passed,outer_test_opened,epoch,gate_released,train_maneuver_loss,train_score_loss,train_response_loss,train_risk_loss,train_distillation_loss,train_trust_region_loss,train_gate_regularization,train_total_loss,gradient_norm_before_clip,gradient_cosine_maneuver_response,gradient_cosine_maneuver_high_response,gradient_cosine_response_high_response,validation_selection_score,validation_safe,validation_corrected_sample_fraction,validation_median_contribution_ratio,validation_maneuver_macro_f1,validation_response_rmse,validation_response_skill,validation_high_response_auprc,validation_high_response_normalized_ap,maneuver_checkpoint_improved,response_checkpoint_improved,high_response_checkpoint_improved,improved
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,1,False,4.07673978805542,0.634648323059082,0.880500853061676,3.118251085281372,1.6020705699920654,0.0,0.15000000596046448,8.202421188354492,0.19021615386009216,-0.026979994028806686,0.015182367525994778,0.04063819721341133,1.9154944139804124,True,0.0,0.0011577944969758391,0.8222222222222223,1.1384323541331094,-0.38113414200743634,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,2,False,4.069319725036621,0.6308991312980652,0.8782984018325806,3.1138906478881836,1.5966359376907349,0.0,0.15000000596046448,8.187688827514648,0.3353014290332794,0.20776484906673431,0.05685543268918991,0.0376635305583477,1.9176467206830696,True,0.2083333432674408,0.003869256703183055,0.8222222222222223,1.1405172936334893,-0.3861976277179249,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,3,False,4.044605255126953,0.6208620071411133,0.8716777563095093,3.1019201278686523,1.5822556018829346,0.0,0.15000000596046448,8.142375946044922,0.5445560216903687,0.20619383454322815,0.1027761697769165,-0.10103068500757217,1.920711095341455,True,0.3958333432674408,0.007902131415903568,0.8222222222222223,1.1434857533615304,-0.3934228172143899,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,4,False,4.009077548980713,0.6054372191429138,0.8634761571884155,3.086357593536377,1.559751272201538,0.0,0.15000000596046448,8.079998970031738,0.7187488675117493,0.10876402258872986,0.05491575598716736,-0.01002878975123167,1.9248262124500708,True,0.5625,0.015023032203316689,0.8222222222222223,1.147472067299897,-0.40315499408458,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,5,False,3.9510395526885986,0.5824781060218811,0.8481801748275757,3.0658223628997803,1.5302457809448242,0.0,0.15000000596046448,7.981537818908691,0.9413220882415771,0.15228143334388733,0.05528299883008003,-0.04918612167239189,1.9308087997034402,False,0.6875,0.02260555513203144,0.8222222222222223,1.1532673995653309,-0.4173641141673621,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,6,False,3.881080389022827,0.5679104924201965,0.8375179767608643,3.0366697311401367,1.4943921566009521,2.9352784622460604e-05,0.15000000596046448,7.868851661682129,1.113417148590088,0.12010542303323746,0.08080098778009415,-0.07420714199542999,1.9392373716436344,False,0.7708333730697632,0.031571585685014725,0.8222222222222223,1.1614321571940691,-0.43750410772297976,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,7,False,3.7947254180908203,0.5250157117843628,0.8068053126335144,3.013453722000122,1.4600385427474976,0.005559601355344057,0.15000000596046448,7.720265865325928,1.2996845245361328,0.13375625014305115,0.09401792287826538,-0.013513750396668911,1.9504129830721122,False,0.8541666865348816,0.040668316185474396,0.8222222222222223,1.1722579719719373,-0.46442721509276086,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,8,False,3.715698003768921,0.479227751493454,0.7944412231445312,2.9824960231781006,1.4192487001419067,0.035782527178525925,0.15000000596046448,7.590270042419434,1.4243640899658203,0.09222535043954849,0.04308629781007767,0.01198565773665905,1.883311881388647,False,0.875,0.05004623532295227,0.903030303030303,1.1855359226341322,-0.4977896923633467,0.8125,0.43750000000000006,True,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,9,True,3.5933032035827637,0.46090003848075867,0.7863494753837585,2.928474187850952,1.4001611471176147,0.13330379128456116,0.15000000596046448,7.4071221351623535,1.5405641794204712,0.01714101806282997,0.036342572420835495,0.05912063270807266,1.8990586897312283,False,0.8958333730697632,0.0604882650077343,0.903030303030303,1.2007898558574164,-0.5365808709755469,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,10,True,3.4799861907958984,0.4246866703033447,0.770094633102417,2.818789482116699,1.3794455528259277,0.33845093846321106,0.15000000596046448,7.170880317687988,1.7077556848526,0.04641357436776161,0.08451076596975327,-0.05004090443253517,1.9152892841479323,False,0.8958333730697632,0.0754774808883667,0.903030303030303,1.2165124326501453,-0.577082835540514,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,11,True,3.3236725330352783,0.41402891278266907,0.7457355260848999,2.7625646591186523,1.3559484481811523,0.6113209128379822,0.15000000596046448,6.945495128631592,1.809004545211792,-0.014146014116704464,0.07166621834039688,0.018366830423474312,1.9304549399814457,False,0.875,0.09428847581148148,0.903030303030303,1.2312034034385662,-0.6154034879536339,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,12,True,3.20465350151062,0.392985463142395,0.7280974388122559,2.725074052810669,1.3770419359207153,1.0014441013336182,0.15000000596046448,6.786643981933594,1.8395485877990723,0.043395232409238815,0.11012294143438339,0.057091161608695984,1.9422650474671452,False,0.8958333730697632,0.11145278066396713,0.903030303030303,1.2426438545463325,-0.6455639112578708,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,13,True,3.0643551349639893,0.39841607213020325,0.7347190976142883,2.6272764205932617,1.4723461866378784,1.6283236742019653,0.15000000596046448,6.587600231170654,1.753557562828064,-0.01866641268134117,0.08126532286405563,-0.0018421018030494452,1.9114515409628878,False,0.9166666865348816,0.13304859399795532,0.903030303030303,1.251715792927707,-0.6696785391829416,0.8258928571428572,0.4776785714285717,False,False,True,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,14,True,2.9455180168151855,0.3594638705253601,0.7107297778129578,2.504157781600952,1.4419033527374268,2.3191030025482178,0.15000000596046448,6.3484039306640625,1.7958122491836548,0.03092453069984913,0.10912013798952103,-0.0023378690239042044,1.9180961725349976,False,0.9583333730697632,0.1502619981765747,0.903030303030303,1.2581524475239405,-0.6868945500967543,0.8258928571428572,0.4776785714285717,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,15,True,2.7903316020965576,0.362203985452652,0.6833434104919434,2.5216331481933594,1.5144016742706299,2.8708324432373047,0.15000000596046448,6.2114410400390625,1.879607915878296,0.008360185660421848,0.048489268869161606,0.06373950093984604,1.9213658038543353,False,0.9791666865348816,0.16384533047676086,0.903030303030303,1.2613197393792095,-0.6953984679044494,0.8258928571428572,0.4776785714285717,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,16,True,2.734881639480591,0.3208093047142029,0.6817255616188049,2.37117600440979,1.5387852191925049,3.804966926574707,0.15000000596046448,6.042343616485596,1.8885554075241089,-0.029814261943101883,-0.005986589938402176,0.11783166974782944,1.9178345265761085,False,1.0,0.18292155861854553,0.903030303030303,1.2578989910838667,-0.6862149643715005,0.8258928571428572,0.4776785714285717,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,17,True,2.5892088413238525,0.3011685609817505,0.6323084235191345,2.3525147438049316,1.4939264059066772,4.725490093231201,0.15000000596046448,5.870690822601318,1.7947694063186646,0.009307263419032097,0.0672493651509285,0.056751690804958344,2.0342214703250314,False,1.0,0.18247433006763458,0.7777777777777778,1.2493109022915596,-0.6632688781912173,0.8258928571428572,0.4776785714285717,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,18,True,2.4623234272003174,0.2769324779510498,0.6237835884094238,2.1828041076660156,1.446128010749817,5.0479583740234375,0.15000000596046448,5.576846122741699,1.8834731578826904,-0.09602171927690506,0.03279152885079384,0.0965694934129715,2.0216935692653037,False,0.9791666865348816,0.18739011883735657,0.7777777777777778,1.2371751245494607,-0.6311119142521509,0.8258928571428572,0.4776785714285717,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,19,True,2.217825174331665,0.2978622019290924,0.6317179203033447,2.1510837078094482,1.5137970447540283,6.481855869293213,0.15000000596046448,5.384442329406738,1.866049885749817,-0.13333666324615479,0.03961051627993584,0.1684553176164627,2.046235425103247,False,0.9791666865348816,0.2009713351726532,0.7777777777777778,1.222027838174866,-0.5914155610431417,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,20,True,2.0310637950897217,0.31610772013664246,0.624821126461029,2.068662166595459,1.5361285209655762,6.642893314361572,0.15000000596046448,5.120063304901123,1.9541282653808594,-0.1102117970585823,0.0033132722601294518,0.16010606288909912,2.0975230186654463,False,0.9791666865348816,0.2198069989681244,0.7090909090909091,1.2051731603816802,-0.547819465237346,0.8125,0.43750000000000006,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,21,True,2.153904438018799,0.28064295649528503,0.5942279696464539,2.0460546016693115,1.747416615486145,7.7971978187561035,0.15000000596046448,5.240325450897217,1.7889620065689087,-0.12588438391685486,0.0025226811412721872,0.16517233848571777,2.107890575465846,False,0.9583333730697632,0.21415773034095764,0.7090909090909091,1.1849443376783284,-0.49629526481092157,0.8020833333333333,0.40624999999999983,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,22,True,1.9277077913284302,0.30966827273368835,0.5320113897323608,1.9862889051437378,1.5148663520812988,8.602105140686035,0.15000000596046448,4.938197135925293,1.9415619373321533,-0.056101325899362564,0.04567773640155792,0.14316913485527039,2.0872706973402115,False,0.9791666865348816,0.2199244350194931,0.7090909090909091,1.1649698617618254,-0.4462746759228402,0.8020833333333333,0.40624999999999983,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,23,True,1.7596540451049805,0.28564172983169556,0.5017977952957153,1.894396424293518,1.444093942642212,9.329126358032227,0.15000000596046448,4.6795830726623535,1.9232001304626465,-0.032673466950654984,0.004733242094516754,0.18054211139678955,2.06162159835932,False,0.9791666865348816,0.24663080275058746,0.7090909090909091,1.1401235796086384,-0.38524074394352925,0.8020833333333333,0.40624999999999983,False,False,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,24,True,1.6405686140060425,0.28108900785446167,0.5207051038742065,1.7852596044540405,1.3372633457183838,9.752508163452148,0.15000000596046448,4.490527153015137,1.9184974431991577,-0.08630429953336716,-0.010584963485598564,0.14054326713085175,2.103480982458522,False,0.9583333730697632,0.28917330503463745,0.6412698412698412,1.114974496617231,-0.3248028962233702,0.8020833333333333,0.40624999999999983,False,True,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,25,True,1.5377976894378662,0.2712928056716919,0.5150847434997559,1.659669041633606,1.4587998390197754,10.709750175476074,0.15000000596046448,4.30244779586792,1.813163161277771,-0.08344093710184097,-0.0191924087703228,0.19626109302043915,2.077172628594017,False,0.9583333730697632,0.3326418101787567,0.6412698412698412,1.089489594259049,-0.26493315176846544,0.8020833333333333,0.40624999999999983,False,True,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,26,True,1.2708905935287476,0.20105957984924316,0.37933018803596497,1.7569732666015625,1.3158655166625977,11.523216247558594,0.15000000596046448,4.023716926574707,1.9713338613510132,-0.004163860809057951,0.005617006681859493,0.35767942667007446,2.0930782175028266,False,0.9791666865348816,0.36543092131614685,0.6412698412698412,1.0616518025538944,-0.20111780397943835,0.7872023809523809,0.36160714285714285,False,True,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,27,True,1.0702722072601318,0.23802614212036133,0.30077889561653137,1.467489242553711,1.3627498149871826,13.110710144042969,0.15000000596046448,3.5418310165405273,2.058058023452759,0.05091240629553795,0.010989230126142502,0.3275652527809143,2.0690481398746505,False,1.0,0.39219197630882263,0.6412698412698412,1.0383738663832147,-0.14902347146591932,0.7872023809523809,0.36160714285714285,False,True,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,28,True,1.1201636791229248,0.22106340527534485,0.3299465775489807,1.4029414653778076,1.295589804649353,14.775001525878906,0.15000000596046448,3.636164426803589,2.0954971313476562,-0.07228776812553406,-0.03983506187796593,-0.15885482728481293,2.043691057802318,False,1.0,0.4542044401168823,0.6412698412698412,1.0138104610090122,-0.09530466638773305,0.7872023809523809,0.36160714285714285,False,True,False,False
leave_one_view_out__fold01__candidate_327,fixed015_full_shared,0,43,True,False,29,True,0.910632848739624,0.22042378783226013,0.36867064237594604,1.4427639245986938,1.4800798892974854,15.076802253723145,0.15000000596046448,3.5201425552368164,1.8958789110183716,-0.07308237999677658,0.02456597425043583,0.05164005607366562,2.09702563322503,False,1.0,0.5325762629508972,0.5651515151515151,0.9917398417364668,-0.04813427497686429,0.7872023809523809,0.36160714285714285,False,True,False,False
