split_id,candidate_id,best_epoch,maneuver_best_epoch,response_best_epoch,high_response_best_epoch,safety_passed,corrected_sample_fraction,median_contribution_ratio,mean_contribution_ratio,maximum_prediction_difference,outer_test_opened
leave_one_view_out__fold02__candidate_328,conditional015_residual_task,22,14,22,13,True,0.875,0.1300491839647293,0.24280938506126404,2.1753838062286377,False
leave_one_view_out__fold02__candidate_328,conditional025_residual_task,14,11,14,10,True,0.8958333730697632,0.1934019923210144,0.2338721752166748,2.2047433853149414,False
leave_one_view_out__fold02__candidate_328,conditional015_residual_task_distill,49,10,49,11,True,0.8958333730697632,0.14249353110790253,0.20479142665863037,2.0310449600219727,False
leave_one_view_out__fold02__candidate_328,conditional025_residual_task_distill,30,10,30,10,True,0.9583333730697632,0.17072096467018127,0.23710858821868896,2.763789653778076,False
leave_one_view_out__fold02__candidate_328,global025_residual_task_distill,15,11,15,10,True,0.9166666865348816,0.2163117378950119,0.26093193888664246,1.9232150316238403,False
leave_one_view_out__fold02__candidate_329,fixed015_full_shared,5,5,5,5,True,0.7291666865348816,0.03152277320623398,0.039451964199543,0.1409250944852829,False
leave_one_view_out__fold02__candidate_329,fixed025_residual_task,35,0,35,0,True,0.25,0.00017084190039895475,0.24027609825134277,0.9870041608810425,False
leave_one_view_out__fold02__candidate_329,global015_residual_task,0,0,0,0,True,0.0,0.00011529000039445236,0.00022537060431204736,0.0007277525728568435,False
leave_one_view_out__fold02__candidate_329,conditional015_residual_task,36,0,32,36,True,0.4791666865348816,0.0003511282557155937,0.1541317105293274,0.6959973573684692,False
leave_one_view_out__fold02__candidate_329,conditional025_residual_task,23,0,23,0,True,0.25,0.0002280545304529369,0.18259206414222717,0.9419956207275391,False
leave_one_view_out__fold02__candidate_329,conditional015_residual_task_distill,20,0,20,0,True,0.25,0.00017621659208089113,0.11190133541822433,0.562576949596405,False
leave_one_view_out__fold02__candidate_329,conditional025_residual_task_distill,22,0,22,0,True,0.25,0.00022996639017947018,0.17776629328727722,1.008096694946289,False
leave_one_view_out__fold02__candidate_329,global025_residual_task_distill,21,0,21,0,True,0.25,0.0003954505664296448,0.12762850522994995,0.49001726508140564,False
