split_id,candidate_id,task,minimum,median,mean,maximum,lower_saturation_fraction,upper_saturation_fraction,outer_test_opened
leave_one_view_out__fold01__candidate_339,fixed025_residual_task,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,fixed025_residual_task,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,fixed025_residual_task,response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,fixed025_residual_task,high_response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,global015_residual_task,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,global015_residual_task,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,global015_residual_task,response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,global015_residual_task,high_response,0.15157818794250488,0.15157818794250488,0.15157818794250488,0.15157818794250488,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional015_residual_task,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional015_residual_task,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional015_residual_task,response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional015_residual_task,high_response,0.15039846301078796,0.17821300774812698,0.18233514577150345,0.23112280666828156,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional025_residual_task,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional025_residual_task,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional025_residual_task,response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional025_residual_task,high_response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional015_residual_task_distill,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional015_residual_task_distill,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional015_residual_task_distill,response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional015_residual_task_distill,high_response,0.15056045353412628,0.18245219439268112,0.18815631667772928,0.24658991396427155,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional025_residual_task_distill,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional025_residual_task_distill,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional025_residual_task_distill,response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,conditional025_residual_task_distill,high_response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,global025_residual_task_distill,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,global025_residual_task_distill,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,global025_residual_task_distill,response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_339,global025_residual_task_distill,high_response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,fixed015_full_shared,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,fixed015_full_shared,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,fixed015_full_shared,response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,fixed015_full_shared,high_response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,fixed025_residual_task,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,fixed025_residual_task,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,fixed025_residual_task,response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,fixed025_residual_task,high_response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,global015_residual_task,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,global015_residual_task,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,global015_residual_task,response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,global015_residual_task,high_response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional015_residual_task,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional015_residual_task,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional015_residual_task,response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
