stage,dataset_id,variant_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy,rmse,mae
screen,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,heat_the_chair,subject_01,324,,,2.020133895483096,1.8760918658456684
screen,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,heat_the_chair,subject_02,314,,,2.154577040930463,1.6868235654891677
screen,uab_workload_dataset,p37_public_force_adaptive_context_gate,42,objective,n_back,subject_01,1888,0.30473430543606145,0.3241727281996218,,
screen,uab_workload_dataset,p37_public_force_adaptive_context_gate,42,objective,n_back,subject_02,1876,0.21036309232919229,0.33803020960736946,,
screen,uab_workload_dataset,p37_public_force_adaptive_context_gate,42,objective,heat_the_chair,subject_01,324,0.4098360655737705,0.5270579268292683,,
screen,uab_workload_dataset,p37_public_force_adaptive_context_gate,42,objective,heat_the_chair,subject_02,314,0.44326241134751776,0.47173489278752434,,
screen,uab_workload_dataset,p37_public_force_adaptive_context_gate,42,subjective,n_back,subject_01,1888,,,5.899426073603867,5.147424852854367
screen,uab_workload_dataset,p37_public_force_adaptive_context_gate,42,subjective,n_back,subject_02,1876,,,6.288434256033284,5.945410835812849
screen,uab_workload_dataset,p37_public_force_adaptive_context_gate,42,subjective,heat_the_chair,subject_01,324,,,2.035775212748435,1.8935225127655784
screen,uab_workload_dataset,p37_public_force_adaptive_context_gate,42,subjective,heat_the_chair,subject_02,314,,,2.111283224803401,1.6343626353391416
