variant,source,sample_count,mean_projection_cosine,mean_projection_l2_gap,generated_view_count,pass_view_count,warn_view_count,contract_complete,mean_attention_entropy,mean_top_event_score,mean_top_contribution_score,delta_mean_attention_entropy,delta_mean_top_event_score,delta_mean_top_contribution_score,pilot_delta_mean_projection_cosine,pilot_delta_mean_top_contribution_score,private_t1_macro_f1,private_t2_rmse,private_t3_top1_accuracy,supports,limits
e_baseline,projection_diagnostics_summary,3.0,0.7601730250392468,0.2119331139397271,0.0,0.0,0.0,False,,,,,,,,,,,,对齐预览存在,不含稳定导出与因果解释
f_full,projection_diagnostics_summary + stage_h_run_manifest,3.0,0.699514367348323,0.21201644583491966,3.0,2.0,1.0,True,,,,,,,-0.17006755643201277,,,,,稳定导出与双 pilot 可读性,不直接给出因果 ablation 胜负
g_min,causal_fusion_summary + phase2_case_study,111.0,0.7055855565454272,0.10190834239457885,3.0,2.0,1.0,True,0.9306861907243729,1.0,2.3997923731803894,0.0,0.0,0.0,-0.17006755643201277,-0.21747642755508423,,,,非对称注意力与双 pilot 差异可读,不等价于任务级 superiority
g_no_causal_mask,chronaris_opt_no_causal_mask_private_proxy,,,,,,,,,,,,,,,,0.17333333333333334,313.23247677481385,0.02702702702702703,去掉因果掩码后三任务同步退化,当前来自私有 proxy，不直接等价于公开 benchmark
vehicle_delta_suppressed,phase2_case_study_bundle_only,3.0,0.7055855565454272,0.10190834239457885,3.0,2.0,1.0,True,0.9375,0.0,0.0,0.006813809276,-1.0,-2.39979237318,-0.17006755643201277,-0.21747642755508423,,,,事件/机动敏感性可读,仅是 frozen Stage H view 上的 bundle-only 干预
no_event_bias,phase2_case_study_bundle_only,3.0,0.7055855565454272,0.10190834239457885,3.0,2.0,1.0,True,0.932829491794,1.0,2.126159543792,0.00214330107,0.0,-0.273632829388,-0.17006755643201277,-0.21747642755508423,,,,事件/机动敏感性可读,仅是 frozen Stage H view 上的 bundle-only 干预
