stage,dataset_id,variant_id,seed,summary_path,artifact_root,description,model_name,hidden_dim,layers,num_heads,dropout,fusion_event_bias_weight,fusion_lag_window_points,fusion_normalize_states,learning_rate,batch_size,regression_loss,huber_delta,target_transform,weight_decay,gradient_clip_max_norm,ablation_family,train_sampling_policy,primary_metric,selection_score,secondary_score,combined_macro_f1,combined_balanced_accuracy,benchmark_only_macro_f1,loft_only_macro_f1,sample_count,fold_count,mean_rmse,n_back_rmse,n_back_mae,heat_the_chair_rmse,heat_the_chair_mae,n_back_macro_f1,n_back_balanced_accuracy,heat_the_chair_macro_f1,heat_the_chair_balanced_accuracy
confirm,nasa_csm,p37_public_force_adaptive_context_gate,42,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/nested_public/20260702T-stage-i-optimized-final-polish-r1-public-confirm/confirm/nasa_csm/p37_public_force_adaptive_context_gate__seed42/deep_baseline_summary.json,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/nested_public/20260702T-stage-i-optimized-final-polish-r1-public-confirm/confirm/nasa_csm/p37_public_force_adaptive_context_gate__seed42,P37 public route forcing adaptive context gate for context-proxy streams.,p37_public_force_adaptive_context_gate,64,2,4,0.1,0.25,16,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,p37_public_route,,combined_macro_f1,0.4439192370785678,0.450488228453188,0.4439192370785678,0.450488228453188,0.3697641410407368,0.5076713076713076,2810,17,,,,,,,,,
confirm,nasa_csm,p37_public_context_adapter_only_cap2x_do0p2,42,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/nested_public/20260702T-stage-i-optimized-final-polish-r1-public-confirm/confirm/nasa_csm/p37_public_context_adapter_only_cap2x_do0p2__seed42/deep_baseline_summary.json,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/nested_public/20260702T-stage-i-optimized-final-polish-r1-public-confirm/confirm/nasa_csm/p37_public_context_adapter_only_cap2x_do0p2__seed42,P37 public context-adapter-only route with 2x adapter capacity and dropout 0.2.,p37_public_context_adapter_only_cap2x_do0p2,64,2,4,0.2,0.25,16,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,p37_public_route,,combined_macro_f1,0.40479690219112513,0.41033074800507124,0.40479690219112513,0.41033074800507124,0.37223427777738255,0.5548585068751829,2810,17,,,,,,,,,
confirm,uab_workload_dataset,p37_public_force_adaptive_context_gate,42,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/nested_public/20260702T-stage-i-optimized-final-polish-r1-public-confirm/confirm/uab_workload_dataset/p37_public_force_adaptive_context_gate__seed42/deep_baseline_summary.json,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/nested_public/20260702T-stage-i-optimized-final-polish-r1-public-confirm/confirm/uab_workload_dataset/p37_public_force_adaptive_context_gate__seed42,P37 public route forcing adaptive context gate for context-proxy streams.,p37_public_force_adaptive_context_gate,64,2,4,0.1,0.25,16,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,p37_public_route,,mean_rmse,3.191811317622917,2.546428115476822,,,,,33492,17,3.191811317622917,4.917482923487938,3.926544147658481,1.4661397117578951,1.166312083295163,0.3467945531457892,0.3661208733210693,0.49405094002647554,0.536502004486451
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/nested_public/20260702T-stage-i-optimized-final-polish-r1-public-confirm/confirm/uab_workload_dataset/p37_public_context_adapter_only_cap2x_do0p2__seed42/deep_baseline_summary.json,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/nested_public/20260702T-stage-i-optimized-final-polish-r1-public-confirm/confirm/uab_workload_dataset/p37_public_context_adapter_only_cap2x_do0p2__seed42,P37 public context-adapter-only route with 2x adapter capacity and dropout 0.2.,p37_public_context_adapter_only_cap2x_do0p2,64,2,4,0.2,0.25,16,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,p37_public_route,,mean_rmse,3.3271185705805433,2.6216826295203832,,,,,33492,17,3.3271185705805433,5.191901333542587,4.083830407053194,1.4623358076184991,1.1595348519875723,0.36096061584116096,0.361270196931957,0.5101181878420568,0.5360678842627896
