candidate_id,model_family,feature_profile,learning_rate,weight_decay,dropout,hidden_dims,screen_mean_rmse,screen_mean_mae,n_back_rmse,n_back_mae,heat_the_chair_rmse,heat_the_chair_mae
mlp_huber_small__physiology_only__lr0p0003__wd0p0001,mlp_huber_small,physiology_only,0.0003,0.0001,0.1,"[128, 64]",6.7157298897531295,5.827355098372533,9.695283301768491,8.349846574175327,3.736176477737769,3.304863622569739
mlp_huber_small__physiology_only__lr0p0003__wd0p001,mlp_huber_small,physiology_only,0.0003,0.001,0.1,"[128, 64]",6.7157430012095425,5.8273649934532825,9.695294058231575,8.349850043501366,3.7361919441875098,3.3048799434051994
residual_gated_mlp__physiology_only__lr0p0003__wd0p0001,residual_gated_mlp,physiology_only,0.0003,0.0001,0.1,"[128, 64]",6.728129542210359,5.760178166418641,9.62621970091735,8.27099524679608,3.830039383503368,3.2493610860412026
residual_gated_mlp__physiology_only__lr0p0003__wd0p001,residual_gated_mlp,physiology_only,0.0003,0.001,0.1,"[128, 64]",6.7281439210073595,5.760190420231899,9.626232385375621,8.271000000060639,3.830055456639098,3.249380840403159
residual_gated_mlp__residual_only__lr0p0003__wd0p0001,residual_gated_mlp,residual_only,0.0003,0.0001,0.1,"[128, 64]",6.84427690593354,5.762231287954664,9.645652519664226,8.18180994151587,4.042901292202854,3.342652634393459
residual_gated_mlp__residual_only__lr0p0003__wd0p001,residual_gated_mlp,residual_only,0.0003,0.001,0.1,"[128, 64]",6.844289478774687,5.762242979600508,9.645664721349172,8.18181538362263,4.042914236200203,3.3426705755783845
mlp_huber_small__residual_only__lr0p0003__wd0p0001,mlp_huber_small,residual_only,0.0003,0.0001,0.1,"[128, 64]",7.052237539284792,5.91489858727919,10.161382361664403,8.404048624526006,3.9430927169051806,3.4257485500323734
mlp_huber_small__residual_only__lr0p0003__wd0p001,mlp_huber_small,residual_only,0.0003,0.001,0.1,"[128, 64]",7.0522476191268515,5.9149075131294,10.161389279164036,8.404051724917661,3.943105959089667,3.4257633013411377
linear_huber__physiology_only__lr0p001__wd0p0001,linear_huber,physiology_only,0.001,0.0001,0.0,"[0, 0]",8.420229587025586,7.339676436018477,11.11106473632419,9.307805531752914,5.729394437726984,5.371547340284041
linear_huber__physiology_only__lr0p001__wd0p001,linear_huber,physiology_only,0.001,0.001,0.0,"[0, 0]",8.4202299138108,7.339676763370287,11.111064728361358,9.307805511840327,5.729395099260244,5.371548014900247
linear_huber__physiology_only__lr0p0003__wd0p0001,linear_huber,physiology_only,0.0003,0.0001,0.0,"[0, 0]",8.425167736732824,7.345798009323912,11.112798568226689,9.311172824435785,5.737536905238958,5.380423194212039
linear_huber__physiology_only__lr0p0003__wd0p001,linear_huber,physiology_only,0.0003,0.001,0.0,"[0, 0]",8.425167812113218,7.345798084561477,11.112798569332474,9.311172822652813,5.737537054893962,5.380423346470142
linear_huber__full__lr0p001__wd0p0001,linear_huber,full,0.001,0.0001,0.0,"[0, 0]",8.431810272936605,7.337482446296178,11.106332667850292,9.283569799189983,5.75728787802292,5.391395093402373
linear_huber__full__lr0p001__wd0p001,linear_huber,full,0.001,0.001,0.0,"[0, 0]",8.431810379786914,7.337482635609381,11.10633265826094,9.283569793557511,5.75728810131289,5.39139547766125
linear_huber__full__lr0p0003__wd0p0001,linear_huber,full,0.0003,0.0001,0.0,"[0, 0]",8.434405511647004,7.341489144868431,11.108367510631597,9.287831410363493,5.760443512662409,5.395146879373369
linear_huber__full__lr0p0003__wd0p001,linear_huber,full,0.0003,0.001,0.0,"[0, 0]",8.43440553760498,7.341489191550318,11.108367511357352,9.287831413355404,5.760443563852605,5.395146969745233
linear_huber__residual_only__lr0p001__wd0p0001,linear_huber,residual_only,0.001,0.0001,0.0,"[0, 0]",8.526008057263873,7.441758115522676,11.312513646175923,9.523178618951736,5.739502468351824,5.360337612093616
linear_huber__residual_only__lr0p001__wd0p001,linear_huber,residual_only,0.001,0.001,0.0,"[0, 0]",8.526008190107948,7.44175843781029,11.312513481673433,9.52317842993779,5.739502898542464,5.360338445682791
linear_huber__residual_only__lr0p0003__wd0p0001,linear_huber,residual_only,0.0003,0.0001,0.0,"[0, 0]",8.530603841052638,7.447205796118239,11.31357754586655,9.52519811256325,5.747630136238726,5.369213479673228
linear_huber__residual_only__lr0p0003__wd0p001,linear_huber,residual_only,0.0003,0.001,0.0,"[0, 0]",8.53060386954527,7.447205863854575,11.313577509227683,9.525198061327643,5.747630229862857,5.369213666381507
