dataset_id,task_group,metric_name,metric_direction,classical_baseline,public_baseline,mult,contiformer,chronaris_public_fusion_current,chronaris_public_fusion_refresh,best_model,best_value,chronaris_vs_public_abs_delta,chronaris_vs_public_rel_pct,chronaris_vs_mult_abs_delta,chronaris_vs_mult_rel_pct,chronaris_vs_contiformer_abs_delta,chronaris_vs_contiformer_rel_pct,chronaris_vs_classical_abs_delta,chronaris_vs_classical_rel_pct
nasa_csm,benchmark_only,balanced_accuracy,higher_is_better,0.4905424988898386,0.758165694976977,0.3333333333333333,0.3330567081604426,0.6369680575915146,0.6767944028763925,public_baseline,0.758165694976977,-0.08137129210058447,-10.73265285407769,0.34346106954305916,103.03832086291776,0.3437376947159499,103.20695734203977,0.1862519039865539,37.96855612063504
nasa_csm,benchmark_only,macro_f1,higher_is_better,0.4641561353985333,0.7445135090687961,0.3024598393574297,0.30243657372519467,0.598530591492866,0.6558222022372738,public_baseline,0.7445135090687961,-0.08869130683152227,-11.912652457099583,0.3533623628798441,116.82951483097919,0.35338562851207916,116.84619494240758,0.19166606683874055,41.29344679978698
nasa_csm,combined,balanced_accuracy,higher_is_better,0.37649783482140214,0.5590685276024547,0.3333333333333333,0.33304745568896515,0.5421254364474802,0.56349066834828,chronaris_public_fusion_refresh,0.56349066834828,0.004422140745825254,0.7909836679216133,0.23015733501494667,69.04720050448401,0.23044321265931483,69.19230539762088,0.18699283352687784,49.66637686391501
nasa_csm,combined,macro_f1,higher_is_better,0.3741024976765464,0.4549915569394342,0.3023466874108648,0.30226373483816565,0.5615950767425805,0.5657317313970226,chronaris_public_fusion_refresh,0.5657317313970226,0.11074017445758838,24.338951518682677,0.2633850439861578,87.11358680382655,0.26346799655885694,87.16493783149994,0.1916292337204762,51.223724757422275
nasa_csm,loft_only,balanced_accuracy,higher_is_better,0.38077459244567397,0.39925281706885657,0.3333333333333333,0.32919254658385094,0.6182598039215687,0.6417003395561123,chronaris_public_fusion_refresh,0.6417003395561123,0.2424475224872557,60.725312915060115,0.30836700622277896,92.5101018668337,0.31250779297226133,94.93161258213976,0.2609257471104383,68.52498887453086
nasa_csm,loft_only,macro_f1,higher_is_better,0.3723186247618541,0.3643360690716937,0.30222579780101905,0.3002832861189802,0.6328592010748634,0.6480860136797442,chronaris_public_fusion_refresh,0.6480860136797442,0.2837499446080505,77.8813762060474,0.3458602158787251,114.43768811107063,0.34780272756076397,115.82487059334873,0.27576738891789004,74.0675782991729
uab_workload_dataset,heat_the_chair,balanced_accuracy,higher_is_better,0.5404704649205386,,0.5211289456298294,0.5,0.5036362921613334,0.5334708860334147,classical_baseline,0.5404704649205386,,,0.012341940403585383,2.368308363426077,0.03347088603341475,6.69417720668295,-0.006999578887123881,-1.2950899894507606
uab_workload_dataset,heat_the_chair,macro_f1,higher_is_better,0.5404767483230504,,0.5160979438874922,0.3222028407675056,0.38188213514347424,0.504835572580152,classical_baseline,0.5404767483230504,,,-0.011262371307340202,-2.1822158837732872,0.1826327318126464,56.68253308307424,-0.03564117574289838,-6.59439575402329
uab_workload_dataset,heat_the_chair,mae,lower_is_better,1.2785132457477062,1.073958345604878,2.3534156768308843,1.1636927941704498,1.7990387935997176,1.1512073343729272,public_baseline,1.073958345604878,-0.0772489887680492,-7.192922247328018,1.202208342457957,51.08355290965232,0.01248545979752258,1.0729171702419078,0.12730591137477898,9.957340043069115
uab_workload_dataset,heat_the_chair,rmse,lower_is_better,1.8639105911346199,1.433140268927459,2.8251064718014294,1.4567585837447001,2.1027110772908917,1.4557918272975465,public_baseline,1.433140268927459,-0.022651558370087477,-1.5805541761128215,1.3693146445038828,48.469488076700316,0.000966756447153605,0.06636353188106774,0.40811876383707335,21.89583372605007
uab_workload_dataset,n_back,balanced_accuracy,higher_is_better,0.36246600531768225,,0.30487771996138335,0.3333333333333333,0.327583201891522,0.34282534476789955,classical_baseline,0.36246600531768225,,,0.0379476248065162,12.446834360780038,0.009492011434566239,2.8476034303698716,-0.019640660549782696,-5.418621404942154
uab_workload_dataset,n_back,macro_f1,higher_is_better,0.34776469149030814,,0.2621303182956521,0.16202991625965804,0.3021636801801681,0.32022952206199085,classical_baseline,0.34776469149030814,,,0.05809920376633876,22.164244160726845,0.1581996058023328,97.63604737585186,-0.027535169428317297,-7.9177587898064905
uab_workload_dataset,n_back,mae,lower_is_better,4.798697119158675,3.8042500756744353,4.670542635891571,3.8122692104117193,5.4084016752293715,4.073223467107236,public_baseline,3.8042500756744353,-0.26897339143280075,-7.070339385749132,0.5973191687843347,12.789074318562793,-0.26095425669551675,-6.845116183894423,0.7254736520514387,15.118137986975752
uab_workload_dataset,n_back,rmse,lower_is_better,10.223413421909578,4.610314175862912,5.828201477861089,4.654091035125815,6.064891117853205,5.163878884109296,public_baseline,4.610314175862912,-0.5535647082463848,-12.007092947039217,0.6643225937517929,11.3984150389323,-0.5097878489834811,-10.953542703311127,5.059534537800282,49.48967951308026
uab_workload_dataset,subjective_mean,mean_rmse,lower_is_better,6.043662006522099,3.021727222395185,4.32665397483126,3.055424809435258,4.0838010975720485,3.3098353557034215,public_baseline,3.021727222395185,-0.28810813330823626,-9.534551337822814,1.016818619127838,23.50126968883603,-0.2544105462681636,-8.326519621184426,2.7338266508186773,45.234605242126904
