dataset_id,task_group,task_type,metric_name,metric_direction,model_family,model_name,value,sample_count,fold_count,protocol,evidence_role,source_path
uab_workload_dataset,n_back,classification,balanced_accuracy,higher_is_better,contiformer,contiformer,0.3333333333333333,28052.0,16.0,full_loso_20260501,public_deep_baseline,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,classification,macro_f1,higher_is_better,contiformer,contiformer,0.3222028407675056,5440.0,17.0,full_loso_20260501,public_deep_baseline,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,classification,balanced_accuracy,higher_is_better,contiformer,contiformer,0.5,5440.0,17.0,full_loso_20260501,public_deep_baseline,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,n_back,regression,rmse,lower_is_better,contiformer,contiformer,4.654091035125815,28052.0,16.0,full_loso_20260501,public_deep_baseline,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,n_back,regression,mae,lower_is_better,contiformer,contiformer,3.8122692104117193,28052.0,16.0,full_loso_20260501,public_deep_baseline,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,regression,rmse,lower_is_better,contiformer,contiformer,1.4567585837447001,5440.0,17.0,full_loso_20260501,public_deep_baseline,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,regression,mae,lower_is_better,contiformer,contiformer,1.1636927941704498,5440.0,17.0,full_loso_20260501,public_deep_baseline,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
nasa_csm,benchmark_only,classification,macro_f1,higher_is_better,classical_baseline,classical_baseline,0.4641561353985333,1451.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/nasa_csm/mult/deep_baseline_summary.json
nasa_csm,benchmark_only,classification,balanced_accuracy,higher_is_better,classical_baseline,classical_baseline,0.4905424988898386,1451.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/nasa_csm/mult/deep_baseline_summary.json
nasa_csm,loft_only,classification,macro_f1,higher_is_better,classical_baseline,classical_baseline,0.3723186247618541,1359.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/nasa_csm/mult/deep_baseline_summary.json
nasa_csm,loft_only,classification,balanced_accuracy,higher_is_better,classical_baseline,classical_baseline,0.38077459244567397,1359.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/nasa_csm/mult/deep_baseline_summary.json
nasa_csm,combined,classification,macro_f1,higher_is_better,classical_baseline,classical_baseline,0.3741024976765464,2810.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/nasa_csm/mult/deep_baseline_summary.json
nasa_csm,combined,classification,balanced_accuracy,higher_is_better,classical_baseline,classical_baseline,0.37649783482140214,2810.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/nasa_csm/mult/deep_baseline_summary.json
uab_workload_dataset,n_back,classification,macro_f1,higher_is_better,classical_baseline,classical_baseline,0.34776469149030814,28052.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,n_back,classification,balanced_accuracy,higher_is_better,classical_baseline,classical_baseline,0.36246600531768225,28052.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,classification,macro_f1,higher_is_better,classical_baseline,classical_baseline,0.5404767483230504,5440.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,classification,balanced_accuracy,higher_is_better,classical_baseline,classical_baseline,0.5404704649205386,5440.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
