seed,scenario_id,method_name,metric_count,consumer_refit,source_model_protocol_sha256,prediction_sha256
29,timestamp_jitter_020ms,physiology_only,32,False,b1e15fdbff6f69bbe72a4577899e1b9004fe0fe798c4c9c8ea31f3d8678bb5d0,2d4f0bda0e3622c5f343fab7f34570d47f3e9c3eb2bd5b4730e78731e4f7628f
29,timestamp_jitter_020ms,vehicle_only,32,False,c775f93356b9b84ddeac8fc16648f702619b571fa18bf45f672c8b20322fa2d0,734d0d392bd0b458c78181c1a6ebf75eaa7616d35b89417d874cb39a0f4bdb27
29,timestamp_jitter_020ms,naive_time_sync,32,False,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,452b6218e95916cb7b2ea8ed7b7d364fa2188994c4121e789611131476111452
29,timestamp_jitter_020ms,mult,32,False,48cfe73b079f307b1536471faa41a1138d184b9db411042ff0333947d705fcdb,c707ab2481546e18aa4659a573026d6d0ec642af2fe885572667e93cc4eb0142
29,timestamp_jitter_020ms,contiformer,32,False,9959b916844a53ba9c0ba29cd037c27eb3706514c2a1f6f3b55abdfe3a3cfd9d,3b35e5591fc8af36b4099b3f39ffd8ad2711fbda90736cbc6f3c74da7e7c08c6
29,timestamp_jitter_020ms,chronaris,32,False,5aba2cc494422af3a3acde87ab62b650b7b519cf016728d418b989d732c25470,b18b81368e624d39b56093fa311a25cbe38444b9abb602858461f0207f926575
43,timestamp_jitter_020ms,physiology_only,32,False,32777b31a44b219ea59ee8ca559d95219a4c925a789fe312bd6c5368b18c8c42,48371aae9ad29560cafba3d8219eb34cf6470cbd0a6f43c3f232f28255bf98cc
43,timestamp_jitter_020ms,vehicle_only,32,False,cd0eda4ddfb74f699d07268bb94469a603603366deaa3f2445d4a5ec5066c660,6df3e419fe488c4419bb9e3918e50b40578efdbf054933a11dda1d631121636b
43,timestamp_jitter_020ms,naive_time_sync,32,False,fd2fb9b1e4df7e5376d48f94865d8d6f61826a63b2b736a2f3fe090e70e97488,473d99602524f00854c388032f8dc87f7b6fdccc91686a345b3809c5ea630b02
43,timestamp_jitter_020ms,mult,32,False,20fc8b597c84752744b541e6d10fa42dd74929f41da4c901aa7b0687458cf9a1,90f66f8ac27fc12c2419c09e510d97a5a188f2c07b302790e80e8fd8725662ea
43,timestamp_jitter_020ms,contiformer,32,False,d0fc71ea8334fe717c77629e71179bfe058614ee52d6e0a1cf72e46f6cb0ce40,2ba37ab62fb91712ed1680362db7df8c94bb6f3ea722b4b265f5b34109fe1f0b
43,timestamp_jitter_020ms,chronaris,32,False,86864adf0a93174a13854cd3b1a0837fe83fcb36f14bec24d7887c1f2a4fd30e,88f4c408e4385ee562f07aeae3d6da11f7b6dc230d61f8a5246e743d6dcb419d
17,timestamp_jitter_050ms,physiology_only,32,False,e47406c8f3ffac55c91b764dafc422d58fa76e0d35ecfcef5761c57604fefaed,e083ac96c86ee9923531d782b194905c06bf5a6f2257b908f961cebce38b6f5c
17,timestamp_jitter_050ms,vehicle_only,32,False,eb8e2ebead093956d7334137225c6f5eadc7acee46d50507fa3d2583d4d0b530,4d685ba28b5a7d827a0bda595f5f3ae94bd260d07c42e2cbfa527dfe02f1c8b4
17,timestamp_jitter_050ms,naive_time_sync,32,False,0b6c1a3cc9aaa64c558661d2d4c6aa1f0b633d6f0e55319e535ac93452ec26d6,08bc3e6c6383f24f51b58df714eb517c8a71bf3fdd083c48a064d74c0c95ae3d
17,timestamp_jitter_050ms,mult,32,False,a338f271202ba11e422c6af6403c94ea1418a255ad69d064035e8d9d19ccf83c,72c71f263ee6dbe9d521f9548480dc24ec1370d112225720a527d7e2ab859edf
17,timestamp_jitter_050ms,contiformer,32,False,45cb7d08426946fc275d63046fffe47a3683f9fa757269042d3f5c8d13a2419b,f07504c497cb14d8c88b3399e4bdac428feff4dde6e0c5362f35df21c9a9b38c
17,timestamp_jitter_050ms,chronaris,32,False,736eb5bfd8bcaba7cb205ef26acbafcaee86ab0e4a6e0f22ddfb03fc3cb8a889,cbf327a6f69707d33211690d9b9b34901a655db83cf8d299e53434eb31ae977f
29,timestamp_jitter_050ms,physiology_only,32,False,b1e15fdbff6f69bbe72a4577899e1b9004fe0fe798c4c9c8ea31f3d8678bb5d0,f4117fe4bd8b9cf9d3fcb5d91cbd87a13202a31b2366a8ecc188f9a163d8d931
29,timestamp_jitter_050ms,vehicle_only,32,False,c775f93356b9b84ddeac8fc16648f702619b571fa18bf45f672c8b20322fa2d0,b431ffb220492c782a96f210ef62d7867e47e8f1780349e8fdfbad642d808b78
29,timestamp_jitter_050ms,naive_time_sync,32,False,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,dc584b92f5e337d6c22f998192684db41ef51d0929803b9a01a6c636ed650c57
29,timestamp_jitter_050ms,mult,32,False,48cfe73b079f307b1536471faa41a1138d184b9db411042ff0333947d705fcdb,ebf5a69f4c76e40befb8cedc377ba6fca19a5df81023455f4f57f1a1e26416dd
29,timestamp_jitter_050ms,contiformer,32,False,9959b916844a53ba9c0ba29cd037c27eb3706514c2a1f6f3b55abdfe3a3cfd9d,f18bc79163d4096cadab2cfaded092a9db6294d81ae0c8dcc1c1c21a34455ee5
29,timestamp_jitter_050ms,chronaris,32,False,5aba2cc494422af3a3acde87ab62b650b7b519cf016728d418b989d732c25470,bc8bd254ea9ee26d827d09bb6a7eae7fa76464e92ebb361a34f715b931809f6b
43,timestamp_jitter_050ms,physiology_only,32,False,32777b31a44b219ea59ee8ca559d95219a4c925a789fe312bd6c5368b18c8c42,76b63a71353ac930f5859c23da7d6b83fbb82afbe960d2db9e51da984ddfa418
43,timestamp_jitter_050ms,vehicle_only,32,False,cd0eda4ddfb74f699d07268bb94469a603603366deaa3f2445d4a5ec5066c660,38b8b1b6c2ec5324499318044e4c196f8e6ac42148e8c062efdaa3d61a366d14
43,timestamp_jitter_050ms,naive_time_sync,32,False,fd2fb9b1e4df7e5376d48f94865d8d6f61826a63b2b736a2f3fe090e70e97488,06126cf0628d55c00b17f01effb542f3de3cdc75fee0c7932488568e716afb91
43,timestamp_jitter_050ms,mult,32,False,20fc8b597c84752744b541e6d10fa42dd74929f41da4c901aa7b0687458cf9a1,433099ac62a99bdd79d1d2910ea1bc380ff0b2cd6a73be75ac4f59c1ece663ed
43,timestamp_jitter_050ms,contiformer,32,False,d0fc71ea8334fe717c77629e71179bfe058614ee52d6e0a1cf72e46f6cb0ce40,27950af14d9d9d64fd46d8b7dc02511a69586ef3a9eb966d7047a0d7f9b9f3f2
43,timestamp_jitter_050ms,chronaris,32,False,86864adf0a93174a13854cd3b1a0837fe83fcb36f14bec24d7887c1f2a4fd30e,95166f3375aa468c074248a793fefbc5725e8dd7898bf31773f766bf48f0f479
17,timestamp_jitter_100ms,physiology_only,32,False,e47406c8f3ffac55c91b764dafc422d58fa76e0d35ecfcef5761c57604fefaed,60082afa1399485e559656aa4363807a1ef235fbe6568c5b7bebbf66de3ee88a
17,timestamp_jitter_100ms,vehicle_only,32,False,eb8e2ebead093956d7334137225c6f5eadc7acee46d50507fa3d2583d4d0b530,165f60addfb25f59dfe2017455b1244feaf1ef0bb3c37f9f1d8e89d405432422
17,timestamp_jitter_100ms,naive_time_sync,32,False,0b6c1a3cc9aaa64c558661d2d4c6aa1f0b633d6f0e55319e535ac93452ec26d6,afacd2d14f8d1f5fb947bd82e54019ac214f4eed04ae6039c46a5d3df5182d61
17,timestamp_jitter_100ms,mult,32,False,a338f271202ba11e422c6af6403c94ea1418a255ad69d064035e8d9d19ccf83c,44b73147c476e4478a5620f45b43f060aed80bfc43e9df03bf0528401a74ba17
17,timestamp_jitter_100ms,contiformer,32,False,45cb7d08426946fc275d63046fffe47a3683f9fa757269042d3f5c8d13a2419b,53812367ca5b9de36d9d5cc603c8da0faf67b89e52553cdb796948306802bc4d
17,timestamp_jitter_100ms,chronaris,32,False,736eb5bfd8bcaba7cb205ef26acbafcaee86ab0e4a6e0f22ddfb03fc3cb8a889,019b7d2eb0db63a338b97ce62271049e6fe688a01e3c4a68038682b1178d68d0
29,timestamp_jitter_100ms,physiology_only,32,False,b1e15fdbff6f69bbe72a4577899e1b9004fe0fe798c4c9c8ea31f3d8678bb5d0,444f4fb0ec1a7bcfeda73a166033f08d56b45a99efdae8dd053b152353ac7872
29,timestamp_jitter_100ms,vehicle_only,32,False,c775f93356b9b84ddeac8fc16648f702619b571fa18bf45f672c8b20322fa2d0,3d69632ab8b817aac900f515ad378de2aae8bcd2eb5ac4b7ce5a8bab8bf90560
29,timestamp_jitter_100ms,naive_time_sync,32,False,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,a82a15e7cd086066b2f89e8dde5f3f9700599d9082e41fcd6ee9023b366c9933
29,timestamp_jitter_100ms,mult,32,False,48cfe73b079f307b1536471faa41a1138d184b9db411042ff0333947d705fcdb,d9e238bbb1f1455479433d4f397d3c081518255d22d61b62748d260f09750f6b
29,timestamp_jitter_100ms,contiformer,32,False,9959b916844a53ba9c0ba29cd037c27eb3706514c2a1f6f3b55abdfe3a3cfd9d,0f333a5dc54a5b1e70cc639088570f9a1397ab746c2bc05ddd17d9b40ea9e349
29,timestamp_jitter_100ms,chronaris,32,False,5aba2cc494422af3a3acde87ab62b650b7b519cf016728d418b989d732c25470,3ea4f05281c484540b94e088a6f870b9a851983276f2b0f7fd4f4ae65455d1b0
43,timestamp_jitter_100ms,physiology_only,32,False,32777b31a44b219ea59ee8ca559d95219a4c925a789fe312bd6c5368b18c8c42,d30d57138acd9acc07a6e30236650fe488fe36ac1c005bd6eb5b338c8df0757f
43,timestamp_jitter_100ms,vehicle_only,32,False,cd0eda4ddfb74f699d07268bb94469a603603366deaa3f2445d4a5ec5066c660,4ba534aeb0badb4b8df72f266e0c027784e07ab870816de97b935fc5f264b4b0
43,timestamp_jitter_100ms,naive_time_sync,32,False,fd2fb9b1e4df7e5376d48f94865d8d6f61826a63b2b736a2f3fe090e70e97488,972ca2e92d18cf9f9dced83414aee8f8f82bf152689e6b0a5f7c733feab2876e
43,timestamp_jitter_100ms,mult,32,False,20fc8b597c84752744b541e6d10fa42dd74929f41da4c901aa7b0687458cf9a1,e8a4cc2fc9769a70e96f1aee08be86c2f833ba90a7b29bf296687be33c252222
43,timestamp_jitter_100ms,contiformer,32,False,d0fc71ea8334fe717c77629e71179bfe058614ee52d6e0a1cf72e46f6cb0ce40,de694482508d2e3aa325ea0ebbe6982127fd8050ebe55d4b9e51258e12b2bf8f
43,timestamp_jitter_100ms,chronaris,32,False,86864adf0a93174a13854cd3b1a0837fe83fcb36f14bec24d7887c1f2a4fd30e,fa81d83336dfc7a36a4ae1844e4630efdfc7ac3c36f3a0653411e48e39752ad2
17,clock_offset_+0.00s,physiology_only,32,False,e47406c8f3ffac55c91b764dafc422d58fa76e0d35ecfcef5761c57604fefaed,28707a0e4316ffb84e7d8b6fab426f34c8859f2297968ed31aadb6b285a3767a
17,clock_offset_+0.00s,vehicle_only,32,False,eb8e2ebead093956d7334137225c6f5eadc7acee46d50507fa3d2583d4d0b530,b05b8d215f41a0a457b28d8ee9784c84364e2dadc5a2cf715d1c1131e2c525dc
17,clock_offset_+0.00s,naive_time_sync,32,False,0b6c1a3cc9aaa64c558661d2d4c6aa1f0b633d6f0e55319e535ac93452ec26d6,80aecd301f16e6fa74f331099331afc68a263ab8b9a1d0718ae7637c6df13f4c
17,clock_offset_+0.00s,mult,32,False,a338f271202ba11e422c6af6403c94ea1418a255ad69d064035e8d9d19ccf83c,7fc512b8156069cf2db2fbeb9245d5493a8e0f9c3c9b87a510f8029601761449
17,clock_offset_+0.00s,contiformer,32,False,45cb7d08426946fc275d63046fffe47a3683f9fa757269042d3f5c8d13a2419b,fbf41d0e06204a41aeb3adc21518435d5b037085373e68f844ae25605590b4cf
17,clock_offset_+0.00s,chronaris,32,False,736eb5bfd8bcaba7cb205ef26acbafcaee86ab0e4a6e0f22ddfb03fc3cb8a889,6608e500419cd301577524903738d80d038b3cd5b38f5ff73f9142b410935276
29,clock_offset_+0.00s,physiology_only,32,False,b1e15fdbff6f69bbe72a4577899e1b9004fe0fe798c4c9c8ea31f3d8678bb5d0,80fa7d8091d9a71203208f69012b5a1bc64691ef8328e7ebb031a2f759c50307
29,clock_offset_+0.00s,vehicle_only,32,False,c775f93356b9b84ddeac8fc16648f702619b571fa18bf45f672c8b20322fa2d0,ae943c745632b82ebd7f5bd062fac43bc54bdd45ea069a0540c356c3bbf8da20
29,clock_offset_+0.00s,naive_time_sync,32,False,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,45792b7a3545bc3697ee219f31bb90b835dee39ae9561f077b289d5d81b50eb1
29,clock_offset_+0.00s,mult,32,False,48cfe73b079f307b1536471faa41a1138d184b9db411042ff0333947d705fcdb,3444dc661a70412defc849ec4ebb660f297bbf6fd8ee37956dcc96396d5e424e
29,clock_offset_+0.00s,contiformer,32,False,9959b916844a53ba9c0ba29cd037c27eb3706514c2a1f6f3b55abdfe3a3cfd9d,9b7a06ee89370c58caa1346c3d33a3576417802452b70adc1e0caf9545f61378
29,clock_offset_+0.00s,chronaris,32,False,5aba2cc494422af3a3acde87ab62b650b7b519cf016728d418b989d732c25470,bc5488fcde65b75adbc70ae0ae6e8e4ff4f6214afc36b938aa84848f26434ad3
43,clock_offset_+0.00s,physiology_only,32,False,32777b31a44b219ea59ee8ca559d95219a4c925a789fe312bd6c5368b18c8c42,799c434f811acfb6c62e4874140bc70a4f54a7af3d994d3f6b372a03eec9a947
43,clock_offset_+0.00s,vehicle_only,32,False,cd0eda4ddfb74f699d07268bb94469a603603366deaa3f2445d4a5ec5066c660,fa1873cad08833b14a95ea3ec738c0b4865f2236e11a40e97a15af49e1084d29
43,clock_offset_+0.00s,naive_time_sync,32,False,fd2fb9b1e4df7e5376d48f94865d8d6f61826a63b2b736a2f3fe090e70e97488,d35a265aec7cfe613e09653fcb0a9ac8ae9a128e2baaf090d862a7e3f5727487
43,clock_offset_+0.00s,mult,32,False,20fc8b597c84752744b541e6d10fa42dd74929f41da4c901aa7b0687458cf9a1,7a9bf5fa763c5302748ed616fd5360a4a5a48889f7dca94d9474e5aa3e763c96
43,clock_offset_+0.00s,contiformer,32,False,d0fc71ea8334fe717c77629e71179bfe058614ee52d6e0a1cf72e46f6cb0ce40,5462b20c507d25c49069ee0edb3eb41f2f2a29794c4c40164f225f94f5b765fe
43,clock_offset_+0.00s,chronaris,32,False,86864adf0a93174a13854cd3b1a0837fe83fcb36f14bec24d7887c1f2a4fd30e,d752218a6315c2b06bfb15b1eb6435ff7ae4fdb37446762102049fa24ff13894
17,clock_offset_-0.25s,physiology_only,32,False,e47406c8f3ffac55c91b764dafc422d58fa76e0d35ecfcef5761c57604fefaed,5b511ff2b530c601c1c50d8e34a56f21f11e40143cf45f9867b9ffa8aaa80915
17,clock_offset_-0.25s,vehicle_only,32,False,eb8e2ebead093956d7334137225c6f5eadc7acee46d50507fa3d2583d4d0b530,9511ddd38063a2beab1f8744c09a7f5de8e4df2f60657592d03475da917406df
17,clock_offset_-0.25s,naive_time_sync,32,False,0b6c1a3cc9aaa64c558661d2d4c6aa1f0b633d6f0e55319e535ac93452ec26d6,803b56814d2bdf7be73e35eea250998548c43157f7b052a5654054e03a111496
17,clock_offset_-0.25s,mult,32,False,a338f271202ba11e422c6af6403c94ea1418a255ad69d064035e8d9d19ccf83c,d9e6c6ca5d646e08b79634a757732866a73c9d4f4a2b4cbeb0e55c0ee34f9de4
17,clock_offset_-0.25s,contiformer,32,False,45cb7d08426946fc275d63046fffe47a3683f9fa757269042d3f5c8d13a2419b,b46d308913b36783501efd15f70625c959ef0acfba2932a5f996ba3e49a52c34
17,clock_offset_-0.25s,chronaris,32,False,736eb5bfd8bcaba7cb205ef26acbafcaee86ab0e4a6e0f22ddfb03fc3cb8a889,328b2ab23319c72f74b23ab7cba31931473b092525ed380c7203dd6344c527b2
29,clock_offset_-0.25s,physiology_only,32,False,b1e15fdbff6f69bbe72a4577899e1b9004fe0fe798c4c9c8ea31f3d8678bb5d0,2e6c6413ba9843a01f51547452cac61420941b72592bb81a9a763324f673eead
29,clock_offset_-0.25s,vehicle_only,32,False,c775f93356b9b84ddeac8fc16648f702619b571fa18bf45f672c8b20322fa2d0,f09c69f7522efc82d3311443ccc335e40324802d0040b33a3c68cd7f76c2cfe1
29,clock_offset_-0.25s,naive_time_sync,32,False,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,d433af16b440467e0cf813337675996f7bca5cb4474b74f3ffd6848192e50e2a
29,clock_offset_-0.25s,mult,32,False,48cfe73b079f307b1536471faa41a1138d184b9db411042ff0333947d705fcdb,25824b929d79c2598ceba0902edff43b9744e98af767c90b4709072ebc9a1c5d
29,clock_offset_-0.25s,contiformer,32,False,9959b916844a53ba9c0ba29cd037c27eb3706514c2a1f6f3b55abdfe3a3cfd9d,f88e20a356e775b80afde20ed1ee6810c1c6b28e5eb47371cae8eab703a38a08
29,clock_offset_-0.25s,chronaris,32,False,5aba2cc494422af3a3acde87ab62b650b7b519cf016728d418b989d732c25470,fb304185f31c143cb5fd7fe331d6c3bc3c40bd72ca0a72ac574f9cad9c102878
43,clock_offset_-0.25s,physiology_only,32,False,32777b31a44b219ea59ee8ca559d95219a4c925a789fe312bd6c5368b18c8c42,a230d2489c878f365a2570d3c0bc578a975c58793f959e8d760388142b16a14f
43,clock_offset_-0.25s,vehicle_only,32,False,cd0eda4ddfb74f699d07268bb94469a603603366deaa3f2445d4a5ec5066c660,e514d63b8f4060b39d2092864f4ba3064d5c4bb593469a549ccb69796ee19469
43,clock_offset_-0.25s,naive_time_sync,32,False,fd2fb9b1e4df7e5376d48f94865d8d6f61826a63b2b736a2f3fe090e70e97488,d91c58be5fa66ee4a14700d4ce5c062b9348abf690fa5148c21d00fb3e8428ad
43,clock_offset_-0.25s,mult,32,False,20fc8b597c84752744b541e6d10fa42dd74929f41da4c901aa7b0687458cf9a1,8e30adc68ce677c5f1dade235811267ee031351dfec8daff6118d7fca3ecb69e
43,clock_offset_-0.25s,contiformer,32,False,d0fc71ea8334fe717c77629e71179bfe058614ee52d6e0a1cf72e46f6cb0ce40,b6bf2620a011752a26422a0bceea323ebd6b8da7a66e0eb05bd9d8f4f706b2fe
43,clock_offset_-0.25s,chronaris,32,False,86864adf0a93174a13854cd3b1a0837fe83fcb36f14bec24d7887c1f2a4fd30e,f9bac9e2816dd4ecc684c4e8eb7347fc30391fb8eb63332636272119dcdf3963
17,clock_offset_+0.25s,physiology_only,32,False,e47406c8f3ffac55c91b764dafc422d58fa76e0d35ecfcef5761c57604fefaed,6d5fa2044b325e06a67f26a03c8f19f8d35bd1a10d97004b07fb39ec82a36506
17,clock_offset_+0.25s,vehicle_only,32,False,eb8e2ebead093956d7334137225c6f5eadc7acee46d50507fa3d2583d4d0b530,c861e3f0eb2aa5be87b7dfe5d3db944d8ed45f4c1c43a9947e0ec89752a6126c
17,clock_offset_+0.25s,naive_time_sync,32,False,0b6c1a3cc9aaa64c558661d2d4c6aa1f0b633d6f0e55319e535ac93452ec26d6,676da45202322e8162774740c5149f310c2604018df2f767ea7c283c4c37227c
17,clock_offset_+0.25s,mult,32,False,a338f271202ba11e422c6af6403c94ea1418a255ad69d064035e8d9d19ccf83c,dbc9114f8d08e97564c5d2af2962512502fa9e2e55877d3bcb95ca1303a432d3
