seed,candidate_id,status,completed_epochs,best_epoch,public_self_supervised_validation_loss,checkpoint_path,checkpoint_sha256,task_labels_opened,simulation_oracle_opened,locked_test_opened
17,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,0.3005332164466381,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-pretraining/checkpoints/seed_17/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,False,False,False
29,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,0.2703597955405712,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-pretraining/checkpoints/seed_29/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,bfb46a9650d3663e5638695a2892a2ac4fb548861bafa7f9d9e9359aa83bc66e,False,False,False
43,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,0.3191814161837101,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-pretraining/checkpoints/seed_43/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,98ffcc1a3aad4b1e62a46cfe1d87bf0ee180df367065a265d7c9e05243d6a5c5,False,False,False
