stage,dataset_id,candidate_id,seed,summary_path,artifact_root,hidden_dim,layers,num_heads,dropout,fusion_event_bias_weight,fusion_lag_window_points,fusion_normalize_states,learning_rate,batch_size,regression_loss,huber_delta,target_transform,weight_decay,gradient_clip_max_norm,primary_metric,selection_score,secondary_score,combined_macro_f1,combined_balanced_accuracy,benchmark_only_macro_f1,loft_only_macro_f1,sample_count,fold_count,mean_rmse,mean_mae,n_back_rmse,n_back_mae,heat_the_chair_rmse,heat_the_chair_mae,n_back_macro_f1,heat_the_chair_macro_f1
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_public_fusion_refresh/20260701T-stage-i-public-fusion-refresh-r1/confirm/nasa_csm/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_public_fusion_refresh/20260701T-stage-i-public-fusion-refresh-r1/confirm/nasa_csm/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42,64,2,4,0.1,0.25,16,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,combined_macro_f1,0.5657317313970226,0.56349066834828,0.5657317313970226,0.56349066834828,0.6558222022372738,0.6480860136797442,2810,17,,,,,,,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_public_fusion_refresh/20260701T-stage-i-public-fusion-refresh-r1/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_public_fusion_refresh/20260701T-stage-i-public-fusion-refresh-r1/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42,64,2,4,0.1,0.25,16,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,mean_rmse,3.3098353557034215,2.6122154007400815,,,,,33492,17,3.3098353557034215,2.6122154007400815,5.163878884109296,4.073223467107236,1.4557918272975465,1.1512073343729272,0.32022952206199085,0.504835572580152
