fold_id,classification_label_change_count,classification_compared_count,response_binary_change_count,response_compared_count,response_score_spearman
leave_one_sortie_out__fold01,27,88,3,85,0.9883686834131561
leave_one_sortie_out__fold02,21,83,15,80,0.9971158919045665
leave_one_view_out__fold01,3,93,9,90,0.9787081635173521
leave_one_view_out__fold02,3,93,9,90,0.9787081635173521
leave_one_view_out__fold03,21,83,15,80,0.9971158919045665
