seed,fold_id,method_name,task_name,metric_name,metric_value
17,leave_one_sortie_out__fold01,contiformer,future_maneuver,macro_f1,0.638888888888889
17,leave_one_sortie_out__fold01,contiformer,future_maneuver,balanced_accuracy,0.7000000000000001
17,leave_one_sortie_out__fold01,contiformer,future_physiology,view_context_count,60.0
17,leave_one_sortie_out__fold01,contiformer,future_physiology,field_count,12.0
17,leave_one_sortie_out__fold01,contiformer,future_physiology,standardized_rmse_macro,8.656225643948948
17,leave_one_sortie_out__fold01,contiformer,future_physiology,standardized_mae_macro,8.573190161977122
17,leave_one_sortie_out__fold01,contiformer,future_physiology,skill_vs_persistence,-2144.2807725327957
17,leave_one_sortie_out__fold01,contiformer,future_physiology,positive_skill_field_ratio,0.0
17,leave_one_sortie_out__fold01,contiformer,future_physiology,eeg_rmse_macro,10.00094149301286
17,leave_one_sortie_out__fold01,contiformer,future_physiology,spo2_rmse_macro,1.9326463986293883
17,leave_one_sortie_out__fold01,chronaris,future_maneuver,independent_vehicle_context_count,30.0
17,leave_one_sortie_out__fold01,chronaris,future_maneuver,spearman,0.23781979977753054
17,leave_one_sortie_out__fold01,chronaris,future_maneuver,normalized_mae,20.1890422823059
17,leave_one_sortie_out__fold01,chronaris,future_maneuver,skill_vs_current_maneuver,-127.35218255100824
17,leave_one_sortie_out__fold01,chronaris,future_maneuver,macro_f1,0.16666666666666666
17,leave_one_sortie_out__fold01,chronaris,future_maneuver,balanced_accuracy,0.3333333333333333
17,leave_one_sortie_out__fold01,chronaris,future_physiology,view_context_count,60.0
17,leave_one_sortie_out__fold01,chronaris,future_physiology,field_count,12.0
17,leave_one_sortie_out__fold01,chronaris,future_physiology,standardized_rmse_macro,7.995610726609197
17,leave_one_sortie_out__fold01,chronaris,future_physiology,standardized_mae_macro,7.9225898258548595
17,leave_one_sortie_out__fold01,chronaris,future_physiology,skill_vs_persistence,-1772.8092331368955
17,leave_one_sortie_out__fold01,chronaris,future_physiology,positive_skill_field_ratio,0.0
17,leave_one_sortie_out__fold01,chronaris,future_physiology,eeg_rmse_macro,8.517311614078121
17,leave_one_sortie_out__fold01,chronaris,future_physiology,spo2_rmse_macro,5.387106289264571
