seed,method_name,role,scenario_id,status,sample_count,checkpoint_sha256,representation_sha256,output_root,task_oracle_opened
17,contiformer,train,block_missing_and_long_lag,completed,384,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,1f760732716f01665a98f5c0aea1791ba7253e22e9acead05eb238f78ddb8a86,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/contiformer/train/block_missing_and_long_lag,False
17,chronaris,train,block_missing_and_long_lag,completed,384,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,bb56b593bc7b82dd81c1ee8797a0a54492a85107b30a55a1ba3b22fe44008953,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/chronaris/train/block_missing_and_long_lag,False
17,naive_time_sync,train,mixed_severe,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,6cf20eedb2dc5bf0c72035a2326186b0951dc85c9f125bfd0a6e3cde125d9a92,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/naive_time_sync/train/mixed_severe,False
17,mult,train,mixed_severe,completed,384,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,bcfe8c6780572d8245448cf42528c394ac0342d123d6287932498fc861c88e5f,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/mult/train/mixed_severe,False
17,contiformer,train,mixed_severe,completed,384,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,65792063929b4eaa9cf067fa3a8539f07c295545bcf8cc91a9db7a758579e3b0,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/contiformer/train/mixed_severe,False
17,chronaris,train,mixed_severe,completed,384,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,57cfb27611e2cd3ff2c467c7f6de8ed852808b18444f81534f05cdafb30d277b,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/chronaris/train/mixed_severe,False
17,naive_time_sync,validation,clean_asynchronous,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,328a598f435104b5a3b38579f3137bbb8224b734e2d6cc3a1fbb4a73db458292,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/naive_time_sync/validation/clean_asynchronous,False
17,mult,validation,clean_asynchronous,completed,96,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,cc1ac72ec1e9e6a9699128e6d2685b89c994ab29c104b3ba702417f4427cb9d6,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/mult/validation/clean_asynchronous,False
17,contiformer,validation,clean_asynchronous,completed,96,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,261714d74721c682598ea8a4a4b47d1f128c72bf78c80cdb8dfcc10b8f429b18,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/contiformer/validation/clean_asynchronous,False
17,chronaris,validation,clean_asynchronous,completed,96,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,366a72111cefd5a7ebd899c446d19fbe209baee3375ed0845cc395d7e6f9f969,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/chronaris/validation/clean_asynchronous,False
17,naive_time_sync,validation,sampling_jitter,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,d7db65ffe51b3ecc63015d5d49c98c6d4787513ec0fa62cb69c243d7f180fcec,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/naive_time_sync/validation/sampling_jitter,False
17,mult,validation,sampling_jitter,completed,96,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,4429da970a23752cf23ebfe1756b9f7a389764956fc24bc2e8df7986910abf3b,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/mult/validation/sampling_jitter,False
17,contiformer,validation,sampling_jitter,completed,96,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,9d8f499c702cca77094396080a043e55eaaa28054b114d5c6a7b814c1ca9f044,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/contiformer/validation/sampling_jitter,False
17,chronaris,validation,sampling_jitter,completed,96,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,5dd32b61b6c53b96f5ac3cea18da439e89b177c4830853a57d6f39b63ac14475,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/chronaris/validation/sampling_jitter,False
17,naive_time_sync,validation,clock_offset_and_drift,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,dd52fafdb9900698da1e0a91caffa62b216fa3975328fe848fbdfe86ad4ed16f,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/naive_time_sync/validation/clock_offset_and_drift,False
17,mult,validation,clock_offset_and_drift,completed,96,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,9b8c4060407f647d3a147bc317fe8bc050c28d7875a75f6ae4d3f64fbe942b62,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/mult/validation/clock_offset_and_drift,False
17,contiformer,validation,clock_offset_and_drift,completed,96,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,60d2bbfbd015b700cf8e0b75abbb5b46c4451717182eeb2e73d200568ef5e86c,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/contiformer/validation/clock_offset_and_drift,False
17,chronaris,validation,clock_offset_and_drift,completed,96,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,c20cfffbcdce33ce1f804bb68cecaa609951ce7f8df2358da1f4981c960ed8f7,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/chronaris/validation/clock_offset_and_drift,False
17,naive_time_sync,validation,random_missing,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,284a1543e78b5fae0d2bf47e73417ada0e0baba6e91f4043037b72ba0b2cccf3,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/naive_time_sync/validation/random_missing,False
17,mult,validation,random_missing,completed,96,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,0108f4dcfe5598aea8a0477d2d3e46d0d36325d400d612eed6453f1bda9776b8,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/mult/validation/random_missing,False
17,contiformer,validation,random_missing,completed,96,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,28abcc2b08da919d0b3fba8eea59735ae36f40c8a82e867dbda0f84e9cb40284,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/contiformer/validation/random_missing,False
17,chronaris,validation,random_missing,completed,96,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,b118aea6c8993620f2d831ee5814b5f546b0197b59e83d3d878771ca072bb15a,artifacts/application_evaluation/2026-07-13_chronaris-v2-mechanism-representations/representations/seed_17/chronaris/validation/random_missing,False
