outer_fold_id,task_decision_split_id,maneuver_target_mode,modality,history_s,train_count,evaluation_count,macro_f1,status,outer_test_accessed,reason
leave_one_view_out__fold03,task-decision-time-01,current_5s,physiology_only,30.0,12,14,0.08333333333333333,completed,False,
leave_one_view_out__fold03,task-decision-time-01,current_5s,vehicle_only,5.0,12,14,0.09523809523809523,completed,False,
leave_one_view_out__fold03,task-decision-time-01,current_5s,vehicle_only,30.0,12,14,0.2222222222222222,completed,False,
leave_one_view_out__fold03,task-decision-time-01,current_5s,dual_stream,5.0,12,14,0.09523809523809523,completed,False,
leave_one_view_out__fold03,task-decision-time-01,current_5s,dual_stream,30.0,12,14,0.2222222222222222,completed,False,
leave_one_view_out__fold03,task-decision-time-01,future_5s,physiology_only,5.0,12,14,0.19047619047619047,completed,False,
leave_one_view_out__fold03,task-decision-time-01,future_5s,physiology_only,30.0,12,14,0.3076923076923077,completed,False,
leave_one_view_out__fold03,task-decision-time-01,future_5s,vehicle_only,5.0,12,14,0.0,completed,False,
leave_one_view_out__fold03,task-decision-time-01,future_5s,vehicle_only,30.0,12,14,0.0,completed,False,
leave_one_view_out__fold03,task-decision-time-01,future_5s,dual_stream,5.0,12,14,0.0,completed,False,
leave_one_view_out__fold03,task-decision-time-01,future_5s,dual_stream,30.0,12,14,0.0,completed,False,
leave_one_view_out__fold03,task-decision-time-03,current_5s,physiology_only,5.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,current_5s,physiology_only,30.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,current_5s,vehicle_only,5.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,current_5s,vehicle_only,30.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,current_5s,dual_stream,5.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,current_5s,dual_stream,30.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,future_5s,physiology_only,5.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,future_5s,physiology_only,30.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,future_5s,vehicle_only,5.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,future_5s,vehicle_only,30.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,future_5s,dual_stream,5.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
leave_one_view_out__fold03,task-decision-time-03,future_5s,dual_stream,30.0,0,0,,unavailable_target_fit,False,only 2 fitted semantic scalers; require 4
