candidate_id,candidate_order,evaluation_role,fit_role,metric,outer_pool_id,outer_test_opened,ranking_eligible,split_id,status,task,validation_support_hash,value
vehicle_5s_global,0,inner_validation,inner_train,macro_f1,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.9153439153439153
vehicle_5s_global,0,inner_validation,inner_train,support_aware_macro_f1,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.9153439153439153
vehicle_5s_global,0,inner_validation,inner_train,majority_macro_f1,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.16666666666666666
vehicle_5s_global,0,inner_validation,inner_train,macro_f1_lift,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.7486772486772487
vehicle_5s_global,0,inner_validation,inner_train,recall_low,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.0
vehicle_5s_global,0,inner_validation,inner_train,recall_medium,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.75
vehicle_5s_global,0,inner_validation,inner_train,recall_high,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.0
vehicle_5s_global,0,inner_validation,inner_train,minimum_class_recall,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.75
vehicle_5s_global,0,inner_validation,inner_train,ordinal_mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.08333333333333333
vehicle_5s_global,0,inner_validation,inner_train,score_mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.5508018031190532
vehicle_5s_global,0,inner_validation,inner_train,score_spearman,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.9090909090909092
vehicle_5s_global,0,inner_validation,inner_train,rmse,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.158349809059469
vehicle_5s_global,0,inner_validation,inner_train,mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.9736949757889627
vehicle_5s_global,0,inner_validation,inner_train,validation_std,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.9229823964743179
vehicle_5s_global,0,inner_validation,inner_train,validation_iqr,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.5375502327333572
vehicle_5s_global,0,inner_validation,inner_train,nrmse_std,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.255007477373595
vehicle_5s_global,0,inner_validation,inner_train,nrmse_iqr,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.7533736358000023
vehicle_5s_global,0,inner_validation,inner_train,train_mean_baseline_rmse,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.2411261006308119
