split_id,task,statistic,value,detail
leave_one_view_out__fold01__candidate_339,maneuver,score_train_validation_rank_association,-0.5664335664335665,validation temporal order versus maneuver score
leave_one_view_out__fold01__candidate_339,response,validation_to_train_mean_ratio,1.8771982874064796,same split-specific response scale
leave_one_view_out__fold01__candidate_339,response,validation_to_train_std_ratio,1.9196575410386723,same split-specific response scale
leave_one_view_out__fold01__candidate_339,high_response,validation_prevalence,0.6666666666666666,fold-local train q75 definition
leave_one_view_out__fold01__candidate_353,maneuver,score_train_validation_rank_association,-0.7972027972027973,validation temporal order versus maneuver score
leave_one_view_out__fold01__candidate_353,response,validation_to_train_mean_ratio,1.4953414087871253,same split-specific response scale
leave_one_view_out__fold01__candidate_353,response,validation_to_train_std_ratio,1.505478560816367,same split-specific response scale
leave_one_view_out__fold01__candidate_353,high_response,validation_prevalence,0.4166666666666667,fold-local train q75 definition
leave_one_view_out__fold02__candidate_328,maneuver,score_train_validation_rank_association,-0.3216783216783217,validation temporal order versus maneuver score
leave_one_view_out__fold02__candidate_328,response,validation_to_train_mean_ratio,1.3018628732989654,same split-specific response scale
leave_one_view_out__fold02__candidate_328,response,validation_to_train_std_ratio,1.1967920936966465,same split-specific response scale
leave_one_view_out__fold02__candidate_328,high_response,validation_prevalence,0.4166666666666667,fold-local train q75 definition
leave_one_view_out__fold02__candidate_329,maneuver,score_train_validation_rank_association,-0.2517482517482518,validation temporal order versus maneuver score
leave_one_view_out__fold02__candidate_329,response,validation_to_train_mean_ratio,1.2107245921794454,same split-specific response scale
leave_one_view_out__fold02__candidate_329,response,validation_to_train_std_ratio,1.1833247820629056,same split-specific response scale
leave_one_view_out__fold02__candidate_329,high_response,validation_prevalence,0.4166666666666667,fold-local train q75 definition
leave_one_view_out__fold01__candidate_340,maneuver,score_train_validation_rank_association,-0.6223776223776225,validation temporal order versus maneuver score
leave_one_view_out__fold01__candidate_340,response,validation_to_train_mean_ratio,1.5479853208177645,same split-specific response scale
leave_one_view_out__fold01__candidate_340,response,validation_to_train_std_ratio,1.4946669680059563,same split-specific response scale
leave_one_view_out__fold01__candidate_340,high_response,validation_prevalence,0.5833333333333334,fold-local train q75 definition
leave_one_view_out__fold01__candidate_327,maneuver,score_train_validation_rank_association,-0.16083916083916086,validation temporal order versus maneuver score
leave_one_view_out__fold01__candidate_327,response,validation_to_train_mean_ratio,1.5838228710911242,same split-specific response scale
leave_one_view_out__fold01__candidate_327,response,validation_to_train_std_ratio,1.3930047833797397,same split-specific response scale
leave_one_view_out__fold01__candidate_327,high_response,validation_prevalence,0.6666666666666666,fold-local train q75 definition
legacy_diagnostic__leave_one_view_out__fold01,maneuver,score_train_validation_rank_association,0.17580645161290323,validation temporal order versus maneuver score
legacy_diagnostic__leave_one_view_out__fold01,response,validation_to_train_mean_ratio,1.1800205596093043,same split-specific response scale
legacy_diagnostic__leave_one_view_out__fold01,response,validation_to_train_std_ratio,1.0776452890171475,same split-specific response scale
legacy_diagnostic__leave_one_view_out__fold01,high_response,validation_prevalence,0.43333333333333335,fold-local train q75 definition
legacy_diagnostic__leave_one_view_out__fold02,maneuver,score_train_validation_rank_association,0.17580645161290323,validation temporal order versus maneuver score
legacy_diagnostic__leave_one_view_out__fold02,response,validation_to_train_mean_ratio,1.1800205596093043,same split-specific response scale
legacy_diagnostic__leave_one_view_out__fold02,response,validation_to_train_std_ratio,1.0776452890171475,same split-specific response scale
legacy_diagnostic__leave_one_view_out__fold02,high_response,validation_prevalence,0.43333333333333335,fold-local train q75 definition
legacy_diagnostic__leave_one_view_out__fold03,maneuver,score_train_validation_rank_association,-0.4252619471630005,validation temporal order versus maneuver score
legacy_diagnostic__leave_one_view_out__fold03,response,validation_to_train_mean_ratio,1.4567099983139216,same split-specific response scale
legacy_diagnostic__leave_one_view_out__fold03,response,validation_to_train_std_ratio,1.5800457395073644,same split-specific response scale
legacy_diagnostic__leave_one_view_out__fold03,high_response,validation_prevalence,0.6666666666666666,fold-local train q75 definition
