split_id,split_kind,field_name,selected_field_count,mean_jaccard_to_main_splits,train_iqr,validation_iqr,validation_to_train_iqr_ratio,train_mean,validation_mean,validation_to_train_mean_ratio,fit_role,outer_test_opened
leave_one_view_out__fold01__candidate_339,main_selection,eeg.af3,12,1.0,62.95648384094238,175.4890899658203,2.787466504787467,71.9586353302002,114.10191599527995,1.585659809579417,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,eeg.af4,12,1.0,71.05340576171875,145.94296264648438,2.0539896867985696,63.04700622558594,114.44091320037842,1.815168079367671,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,eeg.f3,12,1.0,69.5977783203125,121.3675537109375,1.7438423558919223,65.73701171875,84.390869140625,1.2837649131616127,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,eeg.f4,12,1.0,43.792633056640625,94.05609130859375,2.1477605876527965,56.460479736328125,81.61737060546875,1.4455663676012662,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,eeg.f7,12,1.0,75.94283175468445,146.67491149902344,1.9313858610490378,64.47806797027587,106.98568026224773,1.6592569168103437,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,eeg.f8,12,1.0,66.82342529296875,117.673583984375,1.7609630674941885,65.95439453125,89.10994466145833,1.351084265040701,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,eeg.fp1,12,1.0,71.88599181175232,182.52987670898438,2.539157798461972,67.48941001892089,113.015061378479,1.6745599249837098,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,eeg.fp2,12,1.0,85.02886962890625,162.14231872558594,1.9069090231732817,75.70588989257813,152.15296936035156,2.0097903819141023,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,eeg.fpz,12,1.0,81.5030517578125,184.435546875,2.262928110017928,66.814990234375,120.83809407552083,1.8085476575188062,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,eeg.fz,12,1.0,117.068359375,1297.6943359375,11.084928010143646,88.11484375,667.7330729166666,7.577986233638036,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,spo2.toi1,12,1.0,0.5175714492797852,0.9188175201416016,1.7752476907684172,0.5149173736572266,0.8294989267985026,1.6109359855289882,inner_train,False
leave_one_view_out__fold01__candidate_339,main_selection,spo2.toi2,12,1.0,0.6407890319824219,0.7340259552001953,1.1455033069609892,0.547457504272461,0.7246430714925131,1.3236517279190854,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.af3,12,1.0,62.95648384094238,106.07850646972656,1.6849496667846102,72.25814857482911,93.73668734232585,1.2972472889373023,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.af4,12,1.0,64.14671325683594,80.34334182739258,1.2524935066541483,63.46107177734375,81.89303970336914,1.2904452668353104,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.f3,12,1.0,63.598876953125,82.9722900390625,1.3046187922503176,64.4958984375,70.77298990885417,1.0973254365537215,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.f4,12,1.0,55.569305419921875,67.23687744140625,1.209964330727472,64.63507080078125,61.406717936197914,0.9500526134715038,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.f7,12,1.0,69.13113927841187,86.88680648803711,1.2568403673794213,66.2438554763794,83.3496462504069,1.2582245651466788,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.f8,12,1.0,62.081787109375,59.659423828125,0.960981096162997,70.42867431640624,69.6881103515625,0.9894849083554136,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.fp1,12,1.0,75.66623854637146,103.19517517089844,1.363820604187376,66.75906677246094,90.04306189219157,1.3487765219830126,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.fp2,12,1.0,83.21829223632812,103.86306762695312,1.2480797771239618,81.33406372070313,95.57977294921875,1.1751505897631604,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.fpz,12,1.0,81.5030517578125,118.712890625,1.4565453448020214,68.043798828125,99.74910481770833,1.4659543784389408,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,eeg.fz,12,1.0,48.83203125,782.0078125,16.01423886089113,56.8341796875,438.7415364583333,7.719677469979025,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,spo2.toi1,12,1.0,0.49776458740234375,0.6369199752807617,1.2795606425210366,0.5262990951538086,0.8411041895548502,1.5981486521633508,inner_train,False
leave_one_view_out__fold01__candidate_353,main_selection,spo2.toi2,12,1.0,0.6253719329833984,0.4891395568847656,0.7821578345406024,0.6094924926757812,0.6022752126057943,0.9881585414804672,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,eeg.af3,12,1.0,56.74829292297363,94.24608993530273,1.6607740088891505,88.29736164637974,88.75131797790527,1.0051412219239753,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,eeg.af4,12,1.0,71.29647827148438,79.4800033569336,1.114781617323198,76.30725969587054,117.04303741455078,1.533838823213366,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,eeg.f3,12,1.0,56.63427734375,77.843017578125,1.3744859337684396,64.73782784598214,83.810546875,1.2946147509674528,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,eeg.f4,12,1.0,44.97454833984375,62.97869873046875,1.4003186481069072,65.16885811941964,61.686177571614586,0.9465591288798837,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,eeg.f7,12,1.0,71.749098777771,80.79874229431152,1.1261290200253253,83.16284670148578,79.36824162801106,0.9543713903025048,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,eeg.f8,12,1.0,50.56488037109375,52.7611083984375,1.0434338618271362,80.34891183035714,70.42203776041667,0.8764529121327822,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,eeg.fp1,12,1.0,57.147812843322754,84.14870595932007,1.4724746542798295,82.12269483293805,86.4611948331197,1.0528294889616987,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,eeg.fp2,12,1.0,91.4716796875,96.86129760742188,1.0589211648712993,93.00238037109375,119.33036295572917,1.2830893411500086,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,eeg.fpz,12,1.0,72.3468017578125,113.611083984375,1.5703677456910734,86.87649972098214,95.90840657552083,1.103962600744115,inner_train,False
