dataset_id,task_group,metric_name,chronaris_model,chronaris_value,baseline_model,baseline_value,delta_abs,delta_rel_pct,metric_direction
nasa_csm,benchmark_only,macro_f1,chronaris_public_fusion_refresh,0.6558222022372738,public_baseline,0.7445135090687961,-0.08869130683152227,-11.912652457099583,higher_is_better
nasa_csm,benchmark_only,macro_f1,chronaris_public_fusion_refresh,0.6558222022372738,classical_baseline,0.4641561353985333,0.19166606683874055,41.29344679978698,higher_is_better
nasa_csm,benchmark_only,macro_f1,chronaris_public_fusion_refresh,0.6558222022372738,MulT,0.3024598393574297,0.3533623628798441,116.82951483097919,higher_is_better
nasa_csm,benchmark_only,macro_f1,chronaris_public_fusion_refresh,0.6558222022372738,ContiFormer,0.30243657372519467,0.35338562851207916,116.84619494240758,higher_is_better
nasa_csm,combined,balanced_accuracy,chronaris_public_fusion_refresh,0.56349066834828,public_baseline,0.5590685276024547,0.004422140745825254,0.7909836679216133,higher_is_better
nasa_csm,combined,balanced_accuracy,chronaris_public_fusion_refresh,0.56349066834828,classical_baseline,0.37649783482140214,0.18699283352687784,49.66637686391501,higher_is_better
nasa_csm,combined,balanced_accuracy,chronaris_public_fusion_refresh,0.56349066834828,MulT,0.3333333333333333,0.23015733501494667,69.04720050448401,higher_is_better
nasa_csm,combined,balanced_accuracy,chronaris_public_fusion_refresh,0.56349066834828,ContiFormer,0.33304745568896515,0.23044321265931483,69.19230539762088,higher_is_better
nasa_csm,combined,macro_f1,chronaris_public_fusion_refresh,0.5657317313970226,public_baseline,0.4549915569394342,0.11074017445758838,24.338951518682677,higher_is_better
nasa_csm,combined,macro_f1,chronaris_public_fusion_refresh,0.5657317313970226,classical_baseline,0.3741024976765464,0.1916292337204762,51.223724757422275,higher_is_better
nasa_csm,combined,macro_f1,chronaris_public_fusion_refresh,0.5657317313970226,MulT,0.3023466874108648,0.2633850439861578,87.11358680382655,higher_is_better
nasa_csm,combined,macro_f1,chronaris_public_fusion_refresh,0.5657317313970226,ContiFormer,0.30226373483816565,0.26346799655885694,87.16493783149994,higher_is_better
nasa_csm,loft_only,macro_f1,chronaris_public_fusion_refresh,0.6480860136797442,public_baseline,0.3643360690716937,0.2837499446080505,77.8813762060474,higher_is_better
nasa_csm,loft_only,macro_f1,chronaris_public_fusion_refresh,0.6480860136797442,classical_baseline,0.3723186247618541,0.27576738891789004,74.0675782991729,higher_is_better
nasa_csm,loft_only,macro_f1,chronaris_public_fusion_refresh,0.6480860136797442,MulT,0.30222579780101905,0.3458602158787251,114.43768811107063,higher_is_better
nasa_csm,loft_only,macro_f1,chronaris_public_fusion_refresh,0.6480860136797442,ContiFormer,0.3002832861189802,0.34780272756076397,115.82487059334873,higher_is_better
uab_workload_dataset,heat_the_chair,rmse,chronaris_public_fusion_refresh,1.4557918272975465,public_baseline,1.433140268927459,-0.022651558370087477,-1.5805541761128215,lower_is_better
uab_workload_dataset,heat_the_chair,rmse,chronaris_public_fusion_refresh,1.4557918272975465,classical_baseline,1.8639105911346199,0.40811876383707335,21.89583372605007,lower_is_better
uab_workload_dataset,heat_the_chair,rmse,chronaris_public_fusion_refresh,1.4557918272975465,MulT,2.8251064718014294,1.3693146445038828,48.469488076700316,lower_is_better
uab_workload_dataset,heat_the_chair,rmse,chronaris_public_fusion_refresh,1.4557918272975465,ContiFormer,1.4567585837447001,0.000966756447153605,0.06636353188106774,lower_is_better
uab_workload_dataset,n_back,rmse,chronaris_public_fusion_refresh,5.163878884109296,public_baseline,4.610314175862912,-0.5535647082463848,-12.007092947039217,lower_is_better
uab_workload_dataset,n_back,rmse,chronaris_public_fusion_refresh,5.163878884109296,classical_baseline,10.223413421909578,5.059534537800282,49.48967951308026,lower_is_better
uab_workload_dataset,n_back,rmse,chronaris_public_fusion_refresh,5.163878884109296,MulT,5.828201477861089,0.6643225937517929,11.3984150389323,lower_is_better
uab_workload_dataset,n_back,rmse,chronaris_public_fusion_refresh,5.163878884109296,ContiFormer,4.654091035125815,-0.5097878489834811,-10.953542703311127,lower_is_better
uab_workload_dataset,subjective_mean,mean_rmse,chronaris_public_fusion_refresh,3.3098353557034215,public_baseline,3.021727222395185,-0.28810813330823626,-9.534551337822814,lower_is_better
uab_workload_dataset,subjective_mean,mean_rmse,chronaris_public_fusion_refresh,3.3098353557034215,classical_baseline,6.043662006522099,2.7338266508186773,45.234605242126904,lower_is_better
uab_workload_dataset,subjective_mean,mean_rmse,chronaris_public_fusion_refresh,3.3098353557034215,MulT,4.32665397483126,1.016818619127838,23.50126968883603,lower_is_better
uab_workload_dataset,subjective_mean,mean_rmse,chronaris_public_fusion_refresh,3.3098353557034215,ContiFormer,3.055424809435258,-0.2544105462681636,-8.326519621184426,lower_is_better
