sample_source,sample_count,task_entry_count,combination_count,best_child_run_id,best_test_total,physics_constraint_family,causal_weight,task_loss_weight,causal_lag_window_points,test_total,test_task_total,test_causal_total,source_path,evidence_layer,metric_definition
stage_h_window_stats_proxy,111,333,2,20260607T-stage-i-evidence-closure-r2-multitask-01-minimal-cw0p00-tlw0p50-lagnone,1024.8099895974865,minimal,0.0,0.5,,1024.8099895974865,2.9292924715125044,0.9343596334042756,docs/artifacts/assets/stage_i_multitask_sweep/20260607T-stage-i-evidence-closure-r2-multitask/multitask_sweep_summary.json,thesis_weak_label,test_total/test_task_total/test_causal_total from multitask sweep summary
stage_h_window_stats_proxy,111,333,2,20260607T-stage-i-evidence-closure-r2-multitask-01-minimal-cw0p00-tlw0p50-lagnone,1024.8099895974865,minimal,0.0,0.5,3.0,1025.0848388671875,2.957319394401882,0.9351752607718758,docs/artifacts/assets/stage_i_multitask_sweep/20260607T-stage-i-evidence-closure-r2-multitask/multitask_sweep_summary.json,thesis_weak_label,test_total/test_task_total/test_causal_total from multitask sweep summary
live_influx,111,333,2,20260613T-stage-i-p11-live-influx-r1-01-minimal-cw0p00-tlw0p50-lagnone,1153.8985701851223,minimal,0.0,0.5,,1153.8985701851223,2.9328195634095566,0.9324899289918982,docs/artifacts/assets/stage_i_multitask_sweep/20260613T-stage-i-p11-live-influx-r2/multitask_sweep_summary.json,thesis_weak_label,test_total/test_task_total/test_causal_total from multitask sweep summary
live_influx,111,333,2,20260613T-stage-i-p11-live-influx-r1-01-minimal-cw0p00-tlw0p50-lagnone,1153.8985701851223,minimal,0.0,0.5,3.0,1154.1565790591033,2.9376385522925337,0.9344574420348458,docs/artifacts/assets/stage_i_multitask_sweep/20260613T-stage-i-p11-live-influx-r2/multitask_sweep_summary.json,thesis_weak_label,test_total/test_task_total/test_causal_total from multitask sweep summary
