evidence_quadrant,dataset_role,task,split_protocol,metric,row_count,numeric_row_count,mean_value,best_value,mean_delta_positive_is_better,improved_row_count,non_improved_row_count,source_stages,source_files,claim_boundaries
private_component_ablation,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,nrmse,12,12,2.251943505472607,2.2634459733963013,6.521538132739496,2,0,P34; P35; P36_summary,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_task_heads_optimization/20260702T-stage-i-task-heads-optimization-r3-confirm20/task_head_metrics_long.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_stream_role_fusion/20260702T-stage-i-stream-role-fusion-r4-v3-confirm20/private_metrics.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_model_summary/20260702T-stage-i-optimized-model-summary-r4-v3-confirm20/key_metric_summary.csv,P34 is a CUDA 20-epoch private task-head confirm; T3 remains mixed.; P35 private rows are stream-role v3 confirm or fixed P34 references.; CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
private_component_ablation,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,rmse,12,12,345.8618148263601,347.2382820150208,491.2935573172461,2,0,P34; P35; P36_summary,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_task_heads_optimization/20260702T-stage-i-task-heads-optimization-r3-confirm20/task_head_metrics_long.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_stream_role_fusion/20260702T-stage-i-stream-role-fusion-r4-v3-confirm20/private_metrics.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_model_summary/20260702T-stage-i-optimized-model-summary-r4-v3-confirm20/key_metric_summary.csv,P34 is a CUDA 20-epoch private task-head confirm; T3 remains mixed.; P35 private rows are stream-role v3 confirm or fixed P34 references.; CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
private_component_ablation,private_real_dual_stream,T3_paired_pilot_window_retrieval,leakage_safe_v1,top1_accuracy,12,12,0.03378378378378375,0.0675675675675675,-0.00675675675675675,0,12,P24_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_cross_evidence_matrix/20260702T-stage-i-cross-evidence-matrix-gpuopt-r1/cross_evidence_matrix.csv,leakage-safe private proxy component diagnosis
private_component_ablation,private_real_dual_stream,T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,12,12,0.1184709273489122,0.1200662726942576,-0.0020087655222791,0,2,P34; P35; P36_summary,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_task_heads_optimization/20260702T-stage-i-task-heads-optimization-r3-confirm20/task_head_metrics_long.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_stream_role_fusion/20260702T-stage-i-stream-role-fusion-r4-v3-confirm20/private_metrics.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_model_summary/20260702T-stage-i-optimized-model-summary-r4-v3-confirm20/key_metric_summary.csv,P34 is a CUDA 20-epoch private task-head confirm; T3 remains mixed.; P35 private rows are stream-role v3 confirm or fixed P34 references.; CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
private_component_ablation,private_real_dual_stream,T3_paired_pilot_window_retrieval,leave_one_view_out,top1,12,12,0.0315315315315315,0.0315315315315315,0.0045045045045045,2,0,P34; P35; P36_summary,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_task_heads_optimization/20260702T-stage-i-task-heads-optimization-r3-confirm20/task_head_metrics_long.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_stream_role_fusion/20260702T-stage-i-stream-role-fusion-r4-v3-confirm20/private_metrics.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_model_summary/20260702T-stage-i-optimized-model-summary-r4-v3-confirm20/key_metric_summary.csv,P34 is a CUDA 20-epoch private task-head confirm; T3 remains mixed.; P35 private rows are stream-role v3 confirm or fixed P34 references.; CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
private_component_ablation,private_real_dual_stream,T3_paired_pilot_window_retrieval,leave_one_view_out,top3,12,12,0.08671171171171173,0.0900900900900901,-0.0090090090090089,0,2,P34; P35; P36_summary,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_task_heads_optimization/20260702T-stage-i-task-heads-optimization-r3-confirm20/task_head_metrics_long.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_stream_role_fusion/20260702T-stage-i-stream-role-fusion-r4-v3-confirm20/private_metrics.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_model_summary/20260702T-stage-i-optimized-model-summary-r4-v3-confirm20/key_metric_summary.csv,P34 is a CUDA 20-epoch private task-head confirm; T3 remains mixed.; P35 private rows are stream-role v3 confirm or fixed P34 references.; CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
private_component_ablation,private_real_dual_stream,T3_paired_pilot_window_retrieval,leave_one_view_out,top5,12,12,0.14076576576576572,0.1441441441441441,-0.009009009009009,0,2,P34; P35; P36_summary,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_task_heads_optimization/20260702T-stage-i-task-heads-optimization-r3-confirm20/task_head_metrics_long.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_stream_role_fusion/20260702T-stage-i-stream-role-fusion-r4-v3-confirm20/private_metrics.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_model_summary/20260702T-stage-i-optimized-model-summary-r4-v3-confirm20/key_metric_summary.csv,P34 is a CUDA 20-epoch private task-head confirm; T3 remains mixed.; P35 private rows are stream-role v3 confirm or fixed P34 references.; CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
private_model_comparison,private_proxy,optimized_reevaluation,all_available_partial_rows,selection_status,1,0,,,,0,0,P36_summary,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_model_summary/20260702T-stage-i-optimized-model-summary-r4-v3-confirm20/key_metric_summary.csv,classification/retrieval optimized-baseline; regression baseline-optimized
private_model_comparison,private_real_dual_stream,T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,6,6,0.33618233618233617,0.3397435897435897,-0.0035612535612535,0,3,P30_via_P32; P37,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_cross_evidence_matrix/20260702T-stage-i-cross-evidence-matrix-gpuopt-r1/cross_evidence_matrix.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/t1_calibration_metrics.csv,T1/T2/T3 proxy tasks on private real dual-stream Stage H data; P37 T1 calibration is accepted only under fixed P34 reference.
private_model_comparison,private_real_dual_stream,T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,6,6,0.20343314053116082,0.2229914222769099,-0.03498495719793483,0,3,P30_via_P32; P37,/home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_cross_evidence_matrix/20260702T-stage-i-cross-evidence-matrix-gpuopt-r1/cross_evidence_matrix.csv; /home/wangminan/projects/chronaris/docs/artifacts/assets/stage_i_optimized_final_polish/20260702T-stage-i-optimized-final-polish-r1/t1_calibration_metrics.csv,T1/T2/T3 proxy tasks on private real dual-stream Stage H data; P37 T1 calibration is accepted only under fixed P34 reference.
