dataset_id,task_group,metric,seed,context_only,full,mse_loss,no_causal_fusion,no_event_bias,no_lag_window,no_target_transform,physiology_only
nasa_csm,benchmark_only,benchmark_only_macro_f1,42,0.3024598393574297,0.30255057167985927,0.30255057167985927,0.3024598393574297,0.30255057167985927,0.30255057167985927,0.30255057167985927,0.3024598393574297
nasa_csm,combined,combined_balanced_accuracy,42,0.3333333333333333,0.3460144927536232,0.3460144927536232,0.3333333333333333,0.3460144927536232,0.3858695652173913,0.3460144927536232,0.3333333333333333
nasa_csm,combined,combined_macro_f1,42,0.3023466874108648,0.32719165430412034,0.32719165430412034,0.3023466874108648,0.32719165430412034,0.39410300628375644,0.32719165430412034,0.3023466874108648
nasa_csm,loft_only,loft_only_macro_f1,42,0.30222579780101905,0.49692264632078276,0.49692264632078276,0.4518857225985842,0.49692264632078276,0.5267141812865498,0.49692264632078276,0.30222579780101905
uab_workload_dataset,heat_the_chair,heat_the_chair_mae,42,1.1600162180469316,1.165638424850562,1.1847933916046338,1.158981562931748,1.1649203065125382,1.1649189045762314,1.1581303389195134,1.1528380603912998
uab_workload_dataset,heat_the_chair,heat_the_chair_rmse,42,1.4569704227464177,1.4624333028495735,1.473079488461215,1.4605128887100003,1.4617028661940008,1.4663869440830752,1.4670073060858313,1.4553362121714066
uab_workload_dataset,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,42,0.5225084019335422,0.534479361946246,0.5337776426458896,0.5412271944614714,0.5347752791024497,0.5418798652222008,0.5337776426458896,0.5371052202279429
uab_workload_dataset,heat_the_chair_macro,heat_the_chair_macro_f1,42,0.520504240578475,0.5072638744453764,0.5089858489119459,0.5295596739037922,0.5079202356425306,0.5299135774836304,0.5089858489119459,0.43984568297736926
uab_workload_dataset,n_back,n_back_mae,42,3.746100350625842,4.02003209081047,4.08085582431145,4.002120917731237,4.2026200811796315,4.150049082706442,4.223455458063551,3.966286894348877
uab_workload_dataset,n_back,n_back_rmse,42,4.676295857876938,5.095746345036021,5.143220884656303,5.060245599260122,5.3207135151237415,5.245713527577499,5.399251492917774,4.918021992037592
uab_workload_dataset,n_back_balanced,n_back_balanced_accuracy,42,0.33048078459780145,0.38119125559337164,0.3631224603848444,0.353543719241245,0.36396789841037475,0.3453303333854963,0.3631224603848444,0.345215898973197
uab_workload_dataset,n_back_macro,n_back_macro_f1,42,0.26523460226177814,0.35769931913332215,0.3414769061012817,0.3321350239025939,0.3391612358555358,0.32162718257845907,0.3414769061012817,0.3096623271471349
uab_workload_dataset,uab_mean,mean_rmse,42,3.0666331403116778,3.2790898239427975,3.308150186558759,3.260379243985061,3.391208190658871,3.3560502358302875,3.4331293995018024,3.1866791021044993
