stage,dataset_id,variant_id,seed,track,evaluation_group,fold_index,split_group,batch_size,batch_count,train_loss,tensor_cache_mode,amp_mode,compile_status
screen,nasa_csm,physiology_only,42,objective,benchmark_only,2,subject_11,2048,5,1.0859375,cuda,bf16,off
screen,nasa_csm,physiology_only,42,objective,loft_only,1,subject_10,2048,5,1.09375,cuda,bf16,off
screen,nasa_csm,physiology_only,42,objective,loft_only,2,subject_11,2048,5,1.09375,cuda,bf16,off
screen,nasa_csm,physiology_only,42,objective,combined,1,subject_10,2048,10,1.09375,cuda,bf16,off
screen,nasa_csm,physiology_only,42,objective,combined,2,subject_11,2048,10,1.08984375,cuda,bf16,off
screen,nasa_csm,context_only,42,objective,benchmark_only,1,subject_10,2048,5,1.1015625,cuda,bf16,off
screen,nasa_csm,context_only,42,objective,benchmark_only,2,subject_11,2048,5,1.1015625,cuda,bf16,off
screen,nasa_csm,context_only,42,objective,loft_only,1,subject_10,2048,5,1.0625,cuda,bf16,off
screen,nasa_csm,context_only,42,objective,loft_only,2,subject_11,2048,5,1.0625,cuda,bf16,off
screen,nasa_csm,context_only,42,objective,combined,1,subject_10,2048,10,1.0859375,cuda,bf16,off
screen,nasa_csm,context_only,42,objective,combined,2,subject_11,2048,10,1.09375,cuda,bf16,off
screen,nasa_csm,no_causal_fusion,42,objective,benchmark_only,1,subject_10,2048,5,1.078125,cuda,bf16,off
screen,nasa_csm,no_causal_fusion,42,objective,benchmark_only,2,subject_11,2048,5,1.0859375,cuda,bf16,off
screen,nasa_csm,no_causal_fusion,42,objective,loft_only,1,subject_10,2048,5,1.0390625,cuda,bf16,off
screen,nasa_csm,no_causal_fusion,42,objective,loft_only,2,subject_11,2048,5,1.0390625,cuda,bf16,off
screen,nasa_csm,no_causal_fusion,42,objective,combined,1,subject_10,2048,10,1.07421875,cuda,bf16,off
screen,nasa_csm,no_causal_fusion,42,objective,combined,2,subject_11,2048,10,1.07421875,cuda,bf16,off
screen,nasa_csm,no_target_transform,42,objective,benchmark_only,1,subject_10,2048,5,1.078125,cuda,bf16,off
screen,nasa_csm,no_target_transform,42,objective,benchmark_only,2,subject_11,2048,5,1.078125,cuda,bf16,off
screen,nasa_csm,no_target_transform,42,objective,loft_only,1,subject_10,2048,5,0.984375,cuda,bf16,off
screen,nasa_csm,no_target_transform,42,objective,loft_only,2,subject_11,2048,5,0.96875,cuda,bf16,off
screen,nasa_csm,no_target_transform,42,objective,combined,1,subject_10,2048,10,1.04296875,cuda,bf16,off
screen,nasa_csm,no_target_transform,42,objective,combined,2,subject_11,2048,10,1.04296875,cuda,bf16,off
screen,nasa_csm,mse_loss,42,objective,benchmark_only,1,subject_10,2048,5,1.078125,cuda,bf16,off
screen,nasa_csm,mse_loss,42,objective,benchmark_only,2,subject_11,2048,5,1.078125,cuda,bf16,off
screen,nasa_csm,mse_loss,42,objective,loft_only,1,subject_10,2048,5,0.984375,cuda,bf16,off
screen,nasa_csm,mse_loss,42,objective,loft_only,2,subject_11,2048,5,0.96875,cuda,bf16,off
screen,nasa_csm,mse_loss,42,objective,combined,1,subject_10,2048,10,1.04296875,cuda,bf16,off
screen,nasa_csm,mse_loss,42,objective,combined,2,subject_11,2048,10,1.04296875,cuda,bf16,off
screen,uab_workload_dataset,full,42,objective,n_back,1,subject_01,2048,65,1.0949519230769231,cuda,bf16,off
screen,uab_workload_dataset,full,42,objective,n_back,2,subject_02,2048,65,1.0967548076923077,cuda,bf16,off
screen,uab_workload_dataset,full,42,objective,heat_the_chair,1,subject_01,2048,15,0.6875,cuda,bf16,off
screen,uab_workload_dataset,full,42,objective,heat_the_chair,2,subject_02,2048,15,0.6861979166666666,cuda,bf16,off
screen,uab_workload_dataset,full,42,subjective,n_back,1,subject_01,2048,65,0.4204018299396221,cuda,bf16,off
screen,uab_workload_dataset,full,42,subjective,n_back,2,subject_02,2048,65,0.419479088141368,cuda,bf16,off
screen,uab_workload_dataset,full,42,subjective,heat_the_chair,1,subject_01,2048,15,0.412566880385081,cuda,bf16,off
screen,uab_workload_dataset,full,42,subjective,heat_the_chair,2,subject_02,2048,15,0.4244228899478912,cuda,bf16,off
screen,uab_workload_dataset,no_lag_window,42,objective,n_back,1,subject_01,2048,65,1.0949519230769231,cuda,bf16,off
screen,uab_workload_dataset,no_lag_window,42,objective,n_back,2,subject_02,2048,65,1.0967548076923077,cuda,bf16,off
screen,uab_workload_dataset,no_lag_window,42,objective,heat_the_chair,1,subject_01,2048,15,0.6875,cuda,bf16,off
screen,uab_workload_dataset,no_lag_window,42,objective,heat_the_chair,2,subject_02,2048,15,0.6848958333333334,cuda,bf16,off
screen,uab_workload_dataset,no_lag_window,42,subjective,n_back,1,subject_01,2048,65,0.4198861213830801,cuda,bf16,off
screen,uab_workload_dataset,no_lag_window,42,subjective,n_back,2,subject_02,2048,65,0.4186484217643738,cuda,bf16,off
screen,uab_workload_dataset,no_lag_window,42,subjective,heat_the_chair,1,subject_01,2048,15,0.4126091500123341,cuda,bf16,off
screen,uab_workload_dataset,no_lag_window,42,subjective,heat_the_chair,2,subject_02,2048,15,0.4249333143234253,cuda,bf16,off
screen,uab_workload_dataset,no_event_bias,42,objective,n_back,1,subject_01,2048,65,1.0949519230769231,cuda,bf16,off
screen,uab_workload_dataset,no_event_bias,42,objective,n_back,2,subject_02,2048,65,1.0967548076923077,cuda,bf16,off
screen,uab_workload_dataset,no_event_bias,42,objective,heat_the_chair,1,subject_01,2048,15,0.6875,cuda,bf16,off
screen,uab_workload_dataset,no_event_bias,42,objective,heat_the_chair,2,subject_02,2048,15,0.6861979166666666,cuda,bf16,off
screen,uab_workload_dataset,no_event_bias,42,subjective,n_back,1,subject_01,2048,65,0.4204805287031027,cuda,bf16,off
screen,uab_workload_dataset,no_event_bias,42,subjective,n_back,2,subject_02,2048,65,0.4196101679251744,cuda,bf16,off
screen,uab_workload_dataset,no_event_bias,42,subjective,heat_the_chair,1,subject_01,2048,15,0.4125604530175527,cuda,bf16,off
screen,uab_workload_dataset,no_event_bias,42,subjective,heat_the_chair,2,subject_02,2048,15,0.4244261781374613,cuda,bf16,off
screen,uab_workload_dataset,physiology_only,42,objective,n_back,1,subject_01,2048,65,1.0985576923076923,cuda,bf16,off
screen,uab_workload_dataset,physiology_only,42,objective,n_back,2,subject_02,2048,65,1.1015625,cuda,bf16,off
screen,uab_workload_dataset,physiology_only,42,objective,heat_the_chair,1,subject_01,2048,15,0.69140625,cuda,bf16,off
screen,uab_workload_dataset,physiology_only,42,objective,heat_the_chair,2,subject_02,2048,15,0.6927083333333334,cuda,bf16,off
screen,uab_workload_dataset,physiology_only,42,subjective,n_back,1,subject_01,2048,65,0.420612844137045,cuda,bf16,off
screen,uab_workload_dataset,physiology_only,42,subjective,n_back,2,subject_02,2048,65,0.4198479377306424,cuda,bf16,off
screen,uab_workload_dataset,physiology_only,42,subjective,heat_the_chair,1,subject_01,2048,15,0.4139365653196971,cuda,bf16,off
screen,uab_workload_dataset,physiology_only,42,subjective,heat_the_chair,2,subject_02,2048,15,0.4248163600762685,cuda,bf16,off
screen,uab_workload_dataset,context_only,42,objective,n_back,1,subject_01,2048,65,1.1003605769230769,cuda,bf16,off
screen,uab_workload_dataset,context_only,42,objective,n_back,2,subject_02,2048,65,1.1009615384615383,cuda,bf16,off
screen,uab_workload_dataset,context_only,42,objective,heat_the_chair,1,subject_01,2048,15,0.6953125,cuda,bf16,off
