task_name,model_name,split_strategy,metric,value_mean,value_std,seed_count,completed_fold_count,sample_count,higher_is_better
T3_paired_pilot_window_retrieval,contiformer,leave_one_view_out,top5,0.13963963963963963,0.006370331362040969,3,6,222,True
T3_paired_pilot_window_retrieval,contiformer,leave_one_view_out,mrr,0.11568689331487825,0.0030129945631274845,3,6,222,True
T3_paired_pilot_window_retrieval,naive_time_sync,leave_one_view_out,top1,0.02702702702702703,0.0,3,6,222,True
T3_paired_pilot_window_retrieval,naive_time_sync,leave_one_view_out,top3,0.08108108108108109,0.0,3,6,222,True
T3_paired_pilot_window_retrieval,naive_time_sync,leave_one_view_out,top5,0.13513513513513514,0.0,3,6,222,True
T3_paired_pilot_window_retrieval,naive_time_sync,leave_one_view_out,mrr,0.11355638442761258,1.3877787807814457e-17,3,6,222,True
T3_paired_pilot_window_retrieval,naive_time_sync,leave_one_sortie_out,top1,0.02702702702702703,0.0,3,3,222,True
T3_paired_pilot_window_retrieval,naive_time_sync,leave_one_sortie_out,top3,0.08108108108108109,0.0,3,3,222,True
T3_paired_pilot_window_retrieval,naive_time_sync,leave_one_sortie_out,top5,0.13513513513513514,0.0,3,3,222,True
T3_paired_pilot_window_retrieval,naive_time_sync,leave_one_sortie_out,mrr,0.11355638442761258,1.3877787807814457e-17,3,3,222,True
T3_paired_pilot_window_retrieval,classical_baseline,leave_one_view_out,top1,0.06756756756756757,0.0,3,6,222,True
T3_paired_pilot_window_retrieval,classical_baseline,leave_one_view_out,top3,0.12162162162162164,1.3877787807814457e-17,3,6,222,True
T3_paired_pilot_window_retrieval,classical_baseline,leave_one_view_out,top5,0.17567567567567569,0.0,3,6,222,True
T3_paired_pilot_window_retrieval,classical_baseline,leave_one_view_out,mrr,0.15295949410099252,0.0,3,6,222,True
T3_paired_pilot_window_retrieval,classical_baseline,leave_one_sortie_out,top1,0.06756756756756757,0.0,3,3,222,True
T3_paired_pilot_window_retrieval,classical_baseline,leave_one_sortie_out,top3,0.12162162162162164,1.3877787807814457e-17,3,3,222,True
T3_paired_pilot_window_retrieval,classical_baseline,leave_one_sortie_out,top5,0.17567567567567569,0.0,3,3,222,True
T3_paired_pilot_window_retrieval,classical_baseline,leave_one_sortie_out,mrr,0.15295949410099255,0.0,3,3,222,True
