stage,dataset_id,variant_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy,rmse,mae
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,n_back,subject_09,1628,,,4.81585688088184,4.430511485739481
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,n_back,subject_10,1537,,,2.338920622337112,1.9207507101219032
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,n_back,subject_11,1884,,,3.8115918655022503,3.1174715754839006
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,n_back,subject_12,1848,,,1.9691466454430924,1.6165493267439144
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,n_back,subject_13,1686,,,6.527818286465416,6.399243097853971
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,n_back,subject_14,1789,,,3.697136711593253,3.044644272080875
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,n_back,subject_15,1476,,,3.104557908174002,2.635558891102551
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,n_back,subject_16,1767,,,2.1874636049401874,1.7460173459530688
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,heat_the_chair,subject_01,324,,,2.1247178177199304,1.9885158156171256
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,heat_the_chair,subject_02,314,,,2.115807083520071,1.6397128424067406
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,heat_the_chair,subject_03,304,,,1.1567508804637476,0.9438359815823404
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,heat_the_chair,subject_06,426,,,0.8438517597681738,0.7320211963474471
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,heat_the_chair,subject_08,241,,,2.265340904415631,2.1909870962878975
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,subjective,heat_the_chair,subject_12,331,,,0.44014524120492865,0.36105833312896085
