method,epoch,loss,gradient_norm_before_clip,valid_query_count
physiology_only,1,1.6133921146392822,0.1334967315196991,3072
physiology_only,2,1.6035878658294678,0.1226152628660202,3072
physiology_only,3,1.592849850654602,0.13662543892860413,3072
vehicle_only,1,1.6087278127670288,0.14517995715141296,3072
vehicle_only,2,1.5964149236679077,0.14263330399990082,3072
vehicle_only,3,1.5815397500991821,0.15407498180866241,3072
naive_time_sync,1,1.6813406944274902,1.5459872484207153,3072
naive_time_sync,2,1.5911996364593506,1.0748910903930664,3072
naive_time_sync,3,1.5203696489334106,0.8812192678451538,3072
mult,1,1.6129461526870728,0.11899951100349426,3072
mult,2,1.599877953529358,0.11918014287948608,3072
mult,3,1.5871422290802002,0.13238821923732758,3072
contiformer,1,1.6102083921432495,0.14312152564525604,3072
contiformer,2,1.5980051755905151,0.1356472373008728,3072
contiformer,3,1.5825998783111572,0.14686165750026703,3072
chronaris,1,1.6117185354232788,0.07978300750255585,3072
chronaris,2,1.6045562028884888,0.07879302650690079,3072
chronaris,3,1.596007227897644,0.08412636071443558,3072
