role,reference_method,comparison_method,consumer,unit_metric,difference_semantics,mean_difference,bootstrap_lower,bootstrap_upper,permutation_p_value,independent_unit_count,smoke_only
held_out,chronaris,contiformer,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.06835937499999996,-0.14192708333333331,0.005208333333333398,0.5294117647058824,4,True
held_out,chronaris,mult,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.13281249999999994,-0.2675781249999999,-0.011718749999999917,0.29411764705882354,4,True
held_out,chronaris,naive_time_sync,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.03385416666666662,-0.11783854166666663,0.0377604166666667,0.7647058823529411,4,True
held_out,chronaris,physiology_only,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.03580729166666666,-0.05989583333333334,0.1320800781249969,0.6470588235294118,4,True
held_out,chronaris,vehicle_only,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.05403645833333327,-0.13671874999999997,0.028776041666666047,0.5294117647058824,4,True
held_out,chronaris,contiformer,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.14518229166666669,-0.20442708333333331,-0.06510416666666669,0.17647058823529413,4,True
held_out,chronaris,mult,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.2109375,-0.27864583333333326,-0.14287109375000195,0.17647058823529413,4,True
held_out,chronaris,naive_time_sync,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.0013020833333333218,-0.10481770833333329,0.130859375,1.0,4,True
held_out,chronaris,physiology_only,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.054687500000000014,-0.15169270833333334,0.09830729166666663,0.6470588235294118,4,True
held_out,chronaris,vehicle_only,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.11263020833333334,-0.16341145833333334,-0.03125,0.29411764705882354,4,True
held_out,chronaris,contiformer,linear,classification_correct,positive_favors_reference,0.1875,0.0,0.375,0.5294117647058824,4,True
held_out,chronaris,mult,linear,classification_correct,positive_favors_reference,0.125,0.0,0.375,1.0,4,True
held_out,chronaris,naive_time_sync,linear,classification_correct,positive_favors_reference,0.1875,0.0,0.3765624999999915,0.5294117647058824,4,True
held_out,chronaris,physiology_only,linear,classification_correct,positive_favors_reference,-0.1875,-0.25,-0.0625,0.29411764705882354,4,True
held_out,chronaris,vehicle_only,linear,classification_correct,positive_favors_reference,0.125,-0.125,0.3765624999999915,0.7647058823529411,4,True
held_out,chronaris,contiformer,linear,regression_absolute_error,positive_favors_reference,-0.019370583817362785,-0.07828433066606522,0.039543163031339645,0.7647058823529411,4,True
held_out,chronaris,mult,linear,regression_absolute_error,positive_favors_reference,-0.05323720909655094,-0.08729811199009418,-0.023235390475020382,0.17647058823529413,4,True
held_out,chronaris,naive_time_sync,linear,regression_absolute_error,positive_favors_reference,-0.009384900331497192,-0.07106855511665344,0.045880384743213654,0.7647058823529411,4,True
held_out,chronaris,physiology_only,linear,regression_absolute_error,positive_favors_reference,-0.04625949449837208,-0.09262356534600258,-0.017979325726628304,0.17647058823529413,4,True
held_out,chronaris,vehicle_only,linear,regression_absolute_error,positive_favors_reference,-0.03419685177505016,-0.1084950556512922,0.05450068973004818,0.5294117647058824,4,True
held_out,chronaris,contiformer,minirocket,classification_correct,positive_favors_reference,0.0,-0.3125,0.25,1.0,4,True
held_out,chronaris,mult,minirocket,classification_correct,positive_favors_reference,0.0625,-0.3125,0.375,1.0,4,True
held_out,chronaris,naive_time_sync,minirocket,classification_correct,positive_favors_reference,0.0625,-0.3125,0.25,1.0,4,True
held_out,chronaris,physiology_only,minirocket,classification_correct,positive_favors_reference,-0.0625,-0.25,0.125,1.0,4,True
held_out,chronaris,vehicle_only,minirocket,classification_correct,positive_favors_reference,0.125,-0.3125,0.4375,0.7647058823529411,4,True
held_out,chronaris,contiformer,minirocket,regression_absolute_error,positive_favors_reference,0.0020784568041563034,-0.016475826501846313,0.024411482736468315,0.8823529411764706,4,True
held_out,chronaris,mult,minirocket,regression_absolute_error,positive_favors_reference,-0.020958401262760162,-0.05266882851719856,0.005194667726755142,0.4117647058823529,4,True
held_out,chronaris,naive_time_sync,minirocket,regression_absolute_error,positive_favors_reference,-0.02457837574183941,-0.0356619656085968,-0.013454538816586356,0.17647058823529413,4,True
held_out,chronaris,physiology_only,minirocket,regression_absolute_error,positive_favors_reference,0.0017010606825351715,-0.05056567117571831,0.048544906079769135,1.0,4,True
held_out,chronaris,vehicle_only,minirocket,regression_absolute_error,positive_favors_reference,0.005705373361706734,-0.024291373789310455,0.03069349192082882,0.6470588235294118,4,True
