check_id,passed,actual,expected
fixed_fold_role_counts,True,"{'train': 19, 'validation': 7, 'held_out': 62}","{'train': 19, 'validation': 7, 'held_out': 62}"
normalizer_inner_train_only,True,19,19
five_trainable_checkpoints,True,"['completed', 'completed', 'completed', 'completed', 'completed']",five complete or resumed
one_epoch_has_expected_steps,True,"[19, 19, 19, 19, 19]",19 each
five_checkpoint_resume,True,"['resumed', 'resumed', 'resumed', 'resumed', 'resumed']",five resumed
six_checkpoint_records,True,6,6
encoder_training_has_no_labels,True,False,False
naive_randomized_train_only_pca,True,randomized,randomized on inner-train
eighteen_role_exports,True,18,18
eighteen_exports_resume,True,18,18
six_method_role_alignment,True,"{'train': 'b2d2ea3b2b193ef2a5944810d459edd8bc7c4d885a081c9dd488985ad4110b65', 'validation': '0ab6362dd0c6b891a597e29bd3b940cf0e2f538bec09b5304b60541d7477c7b4', 'held_out': '14978ce94354e3ff25dd8f8a7217fc0697c7263375bafea7355dd3e5f8907702'}",three role hashes
bounded_peak_memory,True,1828.3,<2500 MB
