method_name,initial_status,resume_status,protocol_sha256,step_count
physiology_only,completed,resumed,2c5c0e74cc618ba5661c57fe2e4062d642cd8687a07d65fa599b8fb0b8ee9818,19
vehicle_only,completed,resumed,fbb44c7c67db29238f49384f78787e84221c7a4484da1625c0aa29bb456d98da,19
mult,completed,resumed,2e437df8d68e6d1c2451a28efd219e455a6cace4cc28a32c473c89be421f315d,19
contiformer,completed,resumed,ec0c01950c40a3700014f9b3546d10f087fa4fa1ff59c8c0eee3430ea8ed41f4,19
chronaris,completed,resumed,1a59d9e5485b29bb6d74973f4cea5ac4f4c1bda6de2180fa12a0f450b6fbb2b6,19
naive_time_sync,completed,checkpoint_reused,,0
