representation_route,optimizer_update,dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.6183028816921344,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,balanced_accuracy,0.635882035882036,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_auprc,0.622637342591175,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,brier_score,0.5026435704429265,lower,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,ece_10_bins,0.10158176626785362,lower,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,mae,0.11699849262367934,lower,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,rmse,0.14465299718248473,lower,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,spearman,0.7323057335774775,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.6723785885662282,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,balanced_accuracy,0.6923230923230923,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_auprc,0.7173392636198686,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,brier_score,0.47587108646041776,lower,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,ece_10_bins,0.17383540584728863,lower,available,,False
