seed,scenario_id,method_count,context_count,alignment_sha256,task_oracle_opened
17,timestamp_jitter_000ms,6,192,34255811fadd5a4833e5f0b32fafc5735a3ec169b258745d237f998efb962d75,False
17,timestamp_jitter_020ms,6,192,5794cc3e2584404e5042b16f755bf1b1b251a9df4ff884d02358d3081767989a,False
17,timestamp_jitter_050ms,6,192,8a01b71ff1f6946725bcb07329f19876d77a1d04eed83620f6dc0f6a905b0e9b,False
17,timestamp_jitter_100ms,6,192,9d86a6a7ccf70277e436939f407a213b4a0cd67f8272f5701eb689e2921ea56f,False
17,clock_offset_+0.00s,6,192,68f3426fc2fd63ce0416c1585c9c6d6d1a889191733cdf39d26dda044df8c7fd,False
17,clock_offset_-0.25s,6,192,66840136103a73d8cefd0ec6ae11ba0326d0fdb7e1a55c07b97cacd696199073,False
17,clock_offset_+0.25s,6,192,8df0217235d24e0b046e74074a7bcbd20600fd70f283a477c9075d430fb8e150,False
17,clock_offset_-1.00s,6,192,e4d978cc8a58124e7a9364a2a41fbcd49eaa0d50021296b5ae2d846ead6bece5,False
17,clock_offset_+1.00s,6,192,8715b2a9107555f620c0b5d279e5621e610a3840f0d4224971cf4b53f7c82c4e,False
17,clock_offset_-3.00s,6,192,9b2a0a800d42572305485501d0d2536d350116bb223fe8829cd86b0ae76f9697,False
17,clock_offset_+3.00s,6,192,f743358ee350c502d79150f256a782862e438d46a8ba1d03a8f761c6cabae38d,False
17,clock_drift_+000ppm,6,192,b7cbbaf870e0cdd33a371cad53373dc06c53184b4a023750d2aa782f4a905463,False
17,clock_drift_-050ppm,6,192,db73691810d73ceba8ce4e60d3408e2bd28d9ead09c20228fe22d9e3ab78be1f,False
17,clock_drift_+050ppm,6,192,bad27dfe0234820bc254ec21f102e89ffc5439d19c99843c23f1d16515cb3134,False
17,clock_drift_-100ppm,6,192,d8d24892fb1441d6f509d26cb687864fbbb6b0f86a1071c7d19a8e747618c271,False
17,clock_drift_+100ppm,6,192,6656cbab9db7ce572c59350599911b525565ffed1c71de90e99b82c4374d908d,False
17,clock_drift_-250ppm,6,192,84634cfecce591997ff18848867975ab0c963897e30cfd53e26d6862833c04d5,False
17,clock_drift_+250ppm,6,192,5c7ca11bb2a1669ad46212edacf682131a2f2411739323c0e6a49c31112f18f4,False
17,random_missing_00pct,6,192,01ff72ee0f3d72b72828babf330604f482ad1c1b9a14078ecba7044a0c54b0e9,False
17,random_missing_10pct,6,192,6180682cb56b0d85ea52c1e74202b1a35d38ffa6508b5f98eefff572a6773b9f,False
17,random_missing_30pct,6,192,1ff74a625161a1358e8672dfe7b56d68741fbe146e4a4909acd6c909f50deee3,False
17,random_missing_50pct,6,192,d3936c38dc7c6615a0a5f73221a45e45256cdb2ef1f623585eb7f67f4ae1eb1e,False
17,contiguous_gap_00s,6,192,c97fcd22a2f355c57727e3500faaeee643e58c2e394b74ec140771f68fc7f7ed,False
17,contiguous_gap_05s,6,192,8d3a06a7322bcdfa710211d12c09f2ea5ecfc0c748ceb76cf5ae2752fd3c25c8,False
17,contiguous_gap_15s,6,192,26837bf4bb79eafba7ac4ffc699dd5f5f95c82bcaacac4605b7a2e6f0582cdf8,False
17,contiguous_gap_30s,6,192,1b2b49bab41d00b98805aeaeb666f6b0193ec71c1f11610fd5b4547a235573be,False
17,physiology_lag_02s,6,192,d5dc7465cfe57113752197362e1b38b54c1db9ec01715ff745f0e66459a73f98,False
17,physiology_lag_05s,6,192,ee652e42a82f5de00622368e36d8020ed2a9abae96c00d4d1ba1bf9279ab60d9,False
17,physiology_lag_15s,6,192,ee9eb1efadda9aa1ef447be504eb34a81cb09b61dc76519660d319a94943840a,False
17,physiology_lag_30s,6,192,c6647f1e79803066dbfbb0f5f6009d03fdb0957e833617f51c6108738636af16,False
17,observation_snr_30db,6,192,90e7123f6d7d464ff94a23fa037cb1715d121c00d1e98c0f2700e83385c101ec,False
17,observation_snr_20db,6,192,5be597c2014c292af0401e50c43e55a71adcfebecde8059c2e2252b9d613a1fd,False
17,observation_snr_10db,6,192,2f13b739ff2ac6f7a89f8a0a6c2f4c1226085957efd2e9d0bc64dae72c5ab746,False
17,observation_snr_05db,6,192,5c3b3ed7205b974bd6ee5a6675024886980178b8068df15df607c9f9725340d8,False
