evidence_quadrant,dataset_role,task,split_protocol,model_or_component,metric,value,baseline,delta_positive_is_better,seed_count,artifact_path,claim_boundary,source_stage,source_file,dataset_id,status,delta_convention,figure_path
private_model_comparison,private_real_dual_stream,T1_maneuver_intensity_class,leave_one_sortie_out,contiformer,macro_f1,0.2229914222769099,chronaris_full,-0.0496580889435766,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T1_maneuver_intensity_class,leave_one_sortie_out,contiformer,balanced_accuracy,0.3376068376068376,chronaris_full,-0.0042735042735042,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T1_maneuver_intensity_class,leave_one_view_out,classical_baseline,macro_f1,0.211837227644681,chronaris_full,-0.0385038943113477,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T1_maneuver_intensity_class,leave_one_view_out,classical_baseline,balanced_accuracy,0.3504273504273504,chronaris_full,-0.0170940170940171,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T1_maneuver_intensity_class,leave_one_sortie_out,classical_baseline,macro_f1,0.1887755102040816,chronaris_full,-0.0154421768707483,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T1_maneuver_intensity_class,leave_one_sortie_out,classical_baseline,balanced_accuracy,0.3333333333333333,chronaris_full,0.0,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,chronaris_full,rmse,838.121039184215,,,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,chronaris_full,mae,762.5578999733825,,,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,chronaris_full,nrmse,8.780987018657159,,,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,chronaris_full,rmse,1111.978941346788,,,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
