task_name,split_strategy,metric,chronaris_full,classical_baseline,contiformer,mult,naive_time_sync
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,0.3333333333333333,0.3333333333333333,0.3376068376068376,0.3397435897435897,
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,0.17333333333333334,0.18877551020408165,0.22299142227690996,0.213187939112813,
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,0.3333333333333333,0.35042735042735046,0.35612535612535606,0.35327635327635326,
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,0.17333333333333334,0.21183722764468105,0.20955790353966644,0.20345968489838803,
T2_next_window_physiology_response,leave_one_sortie_out,mae,992.5238629050955,8571.043220355687,315.9285888671875,314.74521891276044,
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,11.316336677838498,141.462445537937,2.046285331249237,2.042551100254059,
T2_next_window_physiology_response,leave_one_sortie_out,rmse,1111.9789413467881,11284.299174723108,414.28891750332235,413.4297629979357,
T2_next_window_physiology_response,leave_one_view_out,mae,762.5578999733825,360.96902029588074,273.5298546685113,273.38187323676215,
T2_next_window_physiology_response,leave_one_view_out,nrmse,8.780987018657159,4.111481326727145,2.23608136177063,2.237883859210544,
T2_next_window_physiology_response,leave_one_view_out,rmse,838.121039184215,463.13663933056176,344.3351099592478,344.28897466792205,
T3_paired_pilot_window_retrieval,leave_one_sortie_out,mrr,0.11994791108940954,0.15295949410099255,,,0.11355638442761258
T3_paired_pilot_window_retrieval,leave_one_sortie_out,top1,0.02702702702702703,0.06756756756756757,,,0.02702702702702703
T3_paired_pilot_window_retrieval,leave_one_sortie_out,top3,0.09459459459459459,0.12162162162162164,,,0.08108108108108109
T3_paired_pilot_window_retrieval,leave_one_sortie_out,top5,0.14864864864864866,0.17567567567567569,,,0.13513513513513514
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,0.11994791108940954,0.15295949410099252,0.11568689331487825,0.11781740220214387,0.11355638442761258
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,0.02702702702702703,0.06756756756756757,0.02702702702702703,0.02702702702702703,0.02702702702702703
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,0.09459459459459459,0.12162162162162164,0.0855855855855856,0.0900900900900901,0.08108108108108109
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,0.14864864864864866,0.17567567567567569,0.13963963963963963,0.14414414414414414,0.13513513513513514
