task_name,model_name,split_strategy,seed,completed_fold_count,sample_count,macro_f1,balanced_accuracy,rmse,mae,nrmse,top1,top3,top5,mrr
T1_maneuver_intensity_class,chronaris_full,leave_one_view_out,17,3,111,0.17333333333333334,0.3333333333333333,,,,,,,
T1_maneuver_intensity_class,chronaris_full,leave_one_view_out,29,3,111,0.17333333333333334,0.3333333333333333,,,,,,,
T1_maneuver_intensity_class,chronaris_full,leave_one_view_out,43,3,111,0.17333333333333334,0.3333333333333333,,,,,,,
T1_maneuver_intensity_class,chronaris_full,leave_one_sortie_out,17,2,111,0.17333333333333334,0.3333333333333333,,,,,,,
T1_maneuver_intensity_class,chronaris_full,leave_one_sortie_out,29,2,111,0.17333333333333334,0.3333333333333333,,,,,,,
T1_maneuver_intensity_class,chronaris_full,leave_one_sortie_out,43,2,111,0.17333333333333334,0.3333333333333333,,,,,,,
T1_maneuver_intensity_class,mult,leave_one_view_out,17,3,111,0.2155735674884611,0.358974358974359,,,,,,,
T1_maneuver_intensity_class,mult,leave_one_view_out,29,3,111,0.18140589569160995,0.34188034188034183,,,,,,,
T1_maneuver_intensity_class,mult,leave_one_view_out,43,3,111,0.21339959151509302,0.358974358974359,,,,,,,
T1_maneuver_intensity_class,mult,leave_one_sortie_out,17,2,111,0.19380952380952382,0.34615384615384615,,,,,,,
T1_maneuver_intensity_class,mult,leave_one_sortie_out,29,2,111,0.22976480119281867,0.3397435897435897,,,,,,,
T1_maneuver_intensity_class,mult,leave_one_sortie_out,43,2,111,0.21598949233609654,0.3333333333333333,,,,,,,
T1_maneuver_intensity_class,contiformer,leave_one_view_out,17,3,111,0.20088258471237194,0.35042735042735035,,,,,,,
T1_maneuver_intensity_class,contiformer,leave_one_view_out,29,3,111,0.18362811791383218,0.34188034188034183,,,,,,,
T1_maneuver_intensity_class,contiformer,leave_one_view_out,43,3,111,0.24416300799279522,0.37606837606837606,,,,,,,
T1_maneuver_intensity_class,contiformer,leave_one_sortie_out,17,2,111,0.24020458044980225,0.34615384615384615,,,,,,,
T1_maneuver_intensity_class,contiformer,leave_one_sortie_out,29,2,111,0.21598949233609654,0.3333333333333333,,,,,,,
T1_maneuver_intensity_class,contiformer,leave_one_sortie_out,43,2,111,0.21278019404483106,0.3333333333333333,,,,,,,
T1_maneuver_intensity_class,classical_baseline,leave_one_view_out,17,3,111,0.21183722764468105,0.35042735042735046,,,,,,,
T1_maneuver_intensity_class,classical_baseline,leave_one_view_out,29,3,111,0.21183722764468105,0.35042735042735046,,,,,,,
T1_maneuver_intensity_class,classical_baseline,leave_one_view_out,43,3,111,0.21183722764468105,0.35042735042735046,,,,,,,
T1_maneuver_intensity_class,classical_baseline,leave_one_sortie_out,17,2,111,0.18877551020408162,0.33333333333333337,,,,,,,
T1_maneuver_intensity_class,classical_baseline,leave_one_sortie_out,29,2,111,0.18877551020408162,0.33333333333333337,,,,,,,
T1_maneuver_intensity_class,classical_baseline,leave_one_sortie_out,43,2,111,0.18877551020408162,0.33333333333333337,,,,,,,
T2_next_window_physiology_response,chronaris_full,leave_one_view_out,17,3,108,,,838.121039184215,762.5578999733825,8.780987018657159,,,,
T2_next_window_physiology_response,chronaris_full,leave_one_view_out,29,3,108,,,838.121039184215,762.5578999733825,8.780987018657159,,,,
T2_next_window_physiology_response,chronaris_full,leave_one_view_out,43,3,108,,,838.121039184215,762.5578999733825,8.780987018657159,,,,
T2_next_window_physiology_response,chronaris_full,leave_one_sortie_out,17,2,108,,,1111.9789413467881,992.5238629050955,11.316336677838496,,,,
T2_next_window_physiology_response,chronaris_full,leave_one_sortie_out,29,2,108,,,1111.9789413467881,992.5238629050955,11.316336677838496,,,,
T2_next_window_physiology_response,chronaris_full,leave_one_sortie_out,43,2,108,,,1111.9789413467881,992.5238629050955,11.316336677838496,,,,
T2_next_window_physiology_response,mult,leave_one_view_out,17,3,108,,,344.4138226964278,273.5278015136719,2.239086707433065,,,,
T2_next_window_physiology_response,mult,leave_one_view_out,29,3,108,,,344.6919630899999,273.83531188964844,2.2426448265711465,,,,
T2_next_window_physiology_response,mult,leave_one_view_out,43,3,108,,,343.76113821733844,272.7825063069661,2.231920043627421,,,,
T2_next_window_physiology_response,mult,leave_one_sortie_out,17,2,108,,,413.16292263619295,314.38232421875,2.0411495566368103,,,,
T2_next_window_physiology_response,mult,leave_one_sortie_out,29,2,108,,,414.09943655435654,315.72156524658203,2.0438103675842285,,,,
T2_next_window_physiology_response,mult,leave_one_sortie_out,43,2,108,,,413.0269298032576,314.1317672729492,2.0426933765411377,,,,
T2_next_window_physiology_response,contiformer,leave_one_view_out,17,3,108,,,344.3051150891606,273.54668680826825,2.234267791112264,,,,
T2_next_window_physiology_response,contiformer,leave_one_view_out,29,3,108,,,344.3998792520195,273.56939697265625,2.2377247412999473,,,,
T2_next_window_physiology_response,contiformer,leave_one_view_out,43,3,108,,,344.30033553656335,273.4734802246094,2.2362515528996787,,,,
T2_next_window_physiology_response,contiformer,leave_one_sortie_out,17,2,108,,,414.06416898950795,315.6524429321289,2.044360101222992,,,,
T2_next_window_physiology_response,contiformer,leave_one_sortie_out,29,2,108,,,414.6763252639998,316.3976058959961,2.0500367879867554,,,,
T2_next_window_physiology_response,contiformer,leave_one_sortie_out,43,2,108,,,414.12625825645927,315.7357177734375,2.044459104537964,,,,
T2_next_window_physiology_response,classical_baseline,leave_one_view_out,17,3,108,,,463.13663933056176,360.96902029588074,4.111481326727145,,,,
T2_next_window_physiology_response,classical_baseline,leave_one_view_out,29,3,108,,,463.13663933056176,360.96902029588074,4.111481326727145,,,,
T2_next_window_physiology_response,classical_baseline,leave_one_view_out,43,3,108,,,463.13663933056176,360.96902029588074,4.111481326727145,,,,
T2_next_window_physiology_response,classical_baseline,leave_one_sortie_out,17,2,108,,,11284.299174723108,8571.043220355687,141.462445537937,,,,
T2_next_window_physiology_response,classical_baseline,leave_one_sortie_out,29,2,108,,,11284.299174723108,8571.043220355687,141.462445537937,,,,
T2_next_window_physiology_response,classical_baseline,leave_one_sortie_out,43,2,108,,,11284.299174723108,8571.043220355687,141.462445537937,,,,
T3_paired_pilot_window_retrieval,chronaris_full,leave_one_view_out,17,2,74,,,,,,0.02702702702702703,0.0945945945945946,0.14864864864864866,0.11994791108940953
