task_name,split_strategy,metric,baseline_model,chronaris_value,baseline_value,delta_abs,delta_rel_pct,positive_delta_means
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,classical_baseline,0.14864864864864866,0.17567567567567569,-0.02702702702702703,-15.384615384615385,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,mult,0.11994791108940954,0.11781740220214387,0.002130508887265667,1.808314262107282,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,contiformer,0.11994791108940954,0.11568689331487825,0.004261017774531292,3.683232950973619,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,naive_time_sync,0.11994791108940954,0.11355638442761258,0.006391526661796959,5.62850490002285,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,classical_baseline,0.11994791108940954,0.15295949410099252,-0.03301158301158298,-21.581911737879352,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_sortie_out,top1,naive_time_sync,0.02702702702702703,0.02702702702702703,0.0,0.0,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_sortie_out,top1,classical_baseline,0.02702702702702703,0.06756756756756757,-0.04054054054054054,-60.0,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_sortie_out,top3,naive_time_sync,0.09459459459459459,0.08108108108108109,0.0135135135135135,16.66666666666665,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_sortie_out,top3,classical_baseline,0.09459459459459459,0.12162162162162164,-0.027027027027027056,-22.222222222222243,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_sortie_out,top5,naive_time_sync,0.14864864864864866,0.13513513513513514,0.013513513513513514,10.0,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_sortie_out,top5,classical_baseline,0.14864864864864866,0.17567567567567569,-0.02702702702702703,-15.384615384615385,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_sortie_out,mrr,naive_time_sync,0.11994791108940954,0.11355638442761258,0.006391526661796959,5.62850490002285,chronaris_better
T3_paired_pilot_window_retrieval,leave_one_sortie_out,mrr,classical_baseline,0.11994791108940954,0.15295949410099255,-0.03301158301158301,-21.581911737879366,chronaris_better
