sample_source,sample_count,task_entry_count,combination_count,best_child_run_id,best_test_total,best_test_task_total,best_test_causal_total
stage_h_window_stats_proxy,111,333,2,20260607T-stage-i-evidence-closure-r2-multitask-01-minimal-cw0p00-tlw0p50-lagnone,1024.8099895974865,2.9292924715125044,0.9343596334042756
live_influx,111,333,2,20260613T-stage-i-p11-live-influx-r1-01-minimal-cw0p00-tlw0p50-lagnone,1153.8985701851223,2.9328195634095566,0.9324899289918982
