method_name,parameter_count,head_parameter_count,training_elapsed_s,step_count,maximum_rss_mb
physiology_only,111168,125903,10.594926563091576,31,1111.63671875
vehicle_only,292224,125903,15.296187927015126,31,1111.63671875
mult,1196800,125903,17.438601688016206,31,1123.2734375
contiformer,294528,125903,15.536261516157538,31,1123.2734375
chronaris,306186,125903,148.81236929493025,31,1727.2734375
naive_time_sync,0,0,5.735307359602302,0,1925.6953125
