dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only,representation_family
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,macro_f1,0.23610622778806148,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,balanced_accuracy,0.28436982126887655,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,macro_auprc,0.32875087946017856,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,brier_score,0.66818809524913,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,ece_10_bins,0.10014955420047045,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,mae,0.24708615662530065,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,rmse,0.2806635927348778,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,spearman,0.08595682237136518,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,frame_macro_f1,0.2573393310511617,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.10,0.351766134085213,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.25,0.23213786548490498,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.50,0.08773081663706665,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_f1_1s,0.14065235384169206,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_f1_2s,0.23512235143668966,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,edit_score,0.35361952861952867,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_detection_delay_s,6.042564655172414,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,frame_macro_f1,0.29221181423428144,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.10,0.39868921587671585,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.25,0.2940924237799238,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.50,0.14218348202723205,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_f1_1s,0.16226113296425795,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_f1_2s,0.2550175374394124,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,edit_score,0.5417046206108705,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_detection_delay_s,4.941924778761062,lower,available,,False,end_to_end_finetuned_v1
